#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
47.1834 6.52533e+08 1.67673e+06 4.97568e+08 4.56796e+08 1.4955e+08 2.34776e+09 8.37826e+06 1.74201e+09 2.14595e+09 1.02505e+09 54890
63.3991 7.12384e+08 1.94125e+06 5.69512e+08 5.15109e+08 2.20268e+08 2.08571e+09 6.13949e+06 1.74201e+09 1.78051e+09 1.02505e+09 56142
80.0553 8.30414e+08 2.14447e+06 6.13304e+08 6.8858e+08 2.57032e+08 2.35173e+09 5.93585e+06 1.87775e+09 2.13261e+09 1.04863e+09 75007
99.7576 9.64448e+08 2.55738e+06 7.1696e+08 8.4492e+08 3.52437e+08 2.57614e+09 6.34135e+06 2.09125e+09 2.41132e+09 1.26213e+09 81369
124.805 1.1254e+09 3.57625e+06 8.29125e+08 1.02889e+09 4.34421e+08 2.71076e+09 7.74595e+06 2.20847e+09 2.54162e+09 1.37934e+09 62123
156.493 1.36445e+09 5.83213e+06 9.84238e+08 1.33293e+09 5.22706e+08 2.63542e+09 1.01153e+07 2.09125e+09 2.53496e+09 1.26213e+09 36202
196.271 1.71259e+09 1.07958e+07 1.25117e+09 1.76496e+09 7.57228e+08 2.33078e+09 1.34382e+07 1.85802e+09 2.19864e+09 1.14106e+09 17147
246.466 2.13587e+09 2.10256e+07 1.59731e+09 2.27271e+09 9.92076e+08 1.94926e+09 1.86028e+07 1.51125e+09 1.7692e+09 8.99311e+08 6507
309.628 2.41627e+09 3.95549e+07 1.95723e+09 2.43593e+09 1.25045e+09 1.67453e+09 2.76122e+07 1.28215e+09 1.51821e+09 6.76918e+08 2053
390.155 2.81297e+09 7.77798e+07 2.32608e+09 2.71157e+09 1.51698e+09 1.4437e+09 4.18625e+07 1.1083e+09 1.2363e+09 6.14362e+08 671
490.355 2.75986e+09 1.27496e+08 2.68123e+09 1.75225e+09 1.73949e+09 1.35825e+09 6.48605e+07 1.14952e+09 9.41735e+08 6.55575e+08 184
624.26 2.79768e+09 1.91445e+08 2.91728e+09 1.58529e+09 2.20032e+09 1.24795e+09 1.13733e+08 1.05478e+09 8.22971e+08 5.60837e+08 63
774.613 2.74044e+09 3.49324e+08 2.66596e+09 1.71319e+09 1.72054e+09 1.06445e+09 1.28962e+08 8.29125e+08 1.14531e+09 3.35182e+08 25
1070.37 1.6918e+09 9.87734e+08 8.29125e+08 2.83307e+09 2.4505e+08 9.32698e+08 4.19097e+08 7.1696e+08 1.02505e+09 3.77834e+08 3
1286.66 2.33871e+09 2.33871e+09 2.33871e+09 0 0 9.41735e+08 9.41735e+08 9.41735e+08 0 0 1
