#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.33718e+07 0.996983 0.00150659 1.28124e+08 8.14588e+06 0 4.49746e+08 0 0.215042 0.00154266 0.207093 0.0667232 0.047953 0.348328 0.00145903 0.353203 0.0479009 0.056744 0.445592 0.0006381 0.449314 0.0159324 0.0229072 1326
1.59162e+08 1 0 1.64858e+08 9.93795e+06 0 5.30876e+08 0 0.220265 0.00182267 0.21154 0.067246 0.0459309 0.358975 0.00149807 0.361848 0.046965 0.0506622 0.447127 0.000709439 0.451327 0.0155588 0.0251528 1025
2.5349e+08 1 0 1.77532e+08 9.63005e+06 0 5.30876e+08 0 0.225157 0.00162742 0.217696 0.0707834 0.049355 0.361004 0.00133147 0.363106 0.0465312 0.0513451 0.448529 0.000605456 0.452117 0.0156563 0.0224802 1276
4.05046e+08 0.998734 0.000894788 2.30676e+08 9.53227e+06 0 6.11817e+08 0 0.231139 0.00147107 0.223495 0.0704648 0.0507337 0.366691 0.00111003 0.368203 0.0444666 0.0442449 0.449314 0.000559048 0.452546 0.0174745 0.0243128 1580
6.34432e+08 1 0 2.35233e+08 9.24303e+06 0 6.11817e+08 0 0.242168 0.00131168 0.235859 0.0642085 0.0522364 0.37255 0.00100438 0.374875 0.0452608 0.0452743 0.451934 0.000520241 0.456323 0.0162934 0.0247363 1936
1.00546e+09 0.999549 0.000451264 3.05218e+08 9.63046e+06 0 7.73094e+08 0 0.248609 0.00126344 0.243949 0.0657053 0.0550066 0.376505 0.000919349 0.379695 0.0417076 0.0461632 0.452188 0.00052355 0.457611 0.0167109 0.0272674 2216
1.59286e+09 1 0 3.28269e+08 9.50983e+06 0 7.73094e+08 0 0.254224 0.00116803 0.247692 0.0667384 0.052422 0.381326 0.000815029 0.383976 0.0385494 0.0422984 0.453364 0.000508153 0.459422 0.0163677 0.0283719 2533
2.52096e+09 0.999306 0.000490791 3.91266e+08 9.46937e+06 0 8.77889e+08 0 0.262838 0.00107043 0.258942 0.0653082 0.0546999 0.386723 0.000764443 0.390703 0.037574 0.0462148 0.453364 0.000499421 0.459572 0.01745 0.0301532 2881
4.00499e+09 0.999697 0.000302663 4.61534e+08 9.82837e+06 3.9284e+08 6.20534e+08 3.9284e+08 0.272199 0.00101821 0.268901 0.0650852 0.0564058 0.389923 0.000740455 0.395203 0.0369139 0.0457448 0.451491 0.000534515 0.459584 0.0183141 0.0353929 3304
6.35167e+09 0.998707 0.000578094 5.5199e+08 1.01211e+07 4.49746e+08 7.22627e+08 4.49746e+08 0.278983 0.000980975 0.275342 0.0680523 0.0585477 0.38931 0.000731811 0.396773 0.0369425 0.051904 0.447458 0.000554538 0.456992 0.0202517 0.0391327 3866
1.00849e+10 0.999379 0.000358306 6.19575e+08 9.76786e+06 5.30876e+08 7.20614e+08 5.30876e+08 0.281989 0.000882547 0.279716 0.0678092 0.0614496 0.385987 0.000703991 0.395274 0.0373826 0.0568539 0.442897 0.000558413 0.454157 0.0215278 0.0455731 4833
1.59717e+10 0.999327 0.000336332 6.82274e+08 8.97756e+06 5.8563e+08 7.44712e+08 5.8563e+08 0.280182 0.00078971 0.280156 0.0637656 0.0641052 0.377234 0.000679567 0.386998 0.0407043 0.0618783 0.435017 0.000553851 0.447477 0.0245299 0.0519757 5945
2.52837e+10 0.999301 0.000312344 7.59555e+08 8.5025e+06 6.37783e+08 8.49429e+08 6.37783e+08 0.275512 0.000724409 0.275052 0.0653113 0.0646478 0.365241 0.000649187 0.375782 0.0432004 0.0683757 0.424957 0.000554835 0.437524 0.0302208 0.0591254 7157
3.98785e+10 0.998627 0.000413596 8.13119e+08 8.15406e+06 6.92559e+08 8.72654e+08 6.92559e+08 0.26891 0.000674371 0.268102 0.0649751 0.063762 0.352101 0.00062529 0.360487 0.0477172 0.0684657 0.414332 0.000551616 0.426259 0.0352864 0.0635797 8014
6.27393e+10 0.999218 0.000319089 8.74436e+08 8.46791e+06 7.73094e+08 8.69819e+08 7.73094e+08 0.25834 0.000660623 0.256256 0.0634036 0.059014 0.336391 0.000641821 0.342557 0.0521984 0.0671159 0.401559 0.000585332 0.411456 0.0414251 0.0649656 7674
9.79543e+10 0.998916 0.000442426 9.15826e+08 9.98572e+06 7.97101e+08 9.23202e+08 7.97101e+08 0.246629 0.000736078 0.243751 0.0610035 0.0538566 0.319248 0.00073113 0.322598 0.0534725 0.0604738 0.388269 0.000696277 0.3954 0.0464564 0.062272 5534
1.53129e+11 0.99815 0.000826642 9.66728e+08 1.43056e+07 8.53413e+08 8.6689e+08 8.53413e+08 0.232294 0.00102051 0.229169 0.0592733 0.0528128 0.300326 0.00105089 0.30241 0.0551923 0.0617667 0.374294 0.000980263 0.378212 0.049924 0.0576907 2703
2.37734e+11 0.995781 0.00210636 9.95442e+08 2.38176e+07 9.3351e+08 7.86793e+08 9.3351e+08 0.218113 0.00164651 0.209622 0.0633765 0.0419375 0.283808 0.00170914 0.281259 0.05964 0.0518459 0.361626 0.00162287 0.362471 0.0543566 0.0526527 948
3.72606e+11 0.989848 0.00716041 9.17534e+08 4.67582e+07 7.73094e+08 7.92119e+08 7.73094e+08 0.204394 0.00337943 0.193309 0.0636847 0.0355748 0.268818 0.00365177 0.258681 0.0642455 0.0387862 0.353032 0.00335549 0.355306 0.0426885 0.0506023 197
5.69272e+11 1 0 8.26691e+08 1.67449e+08 6.11817e+08 1.10849e+09 6.11817e+08 0.186355 0.00966198 0.1781 0.0302823 0.0289456 0.250864 0.0106947 0.243054 0.0425506 0.0453952 0.346436 0.00898131 0.339055 0.0433833 0.0247629 20
8.38686e+11 1 0 6.84396e+08 4.03191e+08 1.17237e+09 3.9284e+08 1.17237e+09 0.165364 0.0118529 0.164376 0.0348142 0.0162928 0.221445 0.012909 0.229207 0.0232464 0.0377856 0.349389 0.0256946 0.385015 0.0082179 0.103408 4
