#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 9.500000e+12 (median) + 6.044100e+12  / - 3.244120e+12
#SM    Stats: 1.037170e+11 (median) + 6.380199e+10  / - 4.560130e+10
#ObsSM Stats: 1.042770e+11 (median) + 6.901400e+10  / - 4.696760e+10
#VMP   Stats: 3.233800e+02 (median) + 5.101001e+01  / - 3.098001e+01
#ICL   Stats: 4.424670e+09 (median) + 1.366683e+10  / - 3.127990e+09
#SSFR  Stats: 2.094478e-12 (median) + 1.414309e-11  / - 1.540546e-12
sfh 0.055623 0 0 0 #avg: 5.83679e-18; avg_err: 5.83195e-18; sd: 7.47128e-16; counts: 16413
sfh 0.060123 0 0 0 #avg: 3.63477e-15; avg_err: 4.77071e-16; sd: 6.11173e-14; counts: 16413
sfh 0.062373 0 0 0 #avg: 2.46226e-14; avg_err: 2.03032e-15; sd: 2.60103e-13; counts: 16413
sfh 0.064623 0 0 0 #avg: 8.58899e-14; avg_err: 5.44511e-15; sd: 6.9757e-13; counts: 16413
sfh 0.066873 0 0 0 #avg: 2.32135e-13; avg_err: 1.25754e-14; sd: 1.61103e-12; counts: 16413
sfh 0.069123 0 4.5898e-14 0 #avg: 4.85883e-13; avg_err: 2.19178e-14; sd: 2.80787e-12; counts: 16413
sfh 0.071373 0 4.37363e-13 0 #avg: 8.35525e-13; avg_err: 3.17927e-14; sd: 4.07294e-12; counts: 16413
sfh 0.073623 0 1.08888e-12 0 #avg: 1.31679e-12; avg_err: 4.99407e-14; sd: 6.39787e-12; counts: 16413
sfh 0.075873 7.41887e-16 2.00131e-12 7.41887e-16 #avg: 1.90263e-12; avg_err: 7.27144e-14; sd: 9.3154e-12; counts: 16413
sfh 0.078123 1.40855e-13 2.93438e-12 1.40855e-13 #avg: 2.56044e-12; avg_err: 9.44729e-14; sd: 1.21029e-11; counts: 16413
sfh 0.080373 4.27861e-13 3.94494e-12 4.27861e-13 #avg: 3.12652e-12; avg_err: 8.64682e-14; sd: 1.10774e-11; counts: 16413
sfh 0.082623 8.27925e-13 4.54195e-12 8.27925e-13 #avg: 3.59861e-12; avg_err: 9.10802e-14; sd: 1.16682e-11; counts: 16413
sfh 0.085998 1.63388e-12 6.27425e-12 1.56073e-12 #avg: 5.19751e-12; avg_err: 1.26057e-13; sd: 1.61491e-11; counts: 16413
sfh 0.089373 2.65143e-12 7.87241e-12 2.3191e-12 #avg: 6.90516e-12; avg_err: 1.59578e-13; sd: 2.04434e-11; counts: 16413
sfh 0.092748 3.78929e-12 9.81219e-12 3.03449e-12 #avg: 8.94485e-12; avg_err: 1.80926e-13; sd: 2.31783e-11; counts: 16413
sfh 0.096123 5.18527e-12 1.2084e-11 3.92902e-12 #avg: 1.12504e-11; avg_err: 1.94574e-13; sd: 2.49268e-11; counts: 16413
sfh 0.099498 6.70018e-12 1.38409e-11 4.78774e-12 #avg: 1.38651e-11; avg_err: 2.28801e-13; sd: 2.93116e-11; counts: 16413
