#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.37727e+07 7.2949e+08 7.90977e+07 5.84049e+08 5.83426e+08 2.50308e+08 1.29537e+09 1.89019e+08 9.57732e+08 1.24919e+09 5.00468e+08 25
1.59953e+08 6.66121e+08 6.40693e+07 5.8017e+08 4.19193e+08 1.63964e+08 1.14629e+09 1.30249e+08 1.0412e+09 5.42221e+08 3.33801e+08 19
2.51036e+08 7.52176e+08 8.64401e+07 6.6701e+08 5.00854e+08 3.33209e+08 1.07243e+09 1.23841e+08 9.57732e+08 7.50693e+08 4.57007e+08 24
4.08398e+08 7.87593e+08 8.78356e+07 6.67602e+08 3.33537e+08 2.50926e+08 1.09183e+09 1.21159e+08 1.0412e+09 9.16791e+08 5.83933e+08 26
6.16235e+08 8.27611e+08 8.1699e+07 7.07395e+08 5.84172e+08 2.91188e+08 1.0643e+09 1.05531e+08 9.1326e+08 7.11869e+08 4.12535e+08 35
1.00113e+09 1.03627e+09 1.03367e+08 8.34388e+08 8.11737e+08 3.49407e+08 1.24376e+09 1.2823e+08 9.17794e+08 9.57076e+08 3.77185e+08 47
1.60507e+09 9.53091e+08 7.40025e+07 9.16791e+08 5.41612e+08 5.06298e+08 1.26288e+09 1.23117e+08 9.57732e+08 1.332e+09 4.17123e+08 47
2.51648e+09 9.67797e+08 8.7392e+07 8.31925e+08 6.26478e+08 4.98079e+08 1.46125e+09 1.36723e+08 1.12466e+09 1.24778e+09 5.84053e+08 65
4.11375e+09 1.05504e+09 7.68781e+07 8.34415e+08 7.49366e+08 4.17209e+08 1.33093e+09 8.23797e+07 1.12466e+09 1.11897e+09 5.00674e+08 84
6.48577e+09 1.02962e+09 6.50389e+07 8.78042e+08 9.13631e+08 4.69017e+08 1.45197e+09 1.09067e+08 1.0412e+09 1.55278e+09 5.40473e+08 93
1.01001e+10 1.1404e+09 6.70679e+07 9.17138e+08 9.10729e+08 5.01536e+08 1.32516e+09 6.51464e+07 1.08283e+09 1.0412e+09 4.58842e+08 149
1.59307e+10 1.12742e+09 6.41381e+07 7.90825e+08 1.16716e+09 3.33561e+08 1.44026e+09 7.18007e+07 1.20812e+09 9.98802e+08 5.84132e+08 178
2.53607e+10 1.18003e+09 6.32653e+07 8.74274e+08 1.11915e+09 4.1701e+08 1.43505e+09 6.73559e+07 1.12466e+09 1.27911e+09 5.84053e+08 198
3.94934e+10 1.29516e+09 5.77887e+07 1.0412e+09 1.03075e+09 5.00587e+08 1.42718e+09 6.36294e+07 1.20812e+09 9.15906e+08 5.84132e+08 206
6.28402e+10 1.32468e+09 6.80462e+07 1.12466e+09 1.16507e+09 5.84053e+08 1.46193e+09 7.68609e+07 1.20812e+09 1.24692e+09 6.23948e+08 160
9.73819e+10 1.38073e+09 1.00059e+08 1.12466e+09 1.16507e+09 6.27095e+08 1.29531e+09 9.34239e+07 1.12466e+09 9.16383e+08 5.84053e+08 86
1.53654e+11 1.24737e+09 1.4312e+08 9.17138e+08 1.48855e+09 4.59874e+08 1.20982e+09 1.31012e+08 9.99849e+08 7.08576e+08 3.75861e+08 41
2.3565e+11 1.73199e+09 4.22795e+08 1.49953e+09 9.55513e+08 4.5833e+08 7.56938e+08 8.89477e+07 7.07395e+08 2.50337e+08 8.34071e+07 7
3.83293e+11 1.16626e+09 4.58867e+08 1.62513e+09 0 9.17733e+08 1.04066e+09 4.58867e+08 1.49953e+09 0 9.17733e+08 2
