#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 10.75 - 11.25
#HM    Stats: 4.876470e+12 (median) + 8.694131e+12  / - 2.769120e+12
#SM    Stats: 8.495850e+10 (median) + 4.224350e+10  / - 2.590560e+10
#ObsSM Stats: 8.719590e+10 (median) + 4.382509e+10  / - 2.322630e+10
#VMP   Stats: 2.804600e+02 (median) + 1.076300e+02  / - 6.321999e+01
#ICL   Stats: 1.456080e+09 (median) + 9.309720e+09  / - 1.169280e+09
#SSFR  Stats: 2.079164e-12 (median) + 2.743604e-12  / - 1.254566e-12
sfh 0.055623 0 0 0 #avg: 1.1733e-06; avg_err: 9.7094e-07; sd: 0.000133008; counts: 18767
sfh 0.060123 0 0 0 #avg: 0.000390756; avg_err: 4.18514e-05; sd: 0.00573318; counts: 18767
sfh 0.062373 0 0 0 #avg: 0.00253411; avg_err: 0.000189656; sd: 0.0259807; counts: 18767
sfh 0.064623 0 0 0 #avg: 0.00819792; avg_err: 0.000458892; sd: 0.0628632; counts: 18767
sfh 0.066873 0 0 0 #avg: 0.0207427; avg_err: 0.000927242; sd: 0.127022; counts: 18767
sfh 0.069123 0 0 0 #avg: 0.0442915; avg_err: 0.00172294; sd: 0.236023; counts: 18767
sfh 0.071373 0 0.031164 0 #avg: 0.0745684; avg_err: 0.00239977; sd: 0.328742; counts: 18767
sfh 0.073623 0 0.083669 0 #avg: 0.114293; avg_err: 0.00344648; sd: 0.47213; counts: 18767
sfh 0.075873 0 0.16288 0 #avg: 0.160488; avg_err: 0.00438773; sd: 0.60107; counts: 18767
sfh 0.078123 5.65119e-06 0.261484 5.65119e-06 #avg: 0.219; avg_err: 0.00592234; sd: 0.811296; counts: 18767
sfh 0.080373 0.0115338 0.375407 0.0115338 #avg: 0.271423; avg_err: 0.00668335; sd: 0.915546; counts: 18767
sfh 0.082623 0.0322613 0.447871 0.0322613 #avg: 0.316549; avg_err: 0.00728284; sd: 0.997669; counts: 18767
sfh 0.085998 0.0827022 0.62261 0.0827022 #avg: 0.46022; avg_err: 0.00944535; sd: 1.29391; counts: 18767
sfh 0.089373 0.147397 0.781399 0.146419 #avg: 0.60261; avg_err: 0.0121888; sd: 1.66973; counts: 18767
sfh 0.092748 0.224164 0.978256 0.210942 #avg: 0.764736; avg_err: 0.0139875; sd: 1.91613; counts: 18767
sfh 0.096123 0.321243 1.19128 0.288907 #avg: 0.975658; avg_err: 0.017558; sd: 2.40525; counts: 18767
sfh 0.099498 0.418603 1.42849 0.358749 #avg: 1.20908; avg_err: 0.021494; sd: 2.94444; counts: 18767
sfh 0.102873 0.518494 1.68726 0.424868 #avg: 1.48045; avg_err: 0.0284401; sd: 3.89598; counts: 18767
sfh 0.106248 0.623324 2.01627 0.495859 #avg: 1.72832; avg_err: 0.0301348; sd: 4.12814; counts: 18767
sfh 0.109623 0.744022 2.35972 0.584125 #avg: 2.03549; avg_err: 0.0365877; sd: 5.01212; counts: 18767
sfh 0.112998 0.858515 2.69543 0.661065 #avg: 2.34675; avg_err: 0.0420884; sd: 5.76565; counts: 18767
sfh 0.116373 0.974478 3.05747 0.742713 #avg: 2.66805; avg_err: 0.0461367; sd: 6.32022; counts: 18767
sfh 0.119748 1.12364 3.4123 0.860594 #avg: 3.03685; avg_err: 0.0536148; sd: 7.34464; counts: 18767
sfh 0.123123 1.24524 3.86949 0.945824 #avg: 3.40665; avg_err: 0.064379; sd: 8.81922; counts: 18767
sfh 0.126498 1.35579 4.24153 1.01754 #avg: 3.77604; avg_err: 0.0729597; sd: 9.99468; counts: 18767
sfh 0.129873 1.48187 4.6989 1.10401 #avg: 4.1524; avg_err: 0.0731179; sd: 10.0163; counts: 18767
sfh 0.133248 1.63714 5.11975 1.22201 #avg: 4.54498; avg_err: 0.081025; sd: 11.0995; counts: 18767
sfh 0.136623 1.77782 5.68567 1.31772 #avg: 4.95831; avg_err: 0.0877773; sd: 12.0245; counts: 18767
sfh 0.141685 1.98062 6.27139 1.46718 #avg: 5.64532; avg_err: 0.100767; sd: 13.804; counts: 18767
sfh 0.146748 2.19065 6.98201 1.61916 #avg: 6.33609; avg_err: 0.117015; sd: 16.0298; counts: 18767
sfh 0.15181 2.40145 7.90175 1.78695 #avg: 7.06366; avg_err: 0.12964; sd: 17.7592; counts: 18767
sfh 0.156873 2.6118 8.6602 1.93474 #avg: 7.89148; avg_err: 0.139832; sd: 19.1554; counts: 18767
sfh 0.161935 2.83807 9.74693 2.11044 #avg: 8.7647; avg_err: 0.160461; sd: 21.9814; counts: 18767
sfh 0.166998 3.05288 11.1279 2.27569 #avg: 9.60586; avg_err: 0.173324; sd: 23.7434; counts: 18767
sfh 0.17206 3.30848 12.051 2.48369 #avg: 10.5156; avg_err: 0.1916; sd: 26.2472; counts: 18767
sfh 0.177123 3.51973 13.4675 2.63849 #avg: 11.5062; avg_err: 0.199928; sd: 27.388; counts: 18767
sfh 0.182185 3.83564 14.5612 2.89451 #avg: 12.5788; avg_err: 0.222116; sd: 30.4275; counts: 18767
sfh 0.187248 4.16031 15.8979 3.17612 #avg: 13.3932; avg_err: 0.220172; sd: 30.1612; counts: 18767
sfh 0.19231 4.45444 17.5833 3.40873 #avg: 14.4198; avg_err: 0.231139; sd: 31.6635; counts: 18767
sfh 0.197373 4.7516 19.3667 3.62429 #avg: 15.6706; avg_err: 0.251979; sd: 34.5183; counts: 18767
sfh 0.202435 5.12262 21.0373 3.9491 #avg: 16.5943; avg_err: 0.253751; sd: 34.7611; counts: 18767
sfh 0.207498 5.52117 22.5362 4.28197 #avg: 17.5949; avg_err: 0.265422; sd: 36.3599; counts: 18767
sfh 0.21256 5.82974 24.4915 4.53712 #avg: 18.9732; avg_err: 0.288239; sd: 39.4856; counts: 18767
sfh 0.217623 6.32767 26.2183 4.94506 #avg: 20.0626; avg_err: 0.297816; sd: 40.7975; counts: 18767
sfh 0.222685 6.67482 28.2636 5.22055 #avg: 21.005; avg_err: 0.297844; sd: 40.8013; counts: 18767
sfh 0.227748 7.20578 29.9995 5.68853 #avg: 21.9283; avg_err: 0.302794; sd: 41.4795; counts: 18767
sfh 0.23281 7.63844 32.2966 6.04431 #avg: 22.9442; avg_err: 0.302891; sd: 41.4927; counts: 18767
sfh 0.237873 8.08874 34.0445 6.39446 #avg: 24.3723; avg_err: 0.327503; sd: 44.8643; counts: 18767
sfh 0.242935 8.59574 36.7731 6.81972 #avg: 25.6425; avg_err: 0.337709; sd: 46.2624; counts: 18767
sfh 0.247998 9.18975 38.439 7.3012 #avg: 26.6923; avg_err: 0.343055; sd: 46.9948; counts: 18767
