#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.49074e+07 0 0 0 0 0 0 3.97763e-06 1.66363e-06 0 0 0 121737
1.55899e+08 0 0 0 0 0 0 1.46773e-05 5.26473e-06 0 0 0 32046
2.47193e+08 0 0 0 0 0 0 5.394e-05 1.39138e-05 0 0 0 21215
3.91568e+08 0 0 0 0 0 0 8.47543e-05 1.78731e-05 0 0 0 13865
6.20894e+08 0 0 0 0 0 0 0.000154295 3.5924e-05 0 0 0 8975
9.82287e+08 0 0 0 0 0 0 0.000691391 0.000113023 0 0 0 5656
1.55786e+09 0 0 0 0 0 0 0.00108837 0.000153066 0 0 0 3563
2.45984e+09 0 0 0 0 0 0 0.00199747 0.000285429 0 0 0 2145
3.90125e+09 0 0 0 0 0 0 0.00376329 0.0005455 0 0 0 1307
6.15044e+09 0 0 0 0 0 0 0.00609975 0.00101042 0 0 0 725
9.75373e+09 0 0 0 0 0 0 0.0111972 0.00184108 0 0 0 451
1.56914e+10 0 0 0 0 0 0 0.0157757 0.00327651 0 0 0 255
2.45985e+10 0 0 0 0 0 0 0.0182611 0.00406082 0 0.0287824 0 140
3.90969e+10 0 0 0 0 0 0 0.0182545 0.00533961 0 0.0254412 0 81
6.05189e+10 0 0 0 0 0 0 0.0183884 0.00662271 0 0.0435383 0 31
9.66546e+10 0 0 0 0 0 0 0.00984609 0.00623563 0 0.0233763 0 12
1.43047e+11 0 0 0 0 0 0 0.0224204 0.0159656 0.0219487 0.0457842 0.0219487 4
