#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.25 - 11.75
#HM    Stats: 3.073530e+11 (median) + 1.508820e+11  / - 9.705900e+10
#SM    Stats: 3.923610e+09 (median) + 7.006690e+09  / - 2.596340e+09
#ObsSM Stats: 3.912490e+09 (median) + 7.297310e+09  / - 2.618570e+09
#VMP   Stats: 1.336400e+02 (median) + 2.142000e+01  / - 1.754000e+01
#ICL   Stats: 1.778160e+07 (median) + 7.607640e+07  / - 1.499697e+07
#SSFR  Stats: 1.716292e-12 (median) + 2.519308e-12  / - 1.053373e-12
sfh 0.055623 0 0 0 #avg: 2.108e-11; avg_err: 2.108e-11; sd: 3.56863e-09; counts: 28660
sfh 0.060123 0 0 0 #avg: 4.91057e-06; avg_err: 4.3001e-06; sd: 0.000727962; counts: 28660
sfh 0.062373 0 0 0 #avg: 4.77318e-05; avg_err: 1.76964e-05; sd: 0.00299583; counts: 28660
sfh 0.064623 0 0 0 #avg: 0.00021833; avg_err: 6.08651e-05; sd: 0.0103038; counts: 28660
sfh 0.066873 0 0 0 #avg: 0.000626521; avg_err: 0.000131422; sd: 0.0222484; counts: 28660
sfh 0.069123 0 0 0 #avg: 0.00119749; avg_err: 0.000195221; sd: 0.0330489; counts: 28660
sfh 0.071373 0 0 0 #avg: 0.00240443; avg_err: 0.000316282; sd: 0.0535433; counts: 28660
sfh 0.073623 0 0 0 #avg: 0.00332604; avg_err: 0.000377093; sd: 0.063838; counts: 28660
sfh 0.075873 0 0 0 #avg: 0.00461291; avg_err: 0.000448994; sd: 0.07601; counts: 28660
sfh 0.078123 0 0 0 #avg: 0.00706776; avg_err: 0.000612777; sd: 0.103737; counts: 28660
sfh 0.080373 0 0 0 #avg: 0.00892635; avg_err: 0.000483515; sd: 0.081854; counts: 28660
sfh 0.082623 0 0 0 #avg: 0.0115748; avg_err: 0.000506015; sd: 0.0856632; counts: 28660
sfh 0.085998 0 4.08975e-06 0 #avg: 0.0176283; avg_err: 0.000584441; sd: 0.0989398; counts: 28660
sfh 0.089373 0 0.0128634 0 #avg: 0.0255308; avg_err: 0.000752847; sd: 0.127449; counts: 28660
sfh 0.092748 0 0.0323816 0 #avg: 0.0352566; avg_err: 0.000955212; sd: 0.161708; counts: 28660
sfh 0.096123 0 0.0560468 0 #avg: 0.0461106; avg_err: 0.00114202; sd: 0.193332; counts: 28660
sfh 0.099498 0 0.0787945 0 #avg: 0.0565567; avg_err: 0.00127761; sd: 0.216286; counts: 28660
sfh 0.102873 0.00295339 0.0978866 0.00295339 #avg: 0.0682671; avg_err: 0.00149088; sd: 0.252391; counts: 28660
sfh 0.106248 0.00943317 0.115581 0.00943317 #avg: 0.080645; avg_err: 0.00159734; sd: 0.270413; counts: 28660
sfh 0.109623 0.0167957 0.128914 0.0167957 #avg: 0.0951203; avg_err: 0.00246492; sd: 0.417285; counts: 28660
sfh 0.112998 0.0239935 0.141626 0.0239935 #avg: 0.108318; avg_err: 0.00209992; sd: 0.355496; counts: 28660
sfh 0.116373 0.0308059 0.151954 0.0308059 #avg: 0.123785; avg_err: 0.00250064; sd: 0.423333; counts: 28660
sfh 0.119748 0.0366677 0.167671 0.0364801 #avg: 0.14051; avg_err: 0.00305085; sd: 0.516477; counts: 28660
sfh 0.123123 0.0419647 0.179435 0.0402322 #avg: 0.155652; avg_err: 0.00348488; sd: 0.589954; counts: 28660
sfh 0.126498 0.0480413 0.192783 0.0445245 #avg: 0.168018; avg_err: 0.00334709; sd: 0.566627; counts: 28660
