#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.4583 0 0 0 0 0 0 8.56181e-08 5.31174e-08 0 0 0 7674950
62.4058 0 0 0 0 0 0 0 0 0 0 0 3658421
78.3985 0 0 0 0 0 0 0 0 0 0 0 1723881
98.2338 0 0 0 0 0 0 5.11111e-07 2.13376e-07 0 0 0 731758
123.678 0 0 0 0 0 0 6.02683e-06 1.26414e-06 0 0 0 287867
155.52 0 0 0 0 0 0 5.02252e-05 6.25756e-06 0 0 0 110013
195.508 0 0 0 0 0 0 0.000409153 2.88195e-05 0 0 0 39210
245.474 0 0 0 0 0 0 0.00132041 8.8189e-05 0 0 0 12608
308.089 0 0 0 0 0 0 0.00403177 0.000324508 0 0 0 3542
385.29 0 0 0 0 0 0 0.00811021 0.00110626 0 0 0 628
479.655 0 0 0 0 0 0 0.0245704 0.00462548 0 0.0845467 0 96
587.825 0 0 0 0 0 0 0.0254556 0.016434 0 0.0877744 0 7
