#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
9.54841e+09 7.04181e+08 5.88974e+06 5.7795e+08 4.7683e+08 2.27502e+08 2.35999e+09 2.67218e+07 1.74201e+09 2.26835e+09 1.02505e+09 5592
1.6139e+10 7.40068e+08 5.44015e+06 5.82048e+08 5.54727e+08 2.316e+08 2.07496e+09 1.73874e+07 1.62642e+09 1.77491e+09 9.0946e+08 8171
2.54084e+10 8.00186e+08 5.17892e+06 5.99222e+08 6.58256e+08 2.46386e+08 2.06783e+09 1.36324e+07 1.62642e+09 1.8961e+09 9.0946e+08 12001
4.01156e+10 8.71527e+08 4.95602e+06 6.79528e+08 6.99815e+08 3.23255e+08 2.18057e+09 1.20407e+07 1.74201e+09 2.02384e+09 1.02505e+09 16532
6.34002e+10 9.51423e+08 5.05397e+06 7.11392e+08 7.99854e+08 3.49774e+08 2.29036e+09 1.14005e+07 1.85802e+09 2.02994e+09 1.06677e+09 20321
9.98703e+10 1.04091e+09 5.50425e+06 7.91253e+08 9.19214e+08 4.23254e+08 2.38441e+09 1.16628e+07 1.85802e+09 2.27501e+09 1.02889e+09 21305
1.57311e+11 1.12195e+09 6.54846e+06 8.29125e+08 1.02889e+09 4.5887e+08 2.4248e+09 1.29371e+07 1.97444e+09 2.27196e+09 1.16246e+09 18370
2.4811e+11 1.2164e+09 8.30557e+06 8.65372e+08 1.1764e+09 4.48254e+08 2.52082e+09 1.55621e+07 1.97444e+09 2.40471e+09 1.14531e+09 14191
3.91926e+11 1.34253e+09 1.13036e+07 9.42342e+08 1.3517e+09 4.89315e+08 2.52554e+09 1.86046e+07 1.97444e+09 2.52813e+09 1.15123e+09 10047
6.1979e+11 1.49934e+09 1.55029e+07 1.05835e+09 1.60733e+09 5.87136e+08 2.54146e+09 2.34251e+07 1.97444e+09 2.57674e+09 1.25748e+09 6644
9.77106e+11 1.7229e+09 2.3933e+07 1.16998e+09 1.9704e+09 6.8383e+08 2.41076e+09 2.97483e+07 1.85802e+09 2.39794e+09 1.14106e+09 3894
1.54467e+12 1.89063e+09 3.38579e+07 1.32176e+09 2.15591e+09 8.21175e+08 2.25767e+09 3.73094e+07 1.74201e+09 2.26835e+09 1.02505e+09 2196
2.43883e+12 2.27861e+09 5.68495e+07 1.67459e+09 2.45843e+09 1.08656e+09 2.00741e+09 4.76924e+07 1.51125e+09 1.89008e+09 9.06013e+08 1108
3.86627e+12 2.44218e+09 8.68425e+07 1.66959e+09 2.85787e+09 9.84904e+08 1.95977e+09 6.48851e+07 1.51125e+09 1.89008e+09 9.06013e+08 532
6.05371e+12 2.68608e+09 1.3264e+08 2.10512e+09 2.74565e+09 1.35717e+09 1.73149e+09 8.83247e+07 1.28215e+09 1.63771e+09 6.76918e+08 242
9.64956e+12 3.21305e+09 2.23058e+08 2.80556e+09 2.52508e+09 1.97643e+09 1.49599e+09 1.0863e+08 1.16716e+09 1.60274e+09 6.7322e+08 100
1.57569e+13 3.29545e+09 3.5821e+08 2.32275e+09 3.71281e+09 1.32172e+09 1.57841e+09 1.73086e+08 1.16998e+09 1.51125e+09 5.64745e+08 51
2.45533e+13 4.1767e+09 7.02192e+08 3.88796e+09 2.72768e+09 3.1638e+09 1.76696e+09 4.26926e+08 1.16825e+09 1.75161e+09 5.32426e+08 16
3.74901e+13 3.94065e+09 6.88601e+08 3.81937e+09 1.65694e+09 1.84814e+09 1.16605e+09 2.47314e+08 1.00087e+09 5.77917e+08 5.06931e+08 10
6.10314e+13 3.73859e+09 1.53673e+09 4.01036e+09 3.79516e+09 3.51641e+09 1.18408e+09 3.13585e+08 1.48049e+09 3.77524e+08 1.07072e+09 4
8.61176e+13 3.276e+09 3.276e+09 3.276e+09 0 0 5.1021e+09 5.1021e+09 5.1021e+09 0 0 1
1.62941e+14 3.1599e+09 3.1599e+09 3.1599e+09 0 0 6.05944e+08 6.05944e+08 6.05944e+08 0 0 1
