#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
43.1878 5.74619e+08 1.37637e+07 4.75409e+08 3.3174e+08 1.57428e+08 1.32243e+09 2.66842e+07 1.25149e+09 6.99035e+08 5.58931e+08 487
63.1233 4.32621e+08 2.03245e+07 3.23348e+08 2.38773e+08 6.38026e+06 1.18995e+09 7.9879e+07 9.3351e+08 1.09308e+09 4.02633e+08 85
83.2058 4.58406e+08 7.17439e+06 3.99279e+08 2.36546e+08 8.03197e+07 9.00133e+08 1.67126e+07 7.73094e+08 5.57248e+08 2.42217e+08 583
101.779 4.91265e+08 4.51671e+06 4.02633e+08 2.93613e+08 8.36737e+07 9.62434e+08 9.71839e+06 8.53413e+08 5.55505e+08 3.22537e+08 2147
126.571 5.70385e+08 4.37846e+06 4.81181e+08 3.20564e+08 1.61277e+08 1.02408e+09 8.17445e+06 8.53413e+08 7.11799e+08 3.22537e+08 3983
157.831 6.70979e+08 5.39306e+06 5.58931e+08 4.61774e+08 2.35583e+08 1.08587e+09 8.34474e+06 9.3351e+08 7.09403e+08 4.02633e+08 4371
196.177 7.9304e+08 8.84366e+06 6.92559e+08 5.46675e+08 3.07246e+08 1.11619e+09 1.21197e+07 9.3351e+08 7.86793e+08 4.02633e+08 2480
245.044 9.5308e+08 1.88847e+07 8.01745e+08 6.99035e+08 3.98077e+08 1.03306e+09 1.92319e+07 8.53413e+08 7.11799e+08 3.22537e+08 877
306.749 1.06111e+09 4.37043e+07 9.50354e+08 7.86716e+08 4.73426e+08 9.31515e+08 3.70271e+07 7.73094e+08 5.57248e+08 3.23348e+08 185
394.709 1.22562e+09 1.34339e+08 1.08023e+09 7.60822e+08 5.99054e+08 7.49251e+08 5.74942e+07 6.11817e+08 4.81181e+08 1.62071e+08 31
500.344 9.14288e+08 1.06352e+08 1.01337e+09 1.43705e+07 3.11628e+08 7.7959e+08 2.06291e+08 6.92559e+08 4.79814e+08 2.18721e+08 3
