#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=1.002310 (z=-0.002305)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=1.002310 (z=-0.002305) stellar mass
#mpeak range: 13.75 - 14.25
#HM    Stats: 8.276470e+13 (median) + 4.754430e+13  / - 2.027940e+13
#SM    Stats: 3.337040e+11 (median) + 1.583240e+11  / - 1.331900e+11
#ObsSM Stats: 3.361800e+11 (median) + 1.710600e+11  / - 1.431040e+11
#VMP   Stats: 6.302400e+02 (median) + 1.009600e+02  / - 6.213000e+01
#ICL   Stats: 8.851150e+10 (median) + 9.002951e+10  / - 5.292940e+10
#SSFR  Stats: 1.789091e-12 (median) + 4.160642e-12  / - 1.266370e-12
sfh 0.055623 0 0 0 #avg: 2.20209e-19; avg_err: 1.14432e-19; sd: 4.40825e-18; counts: 1485
sfh 0.060123 0 0 0 #avg: 1.21945e-14; avg_err: 1.49304e-15; sd: 5.7516e-14; counts: 1485
sfh 0.062373 0 5.0121e-14 0 #avg: 7.55884e-14; avg_err: 7.68898e-15; sd: 2.962e-13; counts: 1485
sfh 0.064623 0 4.43787e-13 0 #avg: 2.45648e-13; avg_err: 1.74844e-14; sd: 6.73548e-13; counts: 1485
sfh 0.066873 2.39795e-14 1.01674e-12 2.39795e-14 #avg: 5.7073e-13; avg_err: 3.38617e-14; sd: 1.30444e-12; counts: 1485
sfh 0.069123 1.98436e-13 2.1382e-12 1.98436e-13 #avg: 1.22445e-12; avg_err: 6.69501e-14; sd: 2.5791e-12; counts: 1485
sfh 0.071373 5.66487e-13 3.14883e-12 5.66487e-13 #avg: 2.07527e-12; avg_err: 1.0755e-13; sd: 4.14312e-12; counts: 1485
sfh 0.073623 1.17128e-12 4.73747e-12 1.11747e-12 #avg: 3.12432e-12; avg_err: 1.46975e-13; sd: 5.66189e-12; counts: 1485
sfh 0.075873 1.77574e-12 6.17735e-12 1.57145e-12 #avg: 4.20963e-12; avg_err: 1.86082e-13; sd: 7.16838e-12; counts: 1485
sfh 0.078123 2.66416e-12 7.27387e-12 2.15629e-12 #avg: 5.807e-12; avg_err: 2.4348e-13; sd: 9.37953e-12; counts: 1485
sfh 0.080373 3.7185e-12 8.35311e-12 2.78372e-12 #avg: 7.28944e-12; avg_err: 2.9484e-13; sd: 1.1358e-11; counts: 1485
sfh 0.082623 4.57616e-12 8.98264e-12 3.13817e-12 #avg: 8.37405e-12; avg_err: 3.12194e-13; sd: 1.20266e-11; counts: 1485
sfh 0.085998 7.1407e-12 1.20617e-11 4.78448e-12 #avg: 1.20934e-11; avg_err: 4.47989e-13; sd: 1.72577e-11; counts: 1485
sfh 0.089373 9.59345e-12 1.40729e-11 5.98058e-12 #avg: 1.58602e-11; avg_err: 6.0605e-13; sd: 2.33467e-11; counts: 1485
sfh 0.092748 1.23033e-11 1.82187e-11 7.28154e-12 #avg: 2.01015e-11; avg_err: 7.51874e-13; sd: 2.89642e-11; counts: 1485
sfh 0.096123 1.54021e-11 2.27481e-11 8.53796e-12 #avg: 2.46762e-11; avg_err: 8.07405e-13; sd: 3.11034e-11; counts: 1485
sfh 0.099498 1.89373e-11 2.81882e-11 1.02483e-11 #avg: 3.03994e-11; avg_err: 9.90994e-13; sd: 3.81758e-11; counts: 1485
sfh 0.102873 2.30214e-11 3.38129e-11 1.20595e-11 #avg: 3.73939e-11; avg_err: 1.23103e-12; sd: 4.74226e-11; counts: 1485
sfh 0.106248 2.78376e-11 4.07137e-11 1.47263e-11 #avg: 4.56706e-11; avg_err: 2.16004e-12; sd: 8.32104e-11; counts: 1485
sfh 0.109623 3.32301e-11 4.86289e-11 1.75143e-11 #avg: 5.90318e-11; avg_err: 6.29463e-12; sd: 2.42486e-10; counts: 1485
sfh 0.112998 3.85486e-11 5.5927e-11 2.03581e-11 #avg: 6.24633e-11; avg_err: 2.28629e-12; sd: 8.8074e-11; counts: 1485
sfh 0.116373 4.35966e-11 6.57149e-11 2.29695e-11 #avg: 7.07751e-11; avg_err: 2.73853e-12; sd: 1.05496e-10; counts: 1485
sfh 0.119748 5.03798e-11 6.93553e-11 2.751e-11 #avg: 7.88091e-11; avg_err: 2.59771e-12; sd: 1.00071e-10; counts: 1485
sfh 0.123123 5.59116e-11 7.72419e-11 3.0296e-11 #avg: 8.88315e-11; avg_err: 2.78905e-12; sd: 1.07442e-10; counts: 1485
sfh 0.126498 6.40186e-11 8.79796e-11 3.42929e-11 #avg: 1.01249e-10; avg_err: 3.39154e-12; sd: 1.30651e-10; counts: 1485
sfh 0.129873 6.89322e-11 1.01745e-10 3.59589e-11 #avg: 1.14347e-10; avg_err: 4.02062e-12; sd: 1.54885e-10; counts: 1485
sfh 0.133248 7.66578e-11 1.12231e-10 4.0113e-11 #avg: 1.26807e-10; avg_err: 4.25289e-12; sd: 1.63833e-10; counts: 1485
sfh 0.136623 8.50785e-11 1.31705e-10 4.43743e-11 #avg: 1.36171e-10; avg_err: 4.14975e-12; sd: 1.5986e-10; counts: 1485
sfh 0.141685 9.78458e-11 1.56921e-10 5.29629e-11 #avg: 1.60886e-10; avg_err: 5.02337e-12; sd: 1.93514e-10; counts: 1485
sfh 0.146748 1.14494e-10 1.82339e-10 6.32892e-11 #avg: 1.86943e-10; avg_err: 6.47174e-12; sd: 2.49309e-10; counts: 1485
sfh 0.15181 1.26694e-10 2.02589e-10 7.06448e-11 #avg: 2.09221e-10; avg_err: 7.63715e-12; sd: 2.94204e-10; counts: 1485
sfh 0.156873 1.42879e-10 2.35556e-10 7.89696e-11 #avg: 2.29221e-10; avg_err: 7.22579e-12; sd: 2.78357e-10; counts: 1485
sfh 0.161935 1.6364e-10 2.42441e-10 9.49419e-11 #avg: 2.55464e-10; avg_err: 8.85627e-12; sd: 3.41168e-10; counts: 1485
sfh 0.166998 1.81952e-10 2.71618e-10 1.04675e-10 #avg: 2.74258e-10; avg_err: 7.74856e-12; sd: 2.98496e-10; counts: 1485
sfh 0.17206 2.0325e-10 3.22774e-10 1.19959e-10 #avg: 3.03373e-10; avg_err: 8.67853e-12; sd: 3.34321e-10; counts: 1485
sfh 0.177123 2.26075e-10 3.22689e-10 1.33698e-10 #avg: 3.2747e-10; avg_err: 8.74698e-12; sd: 3.36957e-10; counts: 1485
sfh 0.182185 2.50675e-10 3.45722e-10 1.50065e-10 #avg: 3.56887e-10; avg_err: 9.30155e-12; sd: 3.58321e-10; counts: 1485
sfh 0.187248 2.61873e-10 3.71522e-10 1.46785e-10 #avg: 3.77744e-10; avg_err: 9.61399e-12; sd: 3.70357e-10; counts: 1485
sfh 0.19231 2.88188e-10 3.62908e-10 1.68682e-10 #avg: 4.04267e-10; avg_err: 1.04293e-11; sd: 4.01764e-10; counts: 1485
sfh 0.197373 3.18601e-10 3.65673e-10 1.87837e-10 #avg: 4.22241e-10; avg_err: 9.90874e-12; sd: 3.81712e-10; counts: 1485
sfh 0.202435 3.3366e-10 3.82361e-10 1.95218e-10 #avg: 4.29634e-10; avg_err: 9.20665e-12; sd: 3.54665e-10; counts: 1485
sfh 0.207498 3.54342e-10 3.92042e-10 2.08928e-10 #avg: 4.47258e-10; avg_err: 9.241e-12; sd: 3.55988e-10; counts: 1485
sfh 0.21256 3.67291e-10 4.18301e-10 2.22582e-10 #avg: 4.698e-10; avg_err: 9.64036e-12; sd: 3.71373e-10; counts: 1485
sfh 0.217623 3.78967e-10 4.14147e-10 2.14296e-10 #avg: 4.87098e-10; avg_err: 1.01128e-11; sd: 3.89574e-10; counts: 1485
sfh 0.222685 4.04338e-10 4.01837e-10 2.30499e-10 #avg: 4.93042e-10; avg_err: 9.71232e-12; sd: 3.74145e-10; counts: 1485
sfh 0.227748 4.07925e-10 4.2282e-10 2.19614e-10 #avg: 5.05127e-10; avg_err: 9.63749e-12; sd: 3.71262e-10; counts: 1485
sfh 0.23281 4.30029e-10 3.81517e-10 2.37611e-10 #avg: 5.13249e-10; avg_err: 9.81702e-12; sd: 3.78178e-10; counts: 1485
sfh 0.237873 4.26816e-10 3.99184e-10 2.34509e-10 #avg: 5.10712e-10; avg_err: 9.77273e-12; sd: 3.76472e-10; counts: 1485
sfh 0.242935 4.40249e-10 3.9995e-10 2.4712e-10 #avg: 5.1733e-10; avg_err: 9.60951e-12; sd: 3.70184e-10; counts: 1485
sfh 0.247998 4.4153e-10 4.04706e-10 2.5286e-10 #avg: 5.26112e-10; avg_err: 9.70312e-12; sd: 3.7379e-10; counts: 1485
sfh 0.25306 4.3518e-10 3.91797e-10 2.43279e-10 #avg: 5.16371e-10; avg_err: 9.32514e-12; sd: 3.5923e-10; counts: 1485
sfh 0.258123 4.43597e-10 3.75967e-10 2.60094e-10 #avg: 5.10416e-10; avg_err: 8.93801e-12; sd: 3.44316e-10; counts: 1485
sfh 0.263185 4.42049e-10 3.80286e-10 2.55535e-10 #avg: 5.16265e-10; avg_err: 9.25456e-12; sd: 3.56511e-10; counts: 1485
sfh 0.268248 4.45538e-10 3.84113e-10 2.53144e-10 #avg: 5.17096e-10; avg_err: 9.25702e-12; sd: 3.56606e-10; counts: 1485
sfh 0.27331 4.4577e-10 3.76651e-10 2.49911e-10 #avg: 5.17533e-10; avg_err: 9.32102e-12; sd: 3.59071e-10; counts: 1485
