#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
43.9921 5.46238e+08 5.93059e+06 4.59381e+08 3.13712e+08 1.44542e+08 1.30763e+09 1.22695e+07 1.25149e+09 6.22628e+08 5.58931e+08 2329
61.1936 4.67863e+08 1.72893e+07 4.00439e+08 2.03577e+08 8.55999e+07 1.34401e+09 5.10523e+07 1.25149e+09 9.26147e+08 6.39673e+08 197
81.8782 4.30349e+08 8.81693e+06 3.9284e+08 1.62665e+08 7.58722e+07 9.31956e+08 2.36175e+07 8.53413e+08 4.76928e+08 3.22537e+08 342
102.618 4.7284e+08 5.15339e+06 4.00439e+08 2.35386e+08 8.34711e+07 1.00358e+09 1.24624e+07 8.53413e+08 6.33798e+08 3.22537e+08 1491
127.92 5.26823e+08 3.70701e+06 4.652e+08 2.57427e+08 1.46241e+08 1.07275e+09 8.03629e+06 9.3351e+08 7.09403e+08 4.02633e+08 4195
159.428 6.09139e+08 3.52172e+06 5.30876e+08 3.4972e+08 2.10061e+08 1.14838e+09 6.65215e+06 1.01337e+09 7.84001e+08 4.82497e+08 7627
198.868 7.36722e+08 4.51788e+06 6.29539e+08 4.82497e+08 2.56282e+08 1.18998e+09 6.92335e+06 1.093e+09 7.81121e+08 5.39295e+08 8110
247.361 9.11969e+08 7.44568e+06 7.81121e+08 6.43252e+08 3.79604e+08 1.17836e+09 9.15464e+06 1.01337e+09 8.60745e+08 4.82497e+08 4954
309.324 1.16901e+09 1.57625e+07 1.01337e+09 8.91354e+08 5.30876e+08 1.09173e+09 1.45385e+07 9.3351e+08 7.86793e+08 4.02633e+08 1861
387.319 1.42519e+09 3.42661e+07 1.25797e+09 1.04939e+09 6.32965e+08 1.00071e+09 2.54078e+07 8.32638e+08 7.32575e+08 3.63825e+08 521
481.892 1.63809e+09 9.06623e+07 1.47951e+09 1.28707e+09 8.67697e+08 8.34751e+08 4.2556e+07 7.73094e+08 4.78397e+08 3.23348e+08 108
604.751 2.28255e+09 1.95474e+08 2.41642e+09 6.46287e+08 1.39384e+09 7.69825e+08 1.12545e+08 6.92559e+08 3.20815e+08 2.66809e+08 21
783.697 2.52109e+09 3.80926e+08 2.83824e+09 8.86535e+08 1.66586e+09 6.03608e+08 1.07272e+08 5.30876e+08 3.22537e+08 2.15036e+08 9
955.968 3.313e+09 8.058e+08 4.1188e+09 0 1.6116e+09 9.29332e+08 4.79586e+08 1.40892e+09 0 9.59173e+08 2
