#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.13633e+09 0.000128025 5.01736e-06 899835 13534.1 0 0 0 0.406632 4.74871e-05 0.411014 0.107502 0.11858 0.532267 3.61992e-05 0.545255 0.0634137 0.0831368 0.633838 1.52447e-05 0.643492 0.0146486 0.031575 5084959
1.56733e+10 6.61654e-05 5.59181e-06 902916 18548.8 0 0 0 0.32956 6.98411e-05 0.326278 0.105982 0.10866 0.499839 5.74902e-05 0.512466 0.0640284 0.0863518 0.628187 2.19369e-05 0.636539 0.0167282 0.0325022 2115909
2.47388e+10 9.48504e-05 7.9593e-06 1.65096e+06 30766.5 0 0 0 0.297774 8.06273e-05 0.288893 0.108536 0.094543 0.493342 6.74083e-05 0.504991 0.0651253 0.0866448 0.629063 2.34e-05 0.636301 0.0164049 0.0304038 1497094
3.9131e+10 0.000224032 1.48028e-05 4.16301e+06 60730.5 0 0 0 0.286238 9.50405e-05 0.275216 0.108448 0.0883941 0.503362 7.25413e-05 0.512333 0.05977 0.0761155 0.631926 2.44119e-05 0.637914 0.0149726 0.0267226 1022176
6.20646e+10 0.000542205 2.80292e-05 1.08409e+07 123950 0 0 0 0.291079 0.000112029 0.282324 0.102477 0.0878579 0.513585 7.53903e-05 0.519238 0.0541813 0.0650034 0.633286 2.7518e-05 0.638668 0.0141881 0.0246817 689776
9.8329e+10 0.00101741 4.72592e-05 2.32809e+07 227067 0 0 0 0.309188 0.000132535 0.30417 0.0936395 0.0874282 0.521095 8.36363e-05 0.524953 0.051168 0.0586795 0.634018 3.37669e-05 0.639485 0.0137274 0.0241287 455076
1.55709e+11 0.00194868 8.2047e-05 4.78903e+07 417632 0 0 0 0.334695 0.000156551 0.331871 0.0848051 0.082017 0.530521 9.80652e-05 0.534077 0.0479763 0.055089 0.635117 4.35215e-05 0.641047 0.0131194 0.0241988 288914
2.46608e+11 0.00321757 0.000133273 9.41918e+07 754689 0 0 0 0.362311 0.000184238 0.36027 0.0772794 0.0744436 0.540353 0.000117662 0.543794 0.0451978 0.0517119 0.635139 5.90431e-05 0.641823 0.0130667 0.0253807 180571
3.90201e+11 0.00557927 0.000224716 1.73238e+08 1.31145e+06 0 4.16467e+08 0 0.38588 0.000222384 0.384427 0.0727794 0.0703135 0.540756 0.000151227 0.543596 0.0467002 0.0508116 0.630168 9.23497e-05 0.638859 0.0153874 0.0321277 109871
6.17254e+11 0.00852177 0.000360512 3.08006e+08 2.28093e+06 0 7.51008e+08 0 0.39199 0.00027715 0.390746 0.0697638 0.0672551 0.524732 0.000216115 0.526363 0.0540332 0.0555478 0.617364 0.000159433 0.62929 0.0220246 0.0475 65010
9.76541e+11 0.0152262 0.000640809 5.11878e+08 3.8891e+06 0 1.16426e+09 0 0.378236 0.000361118 0.376913 0.0679518 0.0656612 0.497044 0.000322083 0.496271 0.0642352 0.0603141 0.598048 0.000283528 0.614538 0.0318809 0.0710074 36516
1.54803e+12 0.0229062 0.00106978 7.98575e+08 6.64959e+06 5.43777e+08 1.10898e+09 5.43777e+08 0.355978 0.000482116 0.354641 0.0653558 0.0644053 0.466974 0.000479523 0.462951 0.0733011 0.0629335 0.577087 0.000486451 0.596223 0.0458387 0.0944569 19558
2.4406e+12 0.0361036 0.00186567 1.15319e+09 1.10039e+07 8.74274e+08 1.36795e+09 8.74274e+08 0.331995 0.000660201 0.330373 0.065019 0.0641582 0.438197 0.000736667 0.4311 0.0828534 0.0648309 0.559818 0.000810874 0.581892 0.0580319 0.1156 9999
3.869e+12 0.055532 0.00333451 1.56234e+09 1.91695e+07 1.20998e+09 1.76767e+09 8.76415e+08 0.30896 0.000932309 0.306783 0.0635366 0.0620972 0.415362 0.00119002 0.40414 0.0960262 0.0676799 0.549205 0.00136041 0.576855 0.0631669 0.141569 4718
6.13982e+12 0.0935454 0.00629915 2.06996e+09 3.32246e+07 1.70842e+09 2.11445e+09 1.12888e+09 0.287462 0.00137317 0.285982 0.0607656 0.0623498 0.400489 0.00198599 0.385947 0.113721 0.0750132 0.540495 0.00222345 0.569778 0.0722198 0.150663 2138
9.65017e+12 0.12395 0.0106855 2.54611e+09 5.57268e+07 2.28973e+09 2.25038e+09 1.58234e+09 0.270827 0.00197869 0.267635 0.0614965 0.056742 0.396124 0.00340359 0.376882 0.144524 0.0829583 0.536613 0.00344567 0.56575 0.073734 0.154377 952
1.53064e+13 0.176334 0.0183785 3.03523e+09 9.17382e+07 2.96146e+09 2.17996e+09 2.17063e+09 0.256748 0.00319223 0.250737 0.0624903 0.0541894 0.399325 0.00555282 0.380952 0.157681 0.0990195 0.543245 0.0051046 0.574166 0.0719633 0.146723 431
2.43721e+13 0.227848 0.0334753 3.58467e+09 1.49887e+08 3.68934e+09 2.01178e+09 2.43874e+09 0.250168 0.00450942 0.241417 0.0757102 0.0483294 0.409828 0.00989126 0.392952 0.16431 0.1145 0.554794 0.00840418 0.591007 0.0590093 0.136331 158
3.89238e+13 0.306818 0.049443 4.58995e+09 2.02841e+08 5.16303e+09 1.2395e+09 3.45461e+09 0.230839 0.00673607 0.212009 0.0780926 0.0314626 0.390142 0.0133917 0.367713 0.189667 0.116423 0.562082 0.00930944 0.576158 0.0736879 0.100975 88
5.96071e+13 0.302326 0.0708662 4.86892e+09 2.83435e+08 5.42963e+09 1.29178e+09 2.70463e+09 0.230126 0.00924377 0.224332 0.0408867 0.0479477 0.433194 0.0178577 0.466679 0.0873778 0.140986 0.555324 0.0143703 0.59093 0.0518652 0.146392 43
9.61198e+13 0.352941 0.119471 5.24547e+09 4.91085e+08 6.06928e+09 9.5529e+08 3.58022e+09 0.250072 0.0168254 0.222421 0.11254 0.027501 0.446051 0.0270376 0.478362 0.0747035 0.1892 0.570492 0.0206423 0.593955 0.0611838 0.137458 17
1.55898e+14 0.625 0.182981 6.7274e+09 1.82918e+08 6.96527e+09 2.33731e+08 7.61036e+08 0.227826 0.0206121 0.234964 0.0188066 0.0608171 0.489579 0.0246044 0.462131 0.0961811 0.0123692 0.571884 0.0274184 0.590109 0.0549865 0.0607216 8
