#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.01929e+07 7.50379e+08 2.72262e+06 5.80006e+08 5.81931e+08 2.2836e+08 2.15128e+09 7.88056e+06 1.74201e+09 1.90202e+09 1.02505e+09 35966
1.59065e+08 8.15038e+08 4.17883e+06 6.02658e+08 6.73179e+08 2.48657e+08 2.27415e+09 1.09486e+07 1.85802e+09 2.02994e+09 1.02889e+09 20298
2.52547e+08 8.59063e+08 4.10344e+06 6.61095e+08 7.02981e+08 3.03704e+08 2.37059e+09 1.05409e+07 1.97444e+09 2.03592e+09 1.14531e+09 23532
3.98111e+08 8.95326e+08 4.31315e+06 6.79528e+08 7.38366e+08 3.21047e+08 2.46172e+09 1.06804e+07 1.97444e+09 2.28152e+09 1.14531e+09 25412
6.29949e+08 9.25672e+08 4.41186e+06 6.9722e+08 7.83274e+08 3.35602e+08 2.55028e+09 1.0999e+07 2.09125e+09 2.2879e+09 1.26213e+09 25597
9.97521e+08 9.47597e+08 4.71886e+06 7.0445e+08 8.18922e+08 3.42832e+08 2.65553e+09 1.17411e+07 2.20847e+09 2.41775e+09 1.37934e+09 24487
1.58413e+09 9.99272e+08 5.19173e+06 7.20099e+08 9.0632e+08 3.54653e+08 2.74494e+09 1.24395e+07 2.20847e+09 2.66568e+09 1.37934e+09 23621
2.50825e+09 1.01976e+09 5.39801e+06 7.33444e+08 9.15212e+08 3.66267e+08 2.82653e+09 1.29989e+07 2.32608e+09 2.67231e+09 1.47563e+09 22938
3.97344e+09 1.07613e+09 5.82183e+06 7.97294e+08 9.5178e+08 4.27039e+08 2.88299e+09 1.36847e+07 2.32608e+09 2.77602e+09 1.48972e+09 22103
6.29237e+09 1.12606e+09 6.43169e+06 8.14837e+08 1.04318e+09 4.36348e+08 2.94269e+09 1.42843e+07 2.42087e+09 2.84726e+09 1.50799e+09 21375
9.97575e+09 1.21857e+09 7.23404e+06 8.50454e+08 1.17949e+09 4.33778e+08 2.97498e+09 1.47358e+07 2.44409e+09 2.88655e+09 1.61015e+09 20814
1.57953e+10 1.32556e+09 8.19199e+06 9.35456e+08 1.28271e+09 4.87664e+08 3.00272e+09 1.55301e+07 2.32608e+09 3.06702e+09 1.49696e+09 19867
2.4945e+10 1.4638e+09 9.73764e+06 1.02889e+09 1.4628e+09 5.65703e+08 2.892e+09 1.6142e+07 2.20847e+09 3.05967e+09 1.37934e+09 17876
3.94182e+10 1.66472e+09 1.25309e+07 1.14763e+09 1.77223e+09 6.6895e+08 2.78386e+09 1.78821e+07 2.09125e+09 2.90714e+09 1.26213e+09 14481
6.17502e+10 1.99413e+09 1.81756e+07 1.37934e+09 2.26468e+09 8.16326e+08 2.5749e+09 2.09999e+07 1.87146e+09 2.75476e+09 1.1545e+09 9654
9.64198e+10 2.37275e+09 3.11597e+07 1.5937e+09 2.90887e+09 1.00963e+09 2.32978e+09 2.76522e+07 1.74201e+09 2.26835e+09 1.02505e+09 4662
1.51796e+11 3.06224e+09 6.65318e+07 2.09125e+09 3.96864e+09 1.37429e+09 2.03142e+09 4.30883e+07 1.45929e+09 2.06323e+09 8.54058e+08 1540
2.37668e+11 4.19502e+09 1.63586e+08 3.41011e+09 5.09803e+09 2.58099e+09 1.58413e+09 7.03207e+07 1.16825e+09 1.51297e+09 6.74308e+08 377
3.78861e+11 5.38142e+09 3.91387e+08 5.18518e+09 4.51105e+09 4.1304e+09 1.28044e+09 1.00577e+08 9.41735e+08 1.0327e+09 4.47792e+08 82
6.09767e+11 8.09899e+09 7.69668e+08 9.70418e+09 6.0183e+08 5.81621e+09 1.09987e+09 1.78297e+08 8.29125e+08 9.12884e+08 3.35182e+08 12
9.75183e+11 4.25929e+09 1.67137e+09 4.25596e+09 4.53619e+09 3.42684e+09 1.03759e+09 3.82314e+08 1.34267e+09 6.31769e+08 1.00354e+09 4
