#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.668185 (z=0.496592) stellar mass
#obs_sm range: 10.25 - 10.75
#HM    Stats: 1.163820e+12 (median) + 1.674420e+12  / - 5.345550e+11
#SM    Stats: 3.109010e+10 (median) + 1.597970e+10  / - 1.056090e+10
#ObsSM Stats: 3.082290e+10 (median) + 1.518600e+10  / - 9.656900e+09
#VMP   Stats: 1.991700e+02 (median) + 6.073000e+01  / - 3.094000e+01
#ICL   Stats: 1.838320e+08 (median) + 1.079458e+09  / - 1.525690e+08
#SSFR  Stats: 1.573083e-12 (median) + 2.546931e-12  / - 9.702628e-13
sfh 0.055623 0 0 0 #avg: 3.31398e-21; avg_err: 2.23284e-21; sd: 2.91109e-19; counts: 16999
sfh 0.060123 0 0 0 #avg: 2.28371e-15; avg_err: 5.10836e-16; sd: 6.6601e-14; counts: 16999
sfh 0.062373 0 0 0 #avg: 1.57059e-14; avg_err: 2.31838e-15; sd: 3.02262e-13; counts: 16999
sfh 0.064623 0 0 0 #avg: 5.26551e-14; avg_err: 5.45998e-15; sd: 7.11852e-13; counts: 16999
sfh 0.066873 0 0 0 #avg: 1.55012e-13; avg_err: 1.44391e-14; sd: 1.88252e-12; counts: 16999
sfh 0.069123 0 0 0 #avg: 3.34822e-13; avg_err: 2.36391e-14; sd: 3.08198e-12; counts: 16999
sfh 0.071373 0 0 0 #avg: 5.82772e-13; avg_err: 3.63482e-14; sd: 4.73895e-12; counts: 16999
sfh 0.073623 0 0 0 #avg: 9.04516e-13; avg_err: 5.24681e-14; sd: 6.84061e-12; counts: 16999
sfh 0.075873 0 1.1104e-13 0 #avg: 1.26683e-12; avg_err: 6.42868e-14; sd: 8.38148e-12; counts: 16999
sfh 0.078123 0 6.95956e-13 0 #avg: 1.85677e-12; avg_err: 9.23735e-14; sd: 1.20433e-11; counts: 16999
sfh 0.080373 0 1.58943e-12 0 #avg: 2.30765e-12; avg_err: 9.28415e-14; sd: 1.21043e-11; counts: 16999
sfh 0.082623 0 2.71859e-12 0 #avg: 2.63294e-12; avg_err: 8.91836e-14; sd: 1.16274e-11; counts: 16999
