#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.13633e+09 0.00105979 0.00111446 1.55331e-05 0 0 0 0.000216274 2.14446e-06 0 0 0 5084959
1.56733e+10 0.00118814 0.00123304 2.50429e-05 0 0 0 0.000263372 2.96397e-06 0 0 0 2115909
2.47388e+10 0.00177878 0.00182286 3.5722e-05 0 0 0 0.000437904 4.50845e-06 0 0 0 1497094
3.9131e+10 0.00417247 0.00427715 6.61591e-05 0 0 0 0.000975943 8.65784e-06 0 0 0 1022176
6.20646e+10 0.0104875 0.0109122 0.000130016 0 0 0 0.00228484 1.70435e-05 0 0 0 689776
9.8329e+10 0.0218689 0.0229456 0.000232663 0 0 0 0.00460324 3.07358e-05 0 0 0 455076
1.55709e+11 0.0436877 0.0463979 0.000415653 0 0 0 0.00881502 5.56032e-05 0 0.0102765 0 288914
2.46608e+11 0.0797803 0.0857724 0.000710108 0 0 0 0.0158491 9.73629e-05 0 0.03046 0 180571
3.90201e+11 0.138899 0.151915 0.00119247 0 0 0 0.0270599 0.000166785 0 0.0607915 0 109871
6.17254e+11 0.221458 0.248577 0.00193751 0 1 0 0.0442937 0.000279551 0.0102036 0.0916046 0.0102036 65010
9.76541e+11 0.32342 0.372549 0.00304238 0 1 0 0.0686177 0.000467943 0.0307857 0.121116 0.0307857 36516
1.54803e+12 0.423765 0.506749 0.00468587 0 1 0 0.0989882 0.000767732 0.0620664 0.145827 0.0620664 19558
2.4406e+12 0.49775 0.608361 0.0069266 0 1 0 0.130021 0.00122005 0.100787 0.156621 0.0914875 9999
3.869e+12 0.526918 0.642857 0.0101244 1 0 1 0.154498 0.00195165 0.128225 0.165478 0.117948 4718
6.13982e+12 0.568756 0.714219 0.0156175 1 0 1 0.182626 0.00302187 0.160836 0.171445 0.130333 2138
9.65017e+12 0.521008 0.641807 0.0225618 1 0 1 0.194244 0.00471383 0.17178 0.173238 0.141406 952
1.53064e+13 0.524362 0.638051 0.0336245 1 0 1 0.194071 0.00650873 0.180444 0.14751 0.134986 431
2.43721e+13 0.468354 0.537975 0.0505043 0 1 0 0.207456 0.0112353 0.199245 0.142012 0.129561 158
3.89238e+13 0.454545 0.522727 0.0685292 0 1 0 0.205699 0.0149219 0.170636 0.202409 0.105459 88
5.96071e+13 0.511628 0.627907 0.105356 1 0 1 0.207482 0.0187932 0.189392 0.156059 0.094609 43
9.61198e+13 0.352941 0.352941 0.119471 0 1 0 0.146919 0.0289755 0.125695 0.131003 0.115677 17
1.55898e+14 0.25 0.25 0.163663 0 1 0 0.198954 0.0351056 0.234362 0.0393241 0.109218 8
2.35907e+14 0.2 0.2 0.2 0 1 0 0.120304 0.0425094 0.089487 0.139155 0.0643895 5
3.21324e+14 0 0 0 0 0 0 0.095064 0.095064 0.095064 0 0 1
