#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
44.5554 0.00983612 4.36987e-05 1.32454e+07 51757.2 0 0 0 0.484886 5.83659e-05 0.486385 0.118879 0.126821 0.76868 3.72289e-05 0.776189 0.0711431 0.0860734 0.956091 1.12216e-05 0.9608 0.0177904 0.0268686 5100286
62.1911 0.0351919 0.000150279 5.51583e+07 207747 0 0 0 0.407751 8.7482e-05 0.414047 0.0960666 0.117169 0.733092 5.57098e-05 0.737476 0.0616369 0.0706586 0.944096 2.19833e-05 0.94809 0.0198227 0.026634 1503443
78.6143 0.0870747 0.000325315 1.79788e+08 575612 0 3.55142e+08 0 0.40913 0.000108844 0.413161 0.0821348 0.0957001 0.708643 7.80198e-05 0.712139 0.061648 0.0692304 0.930226 4.31833e-05 0.936965 0.022688 0.0308102 751137
98.7063 0.176925 0.000603105 4.49899e+08 1.30254e+06 0 1.05478e+09 0 0.422427 0.000139907 0.42274 0.0771678 0.0818307 0.681743 0.000114062 0.683769 0.0667709 0.071551 0.903458 8.87538e-05 0.9171 0.0306402 0.0541411 400355
124.13 0.294094 0.0010247 8.87753e+08 2.65715e+06 4.93943e+08 1.36408e+09 4.93943e+08 0.4298 0.000184486 0.428844 0.0710293 0.0734504 0.634501 0.000171292 0.63159 0.074971 0.0699837 0.852268 0.000178832 0.873605 0.0493017 0.102463 197716
156.442 0.43175 0.00158743 1.50334e+09 5.06328e+06 9.84238e+08 1.94626e+09 9.84238e+08 0.402997 0.000235646 0.401417 0.0636717 0.064416 0.563884 0.000258488 0.556154 0.0830011 0.0680001 0.785129 0.000338118 0.802706 0.0885184 0.1338 97362
197.011 0.56924 0.00221872 2.26607e+09 8.97579e+06 1.62642e+09 2.75273e+09 1.13248e+09 0.355864 0.000305581 0.353678 0.0593078 0.0594142 0.492026 0.000374465 0.481145 0.0853225 0.0649973 0.717549 0.000582333 0.723576 0.138351 0.149534 49812
247.948 0.696742 0.00292065 3.0972e+09 1.49816e+07 2.52113e+09 3.12175e+09 1.71203e+09 0.308569 0.000405043 0.306762 0.0567151 0.057274 0.429681 0.000528498 0.419002 0.0809428 0.0635436 0.652359 0.000922042 0.643317 0.176046 0.145171 24771
311.953 0.802865 0.00362013 3.80757e+09 2.32568e+07 3.40132e+09 3.15929e+09 2.34652e+09 0.269802 0.000519665 0.267113 0.0523493 0.049803 0.380073 0.000704208 0.373456 0.0713789 0.0640835 0.58859 0.00133675 0.569987 0.1777 0.126204 12078
392.703 0.864712 0.00447913 4.31284e+09 3.31448e+07 4.13302e+09 2.76102e+09 2.62178e+09 0.240046 0.000658554 0.237422 0.0462906 0.0446786 0.343143 0.000915067 0.339803 0.0642532 0.0632062 0.535933 0.00174474 0.520933 0.131077 0.104912 5832
493.217 0.916917 0.00535256 4.41541e+09 4.50865e+07 4.25596e+09 2.30466e+09 2.28152e+09 0.220039 0.00081965 0.217237 0.0413815 0.0361295 0.320026 0.00112829 0.319899 0.051813 0.0562787 0.500821 0.00201915 0.498403 0.0782419 0.0886596 2660
619.404 0.925798 0.00770214 4.35226e+09 6.22431e+07 4.25596e+09 1.88739e+09 1.92988e+09 0.204778 0.00109867 0.201914 0.0322726 0.0288542 0.305604 0.0016185 0.304318 0.0424895 0.0446618 0.482993 0.00248986 0.480094 0.0608422 0.0644313 1159
778.868 0.932462 0.0117262 4.13953e+09 9.64284e+07 4.01036e+09 1.79925e+09 1.80189e+09 0.190084 0.00141825 0.188363 0.0277333 0.0255412 0.292966 0.0023579 0.293319 0.0344019 0.0360484 0.479286 0.00372603 0.480362 0.0552415 0.0551958 459
973.396 0.954839 0.0167335 3.54374e+09 1.27776e+08 3.52252e+09 1.47588e+09 1.54808e+09 0.188353 0.00176343 0.187814 0.0237636 0.0209899 0.290021 0.00277368 0.290999 0.0336195 0.032658 0.483966 0.0042535 0.482751 0.0574073 0.046407 155
1214.97 0.902439 0.0469156 2.95897e+09 1.94216e+08 3.03971e+09 1.21626e+09 1.75756e+09 0.180597 0.00425452 0.177162 0.0226612 0.0157066 0.290145 0.00884092 0.278119 0.0343456 0.0210772 0.506084 0.00711363 0.50289 0.0389509 0.0352727 41
1622.9 1 0 1.9987e+09 1.28174e+09 3.28045e+09 0 2.56349e+09 0.18198 0.00013265 0.182113 0 0.0002653 0.292224 0.00232536 0.294549 0 0.00465071 0.52104 0.015085 0.536125 0 0.0301699 2
