#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.607 6.42461e+08 1.86057e+06 4.92215e+08 4.47002e+08 1.45442e+08 2.43609e+09 9.82277e+06 1.74201e+09 2.39102e+09 1.02505e+09 42661
63.2878 6.81115e+08 2.26964e+06 5.00724e+08 5.39493e+08 1.5148e+08 2.15596e+09 7.90628e+06 1.74201e+09 1.90202e+09 1.02505e+09 36189
79.7288 7.55695e+08 2.43972e+06 5.8607e+08 5.79912e+08 2.32068e+08 2.48889e+09 8.17101e+06 2.09125e+09 2.16471e+09 1.26213e+09 43103
100.186 8.59041e+08 2.72245e+06 6.67602e+08 6.86768e+08 3.07014e+08 2.84831e+09 8.65951e+06 2.32608e+09 2.67231e+09 1.38435e+09 50521
125.178 1.03054e+09 3.64191e+06 7.66883e+08 9.12613e+08 3.95949e+08 3.0726e+09 9.92737e+06 2.56247e+09 2.83063e+09 1.62073e+09 46018
156.799 1.29612e+09 5.87685e+06 9.54364e+08 1.22436e+09 4.9666e+08 3.02101e+09 1.24109e+07 2.44409e+09 2.94901e+09 1.50235e+09 30455
196.529 1.76371e+09 1.14979e+07 1.28911e+09 1.81697e+09 7.89241e+08 2.64238e+09 1.60461e+07 2.03592e+09 2.71417e+09 1.20679e+09 15757
246.617 2.53001e+09 2.55979e+07 1.86508e+09 2.83752e+09 1.16542e+09 2.12583e+09 2.10024e+07 1.62642e+09 2.01761e+09 9.0946e+08 6231
309.49 3.56819e+09 5.81616e+07 2.91986e+09 3.85478e+09 2.09073e+09 1.7363e+09 2.9433e+07 1.30641e+09 1.61344e+09 7.01181e+08 2088
390.06 4.72806e+09 1.23947e+08 4.45226e+09 4.32522e+09 3.42337e+09 1.38157e+09 3.95535e+07 1.06845e+09 1.14002e+09 5.74509e+08 679
491.078 5.29185e+09 2.51835e+08 5.1021e+09 4.39147e+09 4.16037e+09 1.16074e+09 5.37336e+07 9.41735e+08 8.00274e+08 4.47792e+08 183
622.762 6.43122e+09 4.41811e+08 6.56062e+09 3.6044e+09 5.04937e+09 1.11668e+09 8.41697e+07 1.05478e+09 5.93876e+08 5.60837e+08 68
784.161 6.80454e+09 7.79429e+08 8.29678e+09 2.00922e+09 6.30513e+09 9.78971e+08 1.23647e+08 7.31699e+08 6.64788e+08 2.37757e+08 23
1036.22 6.39699e+09 2.59886e+09 1.0165e+10 1.2689e+09 9.3359e+09 1.03519e+09 3.1357e+08 1.34267e+09 3.9934e+08 1.00354e+09 4
1286.66 4.25596e+09 4.25596e+09 4.25596e+09 0 0 4.94123e+08 4.94123e+08 4.94123e+08 0 0 1
