#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.28773e+09 0.00539084 0.00539084 0.00380674 0 0 0 0.0792796 0.00522876 0.0454158 0.113615 0.0454158 371
1.48344e+10 0 0 0 0 0 0 0.046463 0.0231726 0.014204 0.0532488 0.014204 29
2.57344e+10 0 0 0 0 0 0 0.0445578 0.0217572 0.0155031 0.026095 0.000948533 17
4.1374e+10 0 0 0 0 0 0 0.0265615 0.0032508 0.0158413 0.032614 0.00267756 31
6.68128e+10 0 0 0 0 0 0 0.0371732 0.00386447 0.0165829 0.0399942 0.00314887 83
1.03499e+11 0 0 0 0 0 0 0.0410095 0.00244506 0.0165829 0.0604623 0.00314887 208
1.65176e+11 0 0 0 0 0 0 0.0448543 0.00195982 0.0379243 0.0493873 0.0247605 472
2.57305e+11 0.000977517 0.000977517 0.000977517 0 0 0 0.0531003 0.00150936 0.0397688 0.0576054 0.026605 1023
4.04667e+11 0.00113186 0.00113186 0.000800121 0 0 0 0.0643432 0.00140645 0.0415107 0.0743836 0.0283469 1767
6.38006e+11 0.00561404 0.00561404 0.00139981 0 0 0 0.0835837 0.00130498 0.0647842 0.0890686 0.0513501 2850
1.00722e+12 0.0127707 0.0127707 0.00187113 0 0 0 0.110787 0.00142255 0.0895665 0.105554 0.052742 3602
1.58844e+12 0.0184992 0.0184992 0.00217533 0 0 0 0.139932 0.00160158 0.11821 0.122917 0.0795888 3838
2.49053e+12 0.0312049 0.0312049 0.0029559 0 0 0 0.184927 0.00194942 0.166388 0.138461 0.102806 3461
3.95014e+12 0.0479151 0.0479151 0.00408559 0 0 0 0.237808 0.00245474 0.229546 0.142421 0.124222 2734
6.20015e+12 0.0495444 0.0495444 0.00517994 0 0 0 0.294839 0.00319268 0.294171 0.139732 0.140387 1756
9.79613e+12 0.0668757 0.0668757 0.00807932 0 0 0 0.349278 0.00440384 0.34846 0.14565 0.143278 957
1.53526e+13 0.0283401 0.0283401 0.00747368 0 0 0 0.415081 0.0061468 0.415154 0.14515 0.146813 494
2.46743e+13 0.0341463 0.0341463 0.0127149 0 0 0 0.483998 0.00926969 0.495874 0.114191 0.160724 205
3.84865e+13 0.0263158 0.0263158 0.0184836 0 0 0 0.543237 0.0116554 0.563177 0.0700039 0.117168 76
5.73536e+13 0.0555556 0.0555556 0.0555556 0 0 0 0.594021 0.0247433 0.593405 0.108303 0.093641 18
8.97924e+13 0 0 0 0 0 0 0.637594 0.040293 0.680804 0.0282775 0.154997 4
