#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.41092e+09 0.964736 0.00378001 3.10835e+08 1.29491e+07 0 7.07395e+08 0 0.33698 0.00236745 0.339733 0.121813 0.137434 0.450913 0.00214329 0.475064 0.0704415 0.130687 0.574532 0.00134473 0.593004 0.0255596 0.05187 2382
1.59831e+10 0.991798 0.00226616 1.26705e+08 7.07403e+06 0 4.57264e+08 0 0.29765 0.00227515 0.291208 0.0986303 0.0887636 0.450998 0.00196754 0.459773 0.063027 0.0776171 0.588811 0.000865099 0.595 0.0229429 0.0340647 1585
2.52655e+10 0.996765 0.0013187 1.53217e+08 7.76265e+06 0 4.57264e+08 0 0.264029 0.00189121 0.253101 0.0969624 0.0728835 0.438313 0.00176289 0.447963 0.0628046 0.0837909 0.588871 0.000701979 0.593952 0.023393 0.0334364 1855
4.0291e+10 0.999209 0.000559309 1.70042e+08 6.96409e+06 0 5.40609e+08 0 0.254832 0.00150853 0.244364 0.0879542 0.0646368 0.450334 0.00128795 0.457538 0.05321 0.0690313 0.59296 0.000535427 0.597082 0.0203384 0.0278906 2528
6.37356e+10 0.999138 0.000497287 2.1921e+08 6.7612e+06 0 6.23988e+08 0 0.255793 0.0012502 0.248776 0.0809331 0.0667452 0.46022 0.000970386 0.464865 0.0490011 0.058001 0.594205 0.000442943 0.597821 0.0208147 0.0279242 3482
1.01159e+11 0.998043 0.000618296 3.0287e+08 6.70234e+06 0 7.90825e+08 0 0.269611 0.00100269 0.263464 0.0777895 0.065864 0.472395 0.00072607 0.473974 0.0477271 0.0504629 0.595259 0.000388504 0.599862 0.0215518 0.0303727 5110
1.6028e+11 0.998482 0.000479605 3.61192e+08 6.38616e+06 0 8.74274e+08 0 0.29628 0.000884073 0.29249 0.0732805 0.0679069 0.487094 0.000617104 0.489363 0.0472748 0.0514287 0.598154 0.00035687 0.604053 0.0207755 0.0329965 6589
2.5307e+11 0.998016 0.000480772 4.66489e+08 6.45399e+06 0 1.0412e+09 0 0.32556 0.000778107 0.322153 0.0733752 0.0692796 0.500284 0.000522538 0.503932 0.0446096 0.0517702 0.598599 0.000335657 0.605179 0.0214823 0.03565 8568
4.01147e+11 0.99829 0.00041434 6.06357e+08 6.84551e+06 4.89362e+08 8.02205e+08 4.89362e+08 0.353022 0.000713491 0.351316 0.0717494 0.0682614 0.505548 0.000483937 0.508175 0.0458205 0.0494902 0.593511 0.000348435 0.60085 0.0247035 0.0399275 9943
6.31348e+11 0.99902 0.000295415 7.6608e+08 7.19871e+06 6.23988e+08 8.34415e+08 6.23988e+08 0.365072 0.0006424 0.36468 0.0686626 0.0674378 0.496577 0.000466203 0.497405 0.0501483 0.0500116 0.581504 0.000375491 0.588788 0.0303673 0.0463305 11222
9.98874e+11 0.998317 0.000385743 9.48998e+08 8.062e+06 7.90825e+08 1.00085e+09 7.90825e+08 0.35585 0.000590274 0.356584 0.0603865 0.0638892 0.473393 0.000492744 0.473587 0.0531639 0.0523684 0.563017 0.000441866 0.570387 0.0391522 0.0549378 11291
1.58307e+12 0.998417 0.000383544 1.16748e+09 9.27844e+06 9.57732e+08 1.16629e+09 9.57732e+08 0.335054 0.000581757 0.335003 0.0596539 0.0591195 0.44437 0.00052735 0.442852 0.0566704 0.0518425 0.541067 0.000528182 0.54811 0.0492792 0.0637429 10742
2.49032e+12 0.998548 0.000402315 1.42461e+09 1.13428e+07 1.20812e+09 1.26336e+09 7.50856e+08 0.308783 0.000609137 0.308948 0.0574873 0.059086 0.411748 0.000606032 0.409022 0.0608896 0.0536856 0.516607 0.000672552 0.522094 0.0618151 0.0719791 8956
3.94497e+12 0.999029 0.000366701 1.64649e+09 1.36823e+07 1.38922e+09 1.47699e+09 8.48615e+08 0.283189 0.000641182 0.281763 0.0554142 0.0542982 0.381864 0.000687047 0.380134 0.0582054 0.0563173 0.492718 0.000830219 0.495658 0.0729903 0.0781037 7212
6.23838e+12 0.999241 0.000379255 1.77772e+09 1.65651e+07 1.58293e+09 1.44674e+09 9.58946e+08 0.262492 0.00071022 0.261105 0.0525614 0.0515471 0.356832 0.000822354 0.3554 0.0595757 0.0579493 0.47238 0.00102742 0.47318 0.0799573 0.079683 5272
9.80444e+12 0.998375 0.000663009 1.86173e+09 1.97585e+07 1.70842e+09 1.40274e+09 1.00103e+09 0.241986 0.000790162 0.239639 0.051384 0.0467773 0.331571 0.000941832 0.329519 0.0578997 0.0547037 0.451812 0.00122082 0.451407 0.076869 0.0753336 3692
1.55706e+13 0.998373 0.000813173 1.91603e+09 2.36727e+07 1.79167e+09 1.31949e+09 1.08428e+09 0.227153 0.000863248 0.22351 0.0469998 0.0400411 0.313096 0.00105354 0.311421 0.053565 0.051944 0.434025 0.00140409 0.433238 0.0683869 0.0684109 2458
