#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.63073e+07 0.000693015 3.99309e-05 50434.7 8182.11 0 0 0 0.171728 6.07981e-05 0.165668 0.0470083 0.0330194 0.243038 6.5216e-05 0.24575 0.0431987 0.0486493 0.308803 3.2593e-05 0.314728 0.011542 0.0227767 434334
1.57007e+08 0.00173378 0.000108908 122468 21639 0 0 0 0.175249 0.000107452 0.169874 0.0482229 0.0354906 0.2513 0.000105523 0.254834 0.0389076 0.0461725 0.31263 4.65398e-05 0.317555 0.00971049 0.0194177 145924
2.48817e+08 0.00343539 0.000173883 386447 44997.1 0 0 0 0.178727 0.000122691 0.174158 0.0475215 0.036777 0.255947 0.000114207 0.25964 0.0363709 0.04414 0.314509 4.73461e-05 0.318818 0.00893256 0.0173482 113233
3.94416e+08 0.00667175 0.000274688 802219 74168.6 0 0 0 0.183004 0.000139871 0.178944 0.0473863 0.0377931 0.260566 0.000122611 0.264262 0.0339072 0.0411636 0.31606 4.84519e-05 0.319961 0.00817716 0.0160279 87833
6.25511e+08 0.0112384 0.000402464 1.63185e+06 123627 0 0 0 0.18783 0.000159428 0.184312 0.0476435 0.0390052 0.264525 0.000132741 0.268311 0.031882 0.0396344 0.317041 5.17915e-05 0.320758 0.00777158 0.0151335 68604
9.898e+08 0.020061 0.000604568 3.91294e+06 222558 0 0 0 0.192633 0.000179649 0.189655 0.046792 0.0395737 0.268579 0.000142193 0.272106 0.0305203 0.0370546 0.318244 5.48252e-05 0.321766 0.00720194 0.014139 53786
1.57055e+09 0.0322573 0.000868505 7.26233e+06 349147 0 0 0 0.197326 0.000203999 0.194772 0.0463668 0.0400157 0.271768 0.000156869 0.275469 0.0292102 0.0363188 0.318811 6.26125e-05 0.322512 0.00674495 0.0142098 41386
2.49017e+09 0.0497901 0.00121301 1.42328e+07 569286 0 0 0 0.20172 0.000228545 0.199815 0.0454002 0.0404922 0.274557 0.000169929 0.278209 0.0276325 0.0347088 0.319357 7.18453e-05 0.323188 0.0064196 0.014004 32155
3.94297e+09 0.0767888 0.00169628 2.72804e+07 918962 0 0 0 0.206494 0.000260227 0.204754 0.0449523 0.04055 0.277185 0.000191332 0.280711 0.0274852 0.033868 0.319599 8.65276e-05 0.323991 0.00598177 0.0148371 24639
6.25588e+09 0.113885 0.00227688 4.54362e+07 1.34277e+06 0 0 0 0.21148 0.000291744 0.210082 0.0446065 0.0406798 0.280399 0.000211579 0.284336 0.0263725 0.0340317 0.319664 0.000106527 0.324689 0.00567722 0.0154736 19467
9.9202e+09 0.158243 0.00292669 7.86045e+07 2.04279e+06 0 0 0 0.215443 0.000324632 0.214486 0.0439806 0.041135 0.282211 0.000237578 0.286848 0.0255343 0.0346177 0.319235 0.000131833 0.325162 0.00542602 0.0172487 15552
1.57436e+10 0.219204 0.00368706 1.31153e+08 2.90691e+06 0 3.60165e+08 0 0.219331 0.000359974 0.21874 0.043744 0.0416384 0.282775 0.000272205 0.288541 0.0244896 0.036925 0.317498 0.000176756 0.325188 0.00539932 0.0214341 12591
2.49251e+10 0.288224 0.00436688 1.79455e+08 3.7134e+06 0 5.36715e+08 0 0.220211 0.000388476 0.219717 0.0437358 0.0416625 0.281137 0.00030864 0.287882 0.0243591 0.0389897 0.314675 0.000222919 0.324354 0.00603962 0.0273196 10759
3.94436e+10 0.348118 0.00517431 2.24295e+08 4.58534e+06 0 6.74785e+08 0 0.221236 0.000441749 0.221655 0.043162 0.0433047 0.278495 0.000363169 0.285462 0.0254591 0.0405852 0.311329 0.000277853 0.322608 0.00721529 0.0334477 8477
6.21452e+10 0.399719 0.00612014 2.68442e+08 5.67119e+06 0 7.43049e+08 0 0.219495 0.00050715 0.219009 0.0445388 0.041596 0.273859 0.000440092 0.280801 0.027711 0.0433446 0.307197 0.00035313 0.319058 0.0100332 0.0390742 6407
9.76606e+10 0.446946 0.00799924 3.02671e+08 7.5932e+06 0 8.10788e+08 0 0.216423 0.000655282 0.216849 0.043082 0.0429108 0.268562 0.000577744 0.275109 0.0294133 0.0449878 0.303004 0.000478052 0.314694 0.013219 0.0413896 3864
1.53329e+11 0.474845 0.0118762 3.17213e+08 1.14462e+07 0 8.77994e+08 0 0.2142 0.000954434 0.213418 0.0438299 0.0419787 0.264508 0.000876383 0.271542 0.0303928 0.0473342 0.300318 0.000724061 0.310951 0.0156758 0.0427766 1769
2.40601e+11 0.461268 0.0209349 2.91157e+08 1.97318e+07 0 8.10788e+08 0 0.213917 0.0016513 0.214712 0.0407542 0.0420349 0.262596 0.00155799 0.268367 0.0311534 0.0461875 0.299171 0.00124383 0.31005 0.0149742 0.0389128 568
3.78342e+11 0.542254 0.041957 3.39157e+08 4.2168e+07 0 8.10788e+08 0 0.208038 0.00337336 0.205694 0.0454082 0.0390045 0.255295 0.00332935 0.260445 0.0389844 0.0459729 0.292535 0.00301478 0.30409 0.0210504 0.042916 142
5.85718e+11 0.352941 0.119471 1.68165e+08 1.02412e+08 0 5.36715e+08 0 0.205831 0.00782652 0.205378 0.0237322 0.0277033 0.265985 0.00655795 0.265072 0.0293483 0.025435 0.299328 0.00621202 0.298339 0.028433 0.0262735 17
8.96525e+11 1 1 1.39517e+09 1.39517e+09 1.39517e+09 0 0 0.14717 0.14717 0.14717 0 0 0.189077 0.189077 0.189077 0 0 0.330549 0.330549 0.330549 0 0 1
