#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#sm range: 9.25 - 9.75
#HM    Stats: 4.561760e+11 (median) + 2.457360e+11  / - 1.808820e+11
#SM    Stats: 3.184820e+09 (median) + 1.464550e+09  / - 1.020690e+09
#ObsSM Stats: 3.224430e+09 (median) + 2.508920e+09  / - 1.441930e+09
#VMP   Stats: 1.841100e+02 (median) + 2.099001e+01  / - 1.664999e+01
#ICL   Stats: 3.412950e+07 (median) + 1.077605e+08  / - 3.058785e+07
#SSFR  Stats: 2.407604e-12 (median) + 3.181250e-12  / - 1.559483e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2947
sfh 0.060123 0 0 0 #avg: 3.30936e-15; avg_err: 3.15297e-15; sd: 1.71134e-13; counts: 2947
sfh 0.062373 0 0 0 #avg: 6.06171e-14; avg_err: 2.72059e-14; sd: 1.47666e-12; counts: 2947
sfh 0.064623 0 0 0 #avg: 4.11469e-13; avg_err: 1.13339e-13; sd: 6.1517e-12; counts: 2947
sfh 0.066873 0 0 0 #avg: 8.384e-13; avg_err: 1.92895e-13; sd: 1.04698e-11; counts: 2947
sfh 0.069123 0 0 0 #avg: 1.93085e-12; avg_err: 3.22609e-13; sd: 1.75103e-11; counts: 2947
sfh 0.071373 0 0 0 #avg: 3.9388e-12; avg_err: 6.59362e-13; sd: 3.57882e-11; counts: 2947
sfh 0.073623 0 0 0 #avg: 6.879e-12; avg_err: 9.6265e-13; sd: 5.22498e-11; counts: 2947
sfh 0.075873 0 1.10106e-13 0 #avg: 1.0216e-11; avg_err: 1.17835e-12; sd: 6.39572e-11; counts: 2947
sfh 0.078123 0 4.36469e-12 0 #avg: 1.3589e-11; avg_err: 1.28966e-12; sd: 6.99991e-11; counts: 2947
sfh 0.080373 0 1.26252e-11 0 #avg: 1.73643e-11; avg_err: 1.72245e-12; sd: 9.34893e-11; counts: 2947
sfh 0.082623 0 2.1786e-11 0 #avg: 2.10011e-11; avg_err: 1.60864e-12; sd: 8.73124e-11; counts: 2947
