#mpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.26958e+09 0 0 0 0 0 0 0.0334978 0.0334978 0 0 0 13
1.48513e+10 0 0 0 0 0 0 0.018443 0.00922377 0.0273089 0.000711052 0.0273089 3
2.55824e+10 0 0 0 0 0 0 0.0152412 0.0152412 0.0304824 0 0.0304824 2
4.21548e+10 0 0 0 0 0 0 0.0126561 0.00732723 0.0239798 0.00266494 0.0239798 4
9.40191e+10 0 0 0 0 0 0 0.0396711 0.00765154 0.0266447 0.0528155 0.00234406 14
1.60499e+11 0 0 0 0 0 0 0.0443039 0.00921009 0.0260233 0.0445711 0.00293079 27
2.52772e+11 0 0 0 0 0 0 0.0711884 0.00879969 0.0705944 0.0550875 0.0456105 43
4.03559e+11 0 0 0 0 0 0 0.0616457 0.00744736 0.02802 0.084713 0.00404024 68
6.10505e+11 0 0 0 0 0 0 0.0842199 0.00953942 0.0680542 0.105537 0.0440744 54
9.67974e+11 0 0 0 0 0 0 0.107132 0.0134325 0.0909051 0.117178 0.0666045 44
1.59032e+12 0 0 0 0 0 0 0.0748969 0.0113048 0.0665244 0.0568985 0.0422238 23
2.42417e+12 0 0 0 0 0 0 0.141133 0.0255067 0.118462 0.13334 0.0953697 18
3.96256e+12 0 0 0 0 0 0 0.114732 0.0416923 0.069713 0.173625 0.0442718 8
