#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
8.42057e+07 0.00311042 0.00311042 0.00219769 0 0 0 0.0500431 0.00237861 0.0389897 0.0489604 0.0255557 643
1.62889e+08 0 0 0 0 0 0 0.0591197 0.00258465 0.0401805 0.069867 0.026884 536
2.5451e+08 0.00127714 0.00127714 0.00127714 0 0 0 0.0610382 0.0021896 0.040717 0.074082 0.0274206 783
4.00514e+08 0.000893655 0.000893655 0.000893655 0 0 0 0.0674339 0.00198804 0.0415107 0.0832956 0.0282142 1119
6.36363e+08 0.00287356 0.00287356 0.00143523 0 0 0 0.075393 0.00194493 0.0463689 0.0914595 0.0330725 1392
1.01136e+09 0.00429646 0.00429646 0.00151617 0 0 0 0.0836513 0.00186153 0.0632668 0.0943456 0.0499704 1862
1.60032e+09 0.00556845 0.00556845 0.00160336 0 0 0 0.0968253 0.00188816 0.0667627 0.111569 0.0530376 2155
2.53123e+09 0.0105391 0.0105391 0.00205639 0 0 0 0.109789 0.00196096 0.0858943 0.113888 0.0720155 2467
4.00106e+09 0.00759219 0.00759219 0.00165075 0 0 0 0.124801 0.00201815 0.0922278 0.137224 0.0555538 2766
6.32297e+09 0.0136143 0.0136143 0.00208672 0 0 0 0.144161 0.00207919 0.113744 0.145451 0.0758195 3085
1.00454e+10 0.0161843 0.0161843 0.00222646 0 0 0 0.163307 0.00226299 0.134814 0.156497 0.095824 3213
1.58504e+10 0.0250442 0.0250442 0.00268259 0 0 0 0.18457 0.00237938 0.154778 0.182246 0.114336 3394
2.51383e+10 0.0356844 0.0356844 0.00309773 0 0 0 0.195193 0.00242249 0.162728 0.190508 0.11973 3587
3.96433e+10 0.04 0.04 0.0033736 0 0 0 0.217233 0.0025513 0.192219 0.181593 0.128637 3375
6.2566e+10 0.0512545 0.0512545 0.00417558 0 0 0 0.228452 0.00287245 0.206309 0.181669 0.14074 2790
9.77686e+10 0.0409964 0.0409964 0.00451809 0 0 0 0.234347 0.00343549 0.21311 0.18755 0.130748 1927
1.53523e+11 0.0443038 0.0443038 0.0066866 0 0 0 0.235233 0.00506951 0.210409 0.193775 0.141436 948
2.4095e+11 0.0338983 0.0338983 0.0105542 0 0 0 0.226519 0.00902785 0.196067 0.195899 0.130648 295
3.7427e+11 0.0344828 0.0344828 0.0196758 0 0 0 0.241402 0.0156601 0.202456 0.228067 0.113941 87
5.83949e+11 0 0 0 0 0 0 0.155043 0.0512398 0.109187 0.140081 0.0718928 8
8.96525e+11 0 0 0 0 0 0 0.401494 0.401494 0.401494 0 0 1
