#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.64914e+07 0.00120988 4.34058e-05 65560.3 7675.05 0 0 0 0.16641 4.47844e-05 0.161877 0.0389986 0.0300075 0.239383 4.99306e-05 0.24089 0.0405646 0.0436549 0.310301 2.07879e-05 0.314212 0.0107838 0.0184411 641388
1.5691e+08 0.00299257 0.000117384 263798 26375 0 0 0 0.168662 7.93742e-05 0.164083 0.0405073 0.0312904 0.245805 8.33598e-05 0.247883 0.0385048 0.0426416 0.312846 3.20464e-05 0.316377 0.00958824 0.0165165 216536
2.48614e+08 0.00561997 0.000183276 613714 48039.4 0 0 0 0.171901 9.21998e-05 0.167381 0.0414809 0.0318682 0.250262 9.19973e-05 0.252812 0.0364653 0.0416573 0.314434 3.37584e-05 0.317677 0.00883564 0.0151395 166371
3.94189e+08 0.0104347 0.000285165 1.15342e+06 75641.4 0 0 0 0.175836 0.000106828 0.171438 0.0423728 0.0327872 0.254683 0.000101261 0.257369 0.0347725 0.0401904 0.315782 3.57423e-05 0.318781 0.0082089 0.0140641 126980
6.24808e+08 0.0168496 0.000411051 2.48513e+06 126361 0 0 0 0.180134 0.000123757 0.17589 0.0435124 0.0340094 0.258528 0.000111641 0.261425 0.0331523 0.0389754 0.316713 3.90068e-05 0.319678 0.00773874 0.0135124 98044
9.88948e+08 0.0288929 0.000610517 5.20304e+06 214498 0 0 0 0.184672 0.000142591 0.180595 0.0439411 0.0346456 0.262581 0.000122606 0.265565 0.031702 0.0373583 0.31777 4.28587e-05 0.320661 0.00731993 0.0128694 75278
1.5696e+09 0.0437382 0.000857661 9.18141e+06 332301 0 0 0 0.189132 0.000165568 0.18515 0.0443216 0.0354255 0.266044 0.00013732 0.268968 0.0310142 0.0362538 0.318367 5.02372e-05 0.321493 0.00688791 0.0129208 56861
2.48834e+09 0.0657391 0.00118652 1.60291e+07 508729 0 0 0 0.193515 0.00018871 0.189792 0.0444889 0.0360803 0.269174 0.000151528 0.272317 0.029254 0.0353984 0.318875 5.86617e-05 0.322252 0.00661016 0.0129185 43627
3.94171e+09 0.0968733 0.00163129 2.69241e+07 765488 0 0 0 0.198283 0.000218714 0.194876 0.0447819 0.0368152 0.272102 0.000172184 0.275262 0.0290664 0.034614 0.319098 7.29029e-05 0.322994 0.00633609 0.0135707 32878
6.24968e+09 0.137335 0.00215185 4.41378e+07 1.11425e+06 0 0 0 0.203466 0.000250258 0.200697 0.0447388 0.0383185 0.275813 0.000192082 0.279397 0.0279272 0.0346691 0.319094 9.2915e-05 0.323831 0.00599307 0.0146496 25587
9.91461e+09 0.183187 0.00273633 6.7569e+07 1.57826e+06 0 0 0 0.207706 0.000283109 0.205498 0.0442863 0.0387931 0.278073 0.000217316 0.282482 0.0270837 0.0354816 0.318673 0.000118193 0.324432 0.00570333 0.0165179 19985
1.57363e+10 0.245262 0.00341419 1.00665e+08 2.13785e+06 0 0 0 0.212134 0.000319413 0.210143 0.0451268 0.0396741 0.279183 0.000249674 0.284857 0.0256903 0.0383328 0.317073 0.00015649 0.324609 0.00559145 0.0212265 15881
2.4921e+10 0.308839 0.00401934 1.23548e+08 2.5596e+06 0 3.60165e+08 0 0.214032 0.000349558 0.212515 0.0449246 0.0402355 0.278691 0.000280175 0.284892 0.0255744 0.0397645 0.314541 0.000197779 0.323837 0.00620154 0.0262241 13214
3.93988e+10 0.367369 0.00474969 1.53484e+08 3.18454e+06 0 4.66944e+08 0 0.215313 0.000401226 0.213864 0.0452131 0.0418117 0.275972 0.000335368 0.282869 0.0263788 0.0416787 0.310918 0.000252748 0.322173 0.00732389 0.0335526 10303
6.21249e+10 0.413825 0.00566262 1.69826e+08 3.8102e+06 0 5.36715e+08 0 0.214936 0.000466447 0.213337 0.0455258 0.0404703 0.272099 0.000406669 0.278994 0.0281402 0.0444526 0.307058 0.000320943 0.319002 0.00982055 0.0395043 7566
9.75365e+10 0.457231 0.00739753 1.81186e+08 4.9699e+06 0 5.36715e+08 0 0.212626 0.000604205 0.211539 0.045105 0.040713 0.266739 0.000535999 0.273456 0.0299466 0.0447816 0.302325 0.000433577 0.313563 0.014024 0.041827 4536
1.5311e+11 0.488933 0.0110892 1.93668e+08 7.64153e+06 0 6.06006e+08 0 0.210723 0.000899773 0.20901 0.046208 0.0410983 0.262378 0.000835158 0.269424 0.0308635 0.0483257 0.298669 0.000686219 0.309643 0.0165834 0.0442194 2033
2.40658e+11 0.475969 0.01968 1.6126e+08 1.2713e+07 0 4.66944e+08 0 0.210534 0.00154227 0.208034 0.045131 0.0376956 0.260572 0.00143624 0.266932 0.02997 0.0445569 0.298388 0.0011547 0.307975 0.0168636 0.0388224 645
3.77399e+11 0.56051 0.0397378 2.20312e+08 2.92087e+07 0 6.74785e+08 0 0.205113 0.00316634 0.202137 0.0461933 0.0390051 0.254566 0.00306121 0.258441 0.036992 0.0473701 0.29003 0.00267924 0.298838 0.0256445 0.048019 157
5.84497e+11 0.4 0.11239 3.03003e+07 3.03003e+07 0 0 0 0.209215 0.00790461 0.208165 0.0220274 0.0287947 0.262723 0.00739778 0.268464 0.0141598 0.0253077 0.298723 0.00737025 0.306253 0.0203519 0.0203658 20
8.96525e+11 1 1 0 0 0 0 0 0.131211 0.131211 0.131211 0 0 0.185652 0.185652 0.185652 0 0 0.238357 0.238357 0.238357 0 0 1
