#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
49.9143 0.0145719 0.0176078 0.00376798 0 0 0 0.0361791 0.00128253 0.018417 0.0432863 0.0126471 1647
63.9119 0.0256588 0.0261211 0.00246893 0 0 0 0.0404665 0.000736568 0.0270798 0.0463775 0.021522 4326
81.6279 0.0595137 0.060704 0.00224734 0 0 0 0.0606037 0.00057964 0.0450176 0.0662353 0.0392926 11762
100.405 0.125917 0.132592 0.00246778 0 0 0 0.0887887 0.000539335 0.067773 0.0944462 0.0519194 21125
125.674 0.232468 0.255554 0.00330363 0 1 0 0.135008 0.000691994 0.116015 0.118507 0.0798153 21831
157.531 0.365112 0.422404 0.00455692 0 1 0 0.201504 0.000938935 0.186922 0.143807 0.117253 17559
197.575 0.449422 0.542479 0.00615722 0 1 0 0.287328 0.00131437 0.282412 0.156139 0.149255 11853
248.067 0.452582 0.54558 0.0082884 0 1 0 0.365329 0.00190343 0.368287 0.159877 0.17007 6527
311.826 0.368516 0.433655 0.0107588 0 1 0 0.426748 0.00284142 0.430163 0.170339 0.178744 3316
392.285 0.274278 0.307087 0.0136155 0 1 0 0.461321 0.00442254 0.469886 0.178241 0.195081 1524
491.671 0.236162 0.256458 0.0208404 0 1 0 0.453995 0.00744544 0.450005 0.209948 0.184211 542
617.144 0.150289 0.16185 0.0303828 0 0 0 0.445867 0.0132056 0.459543 0.172272 0.194302 173
779.947 0.186047 0.186047 0.0600463 0 1 0 0.467362 0.0234257 0.47938 0.14357 0.185391 43
946.404 0.4 0.4 0.244949 0 1 0 0.375997 0.0756682 0.433835 0.15626 0.259449 5
1213.52 0 0 0 0 0 0 0.234931 0.234931 0.234931 0 0 1
