#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.5268 0.0109532 0.0114629 4.95289e-05 0 0 0 0.00126649 3.95506e-06 0 0 0 5050119
62.1519 0.0394999 0.0426147 0.000180641 0 0 0 0.00440026 1.43938e-05 0 0 0 1450534
78.4733 0.11369 0.129119 0.00046134 0 0 0 0.0130013 4.03577e-05 0 0.0252548 0 685732
98.4675 0.262984 0.323138 0.00103903 0 1 0 0.0331211 9.99124e-05 0.00644452 0.0666394 0.00644452 329522
123.689 0.486763 0.668573 0.00217347 0 1 0 0.0714505 0.000229269 0.0403089 0.109791 0.0403089 139569
155.708 0.7285 1.18046 0.004165 1 1 1 0.137317 0.000492391 0.111906 0.144858 0.0907288 55326
195.852 0.887123 1.73673 0.00723365 2 1 1 0.235697 0.000966441 0.222336 0.163618 0.13767 21457
246.366 0.950346 2.08387 0.0124183 2 1 1 0.361233 0.00182321 0.362077 0.165959 0.170567 7512
309.412 0.950021 2.07434 0.0223467 2 1 1 0.487329 0.00328582 0.500388 0.147958 0.17897 2381
389.873 0.887199 1.76426 0.0401481 2 1 1 0.598369 0.00546836 0.619531 0.125328 0.168695 789
489.906 0.81448 1.35294 0.0657943 1 1 1 0.68901 0.00711145 0.703104 0.0830061 0.11459 221
620.713 0.709302 1.11628 0.108992 1 1 1 0.721585 0.0150674 0.746264 0.0816147 0.113637 86
765.418 0.645161 0.967742 0.170287 1 1 1 0.759629 0.0257191 0.787972 0.0895941 0.0825816 31
1004.47 0.428571 0.428571 0.202031 0 1 0 0.82305 0.0268506 0.798957 0.104311 0.0422022 7
1213 0.25 0.25 0.25 0 1 0 0.839671 0.00904021 0.845582 0.0156057 0.0269261 4
