#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
45.7194 1.1044e-05 1.1044e-05 3.18812e-06 0 0 0 2.53e-05 1.46251e-06 0 0 0 1086560
62.7167 0 0 0 0 0 0 7.0003e-06 8.32299e-07 0 0 0 603773
79.6191 0 0 0 0 0 0 2.76478e-05 1.86004e-06 0 0 0 437389
98.319 1.99236e-05 1.99236e-05 8.91002e-06 0 0 0 0.00024509 7.65536e-06 0 0 0 250959
123.692 0.000535295 0.000535295 7.21603e-05 0 0 0 0.00193608 3.90833e-05 0 0 0 102747
155.26 0.00464758 0.00464758 0.000350511 0 0 0 0.00945686 0.000155184 0 0 0 37654
195.023 0.0209976 0.0209976 0.00130623 0 0 0 0.0294864 0.000526673 0 0.0716995 0 12049
244.185 0.06476 0.06476 0.00446279 0 0 0 0.0676824 0.00165602 0.024659 0.136863 0.024659 3042
304.978 0.108772 0.108772 0.0130526 0 0 0 0.117139 0.00511921 0.0872393 0.157943 0.0872393 570
383.54 0.106667 0.106667 0.0358844 0 0 0 0.176373 0.0181871 0.135709 0.22868 0.135709 75
483.186 0 0 0 0 0 0 0.229554 0.0611649 0.290014 0.131735 0.268649 6
719.45 0 0 0 0 0 0 0.498117 0.498117 0.498117 0 0 1
