#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
48.1955 7.59089e+08 4.5757e+07 6.05944e+08 5.35115e+08 2.54298e+08 1.55354e+09 1.42022e+08 1.05478e+09 1.2713e+09 4.83141e+08 95
63.3465 8.02893e+08 3.681e+07 6.74308e+08 6.94895e+08 3.0213e+08 1.33071e+09 7.75948e+07 9.41735e+08 1.14952e+09 3.36501e+08 166
81.07 9.20915e+08 3.45218e+07 7.1696e+08 7.94287e+08 3.22979e+08 1.74778e+09 7.83409e+07 1.16825e+09 1.99165e+09 5.63017e+08 327
100.612 1.10877e+09 3.40876e+07 8.29125e+08 1.01638e+09 3.67593e+08 2.04134e+09 7.39998e+07 1.43556e+09 2.15529e+09 8.30325e+08 519
125.998 1.30718e+09 4.35413e+07 9.41735e+08 1.2106e+09 4.47792e+08 2.0885e+09 6.76772e+07 1.59731e+09 2.16854e+09 9.92076e+08 598
157.869 1.53727e+09 4.86111e+07 1.16825e+09 1.51297e+09 6.7325e+08 2.13528e+09 7.09748e+07 1.59731e+09 2.16854e+09 9.12625e+08 564
198.197 1.85268e+09 7.20067e+07 1.39649e+09 1.64322e+09 7.91253e+08 2.06775e+09 7.86576e+07 1.50235e+09 2.14167e+09 7.93245e+08 438
247.931 2.29459e+09 1.20584e+08 1.51125e+09 2.49911e+09 7.94287e+08 1.61041e+09 8.57265e+07 1.16825e+09 1.63211e+09 6.74308e+08 250
312.805 2.4713e+09 1.70369e+08 2.02994e+09 2.47263e+09 1.31298e+09 1.30279e+09 8.85419e+07 1.08156e+09 1.07703e+09 5.87615e+08 106
394.246 3.01791e+09 2.89697e+08 2.56247e+09 2.31168e+09 1.73334e+09 1.50585e+09 1.70165e+08 1.05478e+09 1.74558e+09 6.06988e+08 51
497.601 3.21422e+09 3.54001e+08 3.52252e+09 1.22757e+09 2.69339e+09 1.44315e+09 1.95706e+08 1.05478e+09 1.12746e+09 4.49546e+08 31
630.634 2.86119e+09 5.44309e+08 3.28045e+09 1.70004e+09 2.6612e+09 1.34042e+09 3.21341e+08 1.16825e+09 1.04022e+09 6.74308e+08 12
838.138 2.70394e+09 2.52183e+08 2.91728e+09 2.06382e+08 9.42846e+08 9.74808e+08 2.28378e+08 9.45422e+08 6.80997e+08 3.40188e+08 4
1010.35 3.66219e+09 3.66219e+09 3.66219e+09 0 0 7.1696e+08 7.1696e+08 7.1696e+08 0 0 1
