#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
6.29976e+07 3.6085e+08 2.55313e+07 3.43845e+08 6.72051e+07 1.61892e+07 6.0396e+08 1.37017e+08 4.66944e+08 4.1105e+08 0 3
1.52973e+08 3.9116e+08 3.44987e+07 3.82884e+08 7.17357e+07 4.69084e+07 6.37648e+08 1.50633e+08 6.74785e+08 2.03209e+08 3.1462e+08 3
2.7789e+08 4.2936e+08 4.03187e+07 3.82884e+08 1.4798e+08 5.81037e+07 5.7743e+08 8.79323e+07 4.66944e+08 4.7771e+08 1.06779e+08 10
3.93826e+08 4.01802e+08 2.69131e+07 3.82884e+08 6.77396e+07 5.52283e+07 6.6879e+08 8.32112e+07 6.06006e+08 4.70296e+08 2.45841e+08 15
6.61007e+08 4.06386e+08 1.7614e+07 3.82884e+08 1.52378e+08 4.96311e+07 5.6018e+08 3.70329e+07 5.36715e+08 2.74073e+08 1.7655e+08 25
1.05163e+09 4.26264e+08 2.01642e+07 3.82884e+08 1.34945e+08 4.69084e+07 5.41384e+08 3.68456e+07 4.66944e+08 2.07841e+08 1.06779e+08 36
1.59075e+09 4.34946e+08 1.39269e+07 4.07939e+08 1.0989e+08 7.19634e+07 5.8289e+08 2.569e+07 5.36715e+08 3.41278e+08 1.7655e+08 60
2.53091e+09 4.4637e+08 1.50488e+07 4.1105e+08 1.73439e+08 7.24017e+07 5.83525e+08 2.36449e+07 6.06006e+08 2.04782e+08 2.45841e+08 68
4.00231e+09 4.61053e+08 1.57662e+07 4.01517e+08 2.44803e+08 6.82641e+07 6.25752e+08 2.52322e+07 5.36715e+08 4.07939e+08 1.7655e+08 101
6.44097e+09 4.73906e+08 1.19817e+07 4.50623e+08 1.89786e+08 1.14648e+08 6.19593e+08 1.98873e+07 6.06006e+08 2.04782e+08 2.45841e+08 144
1.01226e+10 4.74049e+08 1.12517e+07 4.1105e+08 2.39545e+08 7.24017e+07 6.08211e+08 1.68265e+07 5.89564e+08 2.21224e+08 2.29399e+08 175
1.6086e+10 5.11843e+08 1.29083e+07 4.58646e+08 2.57491e+08 1.17368e+08 6.42712e+08 1.86708e+07 6.06006e+08 2.71987e+08 2.45841e+08 185
2.50885e+10 5.51527e+08 1.339e+07 4.70295e+08 3.18873e+08 1.31647e+08 6.26645e+08 1.4854e+07 6.06006e+08 2.71987e+08 2.45841e+08 289
3.95783e+10 5.69973e+08 1.23932e+07 5.17181e+08 2.78717e+08 1.7117e+08 6.34445e+08 1.35261e+07 6.06006e+08 2.71987e+08 2.45841e+08 322
6.1659e+10 5.75378e+08 1.43731e+07 5.17828e+08 2.78069e+08 1.7655e+08 7.05232e+08 1.57369e+07 6.74785e+08 3.35975e+08 2.07841e+08 273
9.81999e+10 5.60651e+08 1.83117e+07 4.97762e+08 2.40944e+08 1.43404e+08 8.01285e+08 2.5464e+07 7.43049e+08 3.98219e+08 2.76105e+08 150
1.47226e+11 5.72217e+08 4.34141e+07 4.9269e+08 4.16579e+08 1.54042e+08 7.77423e+08 5.37508e+07 8.10788e+08 2.65513e+08 3.43845e+08 33
2.23557e+11 4.03812e+08 2.19318e+07 4.20356e+08 4.6588e+07 5.46299e+07 1.14379e+09 1.18256e+08 1.26943e+09 1.2574e+08 4.66944e+08 7
