#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.56122e+07 0 0 0 0 0 0 1.45466e-06 5.38182e-07 0 0 0 387292
1.56482e+08 0 0 0 0 0 0 1.01348e-05 4.61566e-06 0 0 0 116575
2.47927e+08 0 0 0 0 0 0 1.9771e-05 4.74172e-06 0 0 0 82603
3.93091e+08 0 0 0 0 0 0 4.69047e-05 7.95705e-06 0 0 0 58623
6.22478e+08 0 0 0 0 0 0 0.000104896 1.42113e-05 0 0 0 41038
9.85846e+08 0 0 0 0 0 0 0.000290566 3.2153e-05 0 0 0 28620
1.56511e+09 0 0 0 0 0 0 0.000505446 5.18907e-05 0 0 0 19767
2.47168e+09 0 0 0 0 0 0 0.000826587 8.05541e-05 0 0 0 13407
3.92448e+09 0 0 0 0 0 0 0.00148098 0.000129949 0 0 0 9223
6.21456e+09 0 0 0 0 0 0 0.00290834 0.000228411 0 0 0 6181
9.83465e+09 0 0 0 0 0 0 0.0042354 0.000365462 0 0 0 3970
1.5559e+10 0 0 0 0 0 0 0.00799604 0.000656838 0 0 0 2616
2.46437e+10 0 0 0 0 0 0 0.0140387 0.00109794 0 0 0 1716
3.90264e+10 0 0 0 0 0 0 0.0169544 0.0016036 0 0.0236718 0 956
6.2396e+10 0 0 0 0 0 0 0.0215825 0.00228605 0 0.0463466 0 569
9.74244e+10 0 0 0 0 0 0 0.0271714 0.00374402 0 0.0554199 0 301
1.51773e+11 0 0 0 0 0 0 0.020975 0.00440984 0 0.0441665 0 142
2.47352e+11 0 0 0 0 0 0 0.0185265 0.00732934 0 0.0273089 0 47
3.94098e+11 0 0 0 0 0 0 0.00607577 0.00607577 0 0 0 16
6.33082e+11 0 0 0 0 0 0 0 0 0 0 0 2
9.79374e+11 0 0 0 0 0 0 0 0 0 0 0 1
