#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 6.380880e+09 (median) + 2.507360e+09  / - 1.595590e+09
#SM    Stats: 9.734690e+06 (median) + 1.218611e+07  / - 5.258730e+06
#ObsSM Stats: 4.738620e+07 (median) + 6.862180e+07  / - 2.171510e+07
#VMP   Stats: 5.065000e+01 (median) + 5.739998e+00  / - 5.800003e+00
#ICL   Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR  Stats: 8.253417e-12 (median) + 1.130221e-12  / - 2.358893e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 57
sfh 0.071373 0 0 0 #avg: 2.72089e-11; avg_err: 2.72089e-11; sd: 2.03612e-10; counts: 57
sfh 0.073623 0 0 0 #avg: 3.49541e-11; avg_err: 3.49541e-11; sd: 2.61572e-10; counts: 57
sfh 0.075873 0 0 0 #avg: 2.77218e-11; avg_err: 2.77218e-11; sd: 2.07451e-10; counts: 57
sfh 0.078123 0 0 0 #avg: 4.99875e-11; avg_err: 4.99875e-11; sd: 3.74072e-10; counts: 57
sfh 0.080373 0 0 0 #avg: 1.11229e-10; avg_err: 1.11229e-10; sd: 8.32364e-10; counts: 57
sfh 0.082623 0 0 0 #avg: 7.83403e-11; avg_err: 7.83403e-11; sd: 5.86245e-10; counts: 57
sfh 0.085998 0 0 0 #avg: 4.0802e-11; avg_err: 4.0802e-11; sd: 3.05335e-10; counts: 57
sfh 0.089373 0 0 0 #avg: 5.53361e-11; avg_err: 5.53361e-11; sd: 4.14097e-10; counts: 57
