#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.07821e+07 8.21784e+08 4.91811e+06 6.10506e+08 6.71646e+08 2.55364e+08 2.07482e+09 1.21347e+07 1.62642e+09 1.8961e+09 9.0946e+08 13994
1.60114e+08 9.21857e+08 7.41618e+06 6.9722e+08 7.72417e+08 3.37679e+08 2.16015e+09 1.61872e+07 1.74201e+09 1.90202e+09 1.02505e+09 8662
2.53154e+08 9.7561e+08 6.95362e+06 7.22157e+08 8.52579e+08 3.58579e+08 2.25678e+09 1.49938e+07 1.85802e+09 2.02994e+09 1.05183e+09 10988
3.98466e+08 1.00613e+09 6.97136e+06 7.36724e+08 8.89722e+08 3.70393e+08 2.34117e+09 1.49864e+07 1.85802e+09 2.15234e+09 1.02889e+09 12116
6.28236e+08 1.05022e+09 7.57333e+06 7.94287e+08 9.32842e+08 4.26288e+08 2.37402e+09 1.55392e+07 1.97444e+09 2.15859e+09 1.14531e+09 11672
9.93838e+08 1.09795e+09 8.3514e+06 8.17019e+08 1.01743e+09 4.44841e+08 2.43286e+09 1.69924e+07 1.97444e+09 2.28152e+09 1.14531e+09 10538
1.57651e+09 1.14766e+09 9.52708e+06 8.33819e+08 1.06012e+09 4.62239e+08 2.52161e+09 1.85711e+07 2.09125e+09 2.2879e+09 1.26213e+09 9340
2.49641e+09 1.20057e+09 1.08747e+07 8.52577e+08 1.13235e+09 4.37327e+08 2.55043e+09 2.02237e+07 2.09125e+09 2.41132e+09 1.26213e+09 8277
3.96054e+09 1.25365e+09 1.20009e+07 9.16284e+08 1.22149e+09 4.99776e+08 2.59196e+09 2.2215e+07 2.09125e+09 2.53496e+09 1.26213e+09 7329
6.26491e+09 1.31996e+09 1.37472e+07 9.41735e+08 1.3058e+09 4.88708e+08 2.55403e+09 2.34131e+07 1.97444e+09 2.52813e+09 1.14531e+09 6464
9.98914e+09 1.42128e+09 1.66295e+07 9.87138e+08 1.44446e+09 5.30672e+08 2.59787e+09 2.63253e+07 1.97444e+09 2.65178e+09 1.25748e+09 5516
1.57066e+10 1.55117e+09 1.94844e+07 1.06184e+09 1.73852e+09 5.95382e+08 2.52937e+09 2.82537e+07 1.85863e+09 2.76759e+09 1.14167e+09 4788
2.4809e+10 1.67004e+09 2.33531e+07 1.16771e+09 1.86087e+09 6.86244e+08 2.47818e+09 3.11155e+07 1.85802e+09 2.64455e+09 1.14106e+09 3855
3.92975e+10 1.77277e+09 3.07514e+07 1.19994e+09 2.0108e+09 7.0875e+08 2.35732e+09 3.58917e+07 1.74907e+09 2.38395e+09 1.03211e+09 2599
6.14225e+10 2.00417e+09 4.36779e+07 1.38435e+09 2.32155e+09 8.25387e+08 2.30092e+09 4.78653e+07 1.62642e+09 2.62954e+09 1.00936e+09 1552
9.48728e+10 2.2635e+09 7.86157e+07 1.56188e+09 2.68452e+09 9.73849e+08 2.17926e+09 7.56759e+07 1.54922e+09 2.38463e+09 9.43986e+08 610
1.48391e+11 2.53937e+09 1.52792e+08 2.09073e+09 2.20763e+09 1.4855e+09 2.02278e+09 1.22209e+08 1.39649e+09 2.12603e+09 7.91253e+08 169
2.35591e+11 2.48541e+09 3.20317e+08 1.85802e+09 3.20587e+09 1.27426e+09 2.18726e+09 4.0472e+08 1.16771e+09 2.47632e+09 6.73766e+08 35
3.50512e+11 1.68175e+09 5.39981e+08 2.68123e+09 4.78677e+08 2.22647e+09 2.19894e+09 8.68242e+08 1.57879e+09 4.81495e+09 9.72846e+08 6
