#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
7.56122e+07 1.29102e-05 5.77357e-06 0 0 0 0 0 0.132883 3.1962e-05 0.131895 0.0215727 0.0196139 0.163783 2.8457e-05 0.165149 0.0173118 0.0197145 0.191637 1.28708e-05 0.193726 0.00504439 0.00929859 387292
1.56482e+08 6.00472e-05 2.26951e-05 2920.88 2920.88 0 0 0 0.131764 5.83938e-05 0.130919 0.0214713 0.0196939 0.16542 5.0682e-05 0.167001 0.0165199 0.0194847 0.192558 2.1538e-05 0.194499 0.00456406 0.00849105 116575
2.47927e+08 9.68488e-05 3.42398e-05 0 0 0 0 0 0.131646 6.93351e-05 0.130821 0.0215043 0.0195305 0.166331 5.89305e-05 0.167889 0.0160898 0.0189725 0.192989 2.41338e-05 0.194827 0.00435564 0.00818807 82603
3.93091e+08 0.000358221 7.81569e-05 0 0 0 0 0 0.132252 8.28713e-05 0.131484 0.0215001 0.0196677 0.167511 6.84441e-05 0.169099 0.015609 0.0187937 0.193455 2.74751e-05 0.195259 0.00405814 0.00787096 58623
6.22478e+08 0.000901603 0.000148158 0 0 0 0 0 0.133472 9.88997e-05 0.132997 0.021151 0.0199588 0.168755 8.0314e-05 0.170517 0.0150356 0.0186575 0.193911 3.13729e-05 0.195629 0.0038631 0.00744894 41038
9.85846e+08 0.00213138 0.000272609 0 0 0 0 0 0.134689 0.000118357 0.134034 0.0214524 0.0197312 0.169832 9.42053e-05 0.171615 0.0148715 0.0181937 0.19435 3.55977e-05 0.196005 0.00362867 0.00702423 28620
1.56511e+09 0.0033389 0.000410314 0 0 0 0 0 0.136115 0.000142553 0.135518 0.0217538 0.0196735 0.171037 0.000110193 0.172947 0.0141267 0.0178663 0.194705 4.11005e-05 0.19634 0.00339329 0.00676678 19767
2.47168e+09 0.00581786 0.000656848 0 0 0 0 0 0.137214 0.000169607 0.13679 0.0210009 0.0195785 0.171801 0.000131256 0.173818 0.0135663 0.0176449 0.194937 4.98061e-05 0.196604 0.00322057 0.00667742 13407
3.92448e+09 0.0132278 0.00118971 45903 45903 0 0 0 0.138883 0.000204131 0.138314 0.0213832 0.0193088 0.173398 0.000151286 0.175481 0.0128621 0.0168947 0.195321 5.74526e-05 0.196816 0.00314556 0.00620401 9223
6.21456e+09 0.0186054 0.00171889 0 0 0 0 0 0.140792 0.000250926 0.140585 0.0212193 0.0200842 0.174239 0.000184233 0.176329 0.0125606 0.0170274 0.195526 6.89975e-05 0.197099 0.002994 0.00617535 6181
9.83465e+09 0.0282116 0.0026282 192409 136835 0 0 0 0.141745 0.000308898 0.141857 0.0203505 0.0201332 0.174968 0.000222761 0.177093 0.0120979 0.0166356 0.195723 8.47106e-05 0.197348 0.00274453 0.00611304 3970
1.5559e+10 0.058104 0.00457476 875992 359381 0 0 0 0.143436 0.000379438 0.143048 0.0207546 0.0198652 0.175912 0.000266338 0.178274 0.0112804 0.0167138 0.195614 0.000114812 0.197421 0.0027207 0.00612633 2616
2.46437e+10 0.0967366 0.0071379 445143 316520 0 0 0 0.144268 0.000466568 0.144413 0.0209081 0.0210426 0.175754 0.000328352 0.177813 0.011758 0.0159322 0.195298 0.000153613 0.197302 0.0028338 0.00670934 1716
3.90264e+10 0.114017 0.0102848 1.42469e+06 711226 0 0 0 0.145507 0.000621974 0.146401 0.0184118 0.021462 0.176299 0.000439818 0.178271 0.011636 0.0161214 0.195102 0.000225943 0.197317 0.00284614 0.00705984 956
6.2396e+10 0.151142 0.0150292 0 0 0 0 0 0.146452 0.000800582 0.146094 0.0215289 0.0196038 0.175883 0.000572917 0.178356 0.0110639 0.0161351 0.194598 0.00030272 0.196833 0.00321425 0.00765736 569
9.74244e+10 0.159468 0.0211375 2.26247e+06 1.59714e+06 0 0 0 0.145399 0.0011075 0.144499 0.022583 0.0202093 0.174673 0.00089688 0.178891 0.0108202 0.0186918 0.194043 0.000503682 0.196969 0.00302082 0.00839804 301
1.51773e+11 0.161972 0.031027 0 0 0 0 0 0.148328 0.00145309 0.147833 0.0214022 0.017646 0.176275 0.00105286 0.177904 0.0114128 0.01512 0.194685 0.00053647 0.196776 0.00322691 0.0078411 142
2.47352e+11 0.12766 0.0492029 9.00773e+06 9.00773e+06 0 0 0 0.144939 0.00240836 0.141337 0.0216914 0.0136092 0.172216 0.00213058 0.176184 0.00945389 0.0187706 0.193395 0.00118936 0.195492 0.00375223 0.00489962 47
3.94098e+11 0 0 0 0 0 0 0 0.148753 0.00449965 0.154637 0.013095 0.0332775 0.177937 0.00258496 0.177752 0.00844933 0.00681485 0.195665 0.00123881 0.197111 0.00312662 0.00494105 16
6.33082e+11 0 0 0 0 0 0 0 0.168233 0.000772856 0.169006 0 0.00154571 0.186271 0.000634141 0.186906 0 0.00126828 0.198388 0.000510328 0.198898 0 0.00102066 2
9.79374e+11 0 0 0 0 0 0 0 0.136123 0.136123 0.136123 0 0 0.173525 0.173525 0.173525 0 0 0.19717 0.19717 0.19717 0 0 1
