#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
45.1053 5.90939e+08 1.3687e+07 4.33892e+08 3.7614e+08 1.02149e+08 2.43981e+09 4.49998e+07 2.37244e+09 1.70064e+09 1.58161e+09 1011
64.3272 5.3479e+08 6.64545e+06 4.17294e+08 3.33399e+08 8.36331e+07 1.25573e+09 1.98909e+07 1.0412e+09 8.33673e+08 4.17209e+08 1486
82.2311 6.18909e+08 4.23898e+06 5.00671e+08 4.15712e+08 1.67007e+08 1.34958e+09 1.02924e+07 1.12466e+09 9.99364e+08 5.00674e+08 5988
100.646 7.09362e+08 3.66195e+06 5.83762e+08 4.97108e+08 2.49961e+08 1.48063e+09 8.0726e+06 1.20812e+09 1.24692e+09 5.84132e+08 12552
125.395 8.28073e+08 4.61333e+06 6.6675e+08 6.3145e+08 2.76789e+08 1.60802e+09 8.83957e+06 1.375e+09 1.2449e+09 7.51009e+08 12781
156.737 9.96845e+08 7.12834e+06 8.18569e+08 7.65213e+08 4.02967e+08 1.65999e+09 1.14066e+07 1.375e+09 1.40925e+09 7.51009e+08 8466
195.242 1.24103e+09 1.39205e+07 1.00026e+09 1.08001e+09 5.29715e+08 1.55445e+09 1.67123e+07 1.29157e+09 1.32833e+09 6.67579e+08 3661
244.185 1.51788e+09 3.05169e+07 1.29157e+09 1.20749e+09 7.10261e+08 1.39543e+09 2.85724e+07 1.12466e+09 1.08226e+09 5.84053e+08 1063
307.132 1.78437e+09 7.51533e+07 1.41471e+09 1.54675e+09 7.90718e+08 1.14941e+09 4.80885e+07 9.17794e+08 9.57076e+08 4.18529e+08 247
386.843 2.10731e+09 1.69463e+08 1.88124e+09 1.63459e+09 1.09041e+09 9.82923e+08 9.26659e+07 7.90825e+08 6.67578e+08 3.33561e+08 49
475.707 2.77693e+09 4.64005e+08 3.02968e+09 1.0434e+09 1.57127e+09 8.82593e+08 2.93537e+08 4.99584e+08 5.83729e+08 4.23206e+07 9
662.31 3.52815e+09 3.52815e+09 3.52815e+09 0 0 1.54178e+09 1.54178e+09 1.54178e+09 0 0 1
