#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.6346e+07 2.8077e-05 2.8077e-05 1.14623e-05 0 0 0 0.000204088 8.00612e-06 0 0 0 213698
1.56774e+08 0.000101772 0.000101772 3.84646e-05 0 0 0 0.000548489 2.47626e-05 0 0 0 68781
2.48295e+08 0.000274531 0.000274531 7.33622e-05 0 0 0 0.00101947 3.97922e-05 0 0 0 50996
3.94247e+08 0.0005791 0.0005791 0.00012343 0 0 0 0.00185948 6.51687e-05 0 0 0 37990
6.23635e+08 0.00122668 0.00122668 0.000210249 0 0 0 0.00319878 0.000103947 0 0 0 27717
9.87899e+08 0.00289566 0.00289566 0.000379677 0 0 0 0.00533015 0.000161489 0 0 0 20030
1.56126e+09 0.0037359 0.0037359 0.000517126 0 0 0 0.00819427 0.000251643 0 0 0 13919
2.47587e+09 0.00497925 0.00497925 0.000716939 0 0 0 0.011543 0.000361058 0 0.0230003 0 9640
3.91733e+09 0.00970294 0.00970294 0.00119774 0 0 0 0.0163952 0.000537992 0 0.0251359 0 6699
6.20377e+09 0.0140598 0.0140598 0.00174526 0 0 0 0.0220622 0.000783465 0 0.0481254 0 4552
9.89057e+09 0.0209836 0.0209836 0.00259571 0 0 0 0.0291435 0.0010723 0 0.0706007 0 3050
1.56197e+10 0.0344326 0.0344326 0.0040164 0 0 0 0.0370816 0.00153986 0 0.0896745 0 2062
2.48273e+10 0.0416382 0.0416382 0.00522084 0 0 0 0.0483509 0.00213704 0 0.118223 0 1465
3.94231e+10 0.0552017 0.0552017 0.00744476 0 0 0 0.0449152 0.00258168 0 0.114646 0 942
6.13456e+10 0.040493 0.040493 0.00827794 0 0 0 0.0452903 0.00298371 0 0.11595 0 568
9.64466e+10 0.0494297 0.0494297 0.0133917 0 0 0 0.0462416 0.00460813 0 0.119112 0 263
1.49537e+11 0.0263158 0.0263158 0.0184836 0 0 0 0.0259227 0.00558434 0 0.0682944 0 76
2.37225e+11 0 0 0 0 0 0 0.0139506 0.00741384 0 0.0244195 0 7
