#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#vmpeak range: 2.78333 - 2.95
#HM    Stats: 2.919120e+13 (median) + 8.102898e+12  / - 5.955901e+12
#SM    Stats: 9.652260e+10 (median) + 7.452639e+10  / - 3.898700e+10
#ObsSM Stats: 6.565760e+10 (median) + 7.803740e+10  / - 3.231260e+10
#VMP   Stats: 6.604600e+02 (median) + 6.016998e+01  / - 3.350000e+01
#ICL   Stats: 5.477550e+09 (median) + 8.739049e+09  / - 3.894200e+09
#SSFR  Stats: 1.798533e-11 (median) + 2.270279e-11  / - 5.004852e-12
sfh 0.055623 0 0 0 #avg: 9.69908e-24; avg_err: 9.69908e-24; sd: 5.81945e-23; counts: 37
sfh 0.060123 0 7.50936e-15 0 #avg: 1.02306e-13; avg_err: 5.51259e-14; sd: 3.30756e-13; counts: 37
sfh 0.062373 0 5.57837e-14 0 #avg: 3.13079e-13; avg_err: 1.74858e-13; sd: 1.04915e-12; counts: 37
sfh 0.064623 0 4.56592e-13 0 #avg: 7.21419e-13; avg_err: 4.31769e-13; sd: 2.59061e-12; counts: 37
sfh 0.066873 2.69686e-15 4.89163e-12 2.69686e-15 #avg: 1.36809e-12; avg_err: 4.48815e-13; sd: 2.69289e-12; counts: 37
sfh 0.069123 5.20698e-13 7.59453e-12 5.20698e-13 #avg: 3.86963e-12; avg_err: 1.30612e-12; sd: 7.83669e-12; counts: 37
sfh 0.071373 1.78984e-12 1.51759e-11 1.78984e-12 #avg: 6.90894e-12; avg_err: 2.10271e-12; sd: 1.26162e-11; counts: 37
sfh 0.073623 3.48051e-12 2.0616e-11 3.48045e-12 #avg: 1.05803e-11; avg_err: 2.7274e-12; sd: 1.63644e-11; counts: 37
sfh 0.075873 5.95061e-12 2.49827e-11 5.9029e-12 #avg: 1.80114e-11; avg_err: 4.76871e-12; sd: 2.86123e-11; counts: 37
sfh 0.078123 6.9299e-12 5.38004e-11 6.75812e-12 #avg: 2.41849e-11; avg_err: 7.15093e-12; sd: 4.29056e-11; counts: 37
sfh 0.080373 8.4891e-12 6.69838e-11 8.10798e-12 #avg: 3.24622e-11; avg_err: 9.34846e-12; sd: 5.60908e-11; counts: 37
