#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
44.2839 0.0103832 0.0108535 5.1935e-05 0 0 0 0.00149199 4.84405e-06 0 0 0 4342108
62.095 0.0341676 0.0366858 0.000188911 0 0 0 0.00466814 1.71002e-05 0 0 0 1137744
78.3515 0.0888138 0.0987358 0.000461769 0 0 0 0.0118789 4.35306e-05 0 0.0190853 0 516834
98.7387 0.211026 0.249532 0.00103001 0 1 0 0.0301182 0.000104517 0 0.0676443 0 257025
124.113 0.409242 0.532511 0.00205386 0 1 0 0.0688261 0.000231582 0.0376059 0.109141 0.0376059 127355
156.536 0.611067 0.896234 0.00354559 1 1 1 0.129838 0.000444898 0.105411 0.140718 0.0882727 63682
197.167 0.728928 1.16437 0.00526749 1 1 1 0.208785 0.000749346 0.192585 0.161822 0.130085 33729
248.101 0.724132 1.16846 0.00744699 1 1 1 0.278757 0.00115085 0.26864 0.170459 0.148719 17280
311.982 0.658937 1.00489 0.010101 1 1 1 0.314512 0.00157586 0.30845 0.157468 0.143608 8582
392.806 0.571562 0.784263 0.0125632 1 1 1 0.330486 0.00205516 0.325554 0.143238 0.129582 4283
493.689 0.479703 0.623762 0.016734 0 1 0 0.32629 0.00248672 0.325446 0.111932 0.110138 2020
619.903 0.424044 0.526776 0.023557 0 1 0 0.318114 0.00325856 0.31826 0.0953639 0.0967953 915
780.421 0.366492 0.421466 0.0311413 0 1 0 0.298396 0.00480391 0.295754 0.0952493 0.0876703 382
974.588 0.319444 0.361111 0.0468626 0 1 0 0.269909 0.0066687 0.27901 0.0717275 0.0979299 144
1214.48 0.325 0.4 0.1 0 1 0 0.24153 0.010137 0.235507 0.069688 0.0542209 40
1622.9 0.5 0.5 0.5 1 0 1 0.185957 0.0476621 0.233619 0 0.0953243 2
