#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.34128e+07 4.90665e+08 7.76116e+06 4.02633e+08 3.04296e+08 8.36737e+07 9.17977e+08 1.5803e+07 7.73094e+08 6.35825e+08 2.42217e+08 718
1.60887e+08 4.86089e+08 7.93335e+06 4.02633e+08 2.38863e+08 8.36737e+07 9.48919e+08 1.82559e+07 8.53413e+08 5.55505e+08 3.22537e+08 610
2.50753e+08 5.12843e+08 8.74501e+06 4.03668e+08 3.12692e+08 8.47085e+07 9.47364e+08 1.67826e+07 8.53413e+08 5.55505e+08 3.22537e+08 743
4.01019e+08 5.43784e+08 8.42478e+06 4.72215e+08 3.11786e+08 1.52311e+08 9.63115e+08 1.49941e+07 8.53413e+08 6.33798e+08 3.22537e+08 952
6.31934e+08 5.69264e+08 8.76532e+06 4.76928e+08 3.5925e+08 1.57024e+08 9.67721e+08 1.43039e+07 8.53413e+08 5.55505e+08 3.22537e+08 1018
1.0022e+09 5.81549e+08 8.87056e+06 4.81181e+08 3.73034e+08 1.60366e+08 1.01765e+09 1.59749e+07 8.53413e+08 7.11799e+08 3.22537e+08 1079
1.59547e+09 6.20022e+08 9.72731e+06 5.30876e+08 4.02713e+08 2.10061e+08 1.02186e+09 1.53318e+07 8.53413e+08 7.11799e+08 3.22537e+08 1147
2.49773e+09 6.45227e+08 9.69567e+06 5.51839e+08 4.53426e+08 2.29302e+08 1.05447e+09 1.61329e+07 9.3351e+08 6.37908e+08 4.02633e+08 1158
3.9886e+09 6.95675e+08 1.09321e+07 5.63628e+08 4.70708e+08 2.05368e+08 1.07532e+09 1.57058e+07 9.3351e+08 7.09403e+08 4.02633e+08 1273
6.34645e+09 7.06992e+08 1.11522e+07 6.04016e+08 4.93096e+08 2.80668e+08 1.06977e+09 1.55958e+07 9.3351e+08 7.09403e+08 4.02633e+08 1262
9.97339e+09 7.73283e+08 1.27807e+07 6.27305e+08 6.01713e+08 2.62115e+08 1.08151e+09 1.54641e+07 9.3351e+08 7.86793e+08 4.02633e+08 1363
1.5741e+10 7.79245e+08 1.28654e+07 6.31703e+08 5.81301e+08 2.56899e+08 1.13076e+09 1.5842e+07 1.01337e+09 7.06929e+08 4.61535e+08 1343
2.50307e+10 8.14646e+08 1.41648e+07 6.84283e+08 5.82215e+08 3.05794e+08 1.21835e+09 1.82301e+07 1.093e+09 7.81121e+08 4.81181e+08 1262
3.93826e+10 8.45103e+08 1.62643e+07 6.92559e+08 6.5507e+08 3.08884e+08 1.26841e+09 2.09141e+07 1.17237e+09 7.78153e+08 5.60556e+08 1018
6.18063e+10 8.66288e+08 2.30405e+07 6.99822e+08 6.7061e+08 3.1451e+08 1.33719e+09 3.08133e+07 1.17237e+09 1.00526e+09 6.13441e+08 591
9.60583e+10 8.6299e+08 3.38747e+07 6.94916e+08 7.09627e+08 3.11242e+08 1.3719e+09 4.94443e+07 1.17237e+09 1.22902e+09 5.60556e+08 270
1.47219e+11 9.40364e+08 7.10848e+07 8.43689e+08 5.65229e+08 3.84308e+08 1.30159e+09 9.61372e+07 1.11547e+09 8.35058e+08 4.22908e+08 57
2.26573e+11 8.63888e+08 1.50629e+08 6.27711e+08 9.1433e+08 1.77965e+08 9.44321e+08 2.09411e+08 7.73094e+08 7.92119e+08 3.23348e+08 11
