#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
48.4617 0.0169492 0.0169492 0 0 0 0 0 0.133083 0.00338058 0.129347 0.0372372 0.0214377 0.146627 0.0030092 0.143758 0.0305179 0.0233261 0.169399 0.00185378 0.171636 0.0120693 0.019183 59
62.1482 0.04 0.04 1.69345e+07 1.69345e+07 0 0 0 0.119404 0.00465416 0.111754 0.0376321 0.0170648 0.132643 0.00451488 0.123499 0.0384729 0.00766124 0.159625 0.00334493 0.159335 0.0206677 0.0144947 25
77.2452 0 0 0 0 0 0 0 0.132363 0.010281 0.124914 0.0303845 0.0200434 0.142549 0.00958339 0.13646 0.026588 0.0116524 0.160076 0.00841397 0.15812 0.0177553 0.000937447 7
100.951 0.714286 0.184428 0 0 0 0 0 0.110483 0.00369394 0.106507 0.0136392 0.00350987 0.139789 0.0038797 0.142306 0.00832814 0.0143045 0.170541 0.00251959 0.168412 0.00727692 0.00173222 7
131.251 1 0 0 0 0 0 0 0.12096 0.00448306 0.120149 0.0230817 0.0201393 0.147373 0.00409273 0.152391 0.0112218 0.0183089 0.178771 0.0014049 0.179014 0.00449431 0.00537449 15
161.228 1 0 0 0 0 0 0 0.12684 0.00189379 0.126611 0.0165109 0.0151672 0.155826 0.0015763 0.157819 0.0130611 0.0162469 0.180916 0.000793995 0.182029 0.00556932 0.00865929 90
202.704 0.991379 0.00608254 0 0 0 0 0 0.129037 0.00116627 0.127591 0.0208601 0.0177973 0.160419 0.000867321 0.162614 0.0107238 0.01609 0.18432 0.000484151 0.185449 0.00568427 0.00785035 232
251.367 0.97995 0.00702617 853387 853387 0 0 0 0.131942 0.000884337 0.132026 0.0165607 0.0166501 0.163608 0.000669392 0.165798 0.010787 0.0153189 0.185547 0.000383645 0.186643 0.00625056 0.00929916 399
317.426 0.994949 0.00356672 5.36836e+06 2.18609e+06 0 0 0 0.136916 0.000858686 0.136942 0.0183102 0.0175008 0.167201 0.000626074 0.168888 0.0103696 0.014551 0.186847 0.000421109 0.189144 0.00538552 0.0101471 396
395.351 0.995475 0.00452489 1.97656e+07 5.92864e+06 0 0 0 0.135074 0.00117926 0.136386 0.0170529 0.0201601 0.164771 0.000905022 0.166572 0.0116727 0.0157087 0.184798 0.00066289 0.186677 0.00732325 0.0120866 221
493.422 0.989796 0.0102041 2.60126e+07 9.57693e+06 0 0 0 0.12978 0.00169025 0.129765 0.0149633 0.0174771 0.157172 0.00150438 0.157286 0.0146891 0.0152641 0.177432 0.00122778 0.177391 0.0132015 0.0127628 98
609.565 1 0 0 0 0 0 0 0.124188 0.00403522 0.119208 0.0314592 0.0144743 0.148471 0.00386161 0.147974 0.0211045 0.0144415 0.172579 0.00266409 0.175065 0.00911994 0.0146129 17
735.39 1 1 0 0 0 0 0 0.123459 0.123459 0.123459 0 0 0.150966 0.150966 0.150966 0 0 0.185824 0.185824 0.185824 0 0 1
