#For SF galaxies, QTime is the duration of the last period when they were quenched.
#mpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.32722e+09 0.00151645 4.69876e-05 1.58149e+06 52505 0 0 0 0.361832 0.000135346 0.357823 0.117076 0.117457 0.505352 0.00011352 0.521771 0.0692764 0.0997448 0.628919 4.82966e-05 0.63967 0.0157409 0.0329753 685810
1.57978e+10 0.00447491 0.00010861 2.684e+06 79977.6 0 0 0 0.298683 0.000165728 0.286839 0.110213 0.0913476 0.479075 0.00015 0.493208 0.0705856 0.0987757 0.625064 5.58357e-05 0.633886 0.0172907 0.0334811 377661
2.48843e+10 0.0100911 0.000175763 7.66736e+06 151946 0 0 0 0.277877 0.000176998 0.260942 0.114216 0.081329 0.478835 0.000154853 0.49056 0.0706496 0.0943281 0.626356 5.34701e-05 0.634026 0.0169173 0.0314606 323355
3.92666e+10 0.023025 0.00029909 2.09523e+07 294000 0 0 0 0.270166 0.000192076 0.254128 0.107261 0.0771336 0.488752 0.000154202 0.497369 0.0642319 0.0808977 0.627829 5.56731e-05 0.6349 0.0158203 0.0293947 251466
6.23334e+10 0.0495923 0.000500074 5.28192e+07 556900 0 0 0 0.274541 0.000208491 0.262877 0.096976 0.0772986 0.495579 0.00015508 0.501681 0.058175 0.0702711 0.626934 6.71383e-05 0.634653 0.0156645 0.0302597 188477
9.8456e+10 0.0874929 0.000772383 1.05775e+08 954786 0 0 0 0.291605 0.000238483 0.284191 0.0894085 0.0796575 0.50168 0.000170482 0.506931 0.0551558 0.0660122 0.625231 8.87432e-05 0.63465 0.015863 0.0341311 133828
1.55667e+11 0.145484 0.00120053 2.03182e+08 1.68527e+06 0 5.00466e+08 0 0.313582 0.000287341 0.308312 0.0832767 0.0783817 0.508961 0.000206032 0.514899 0.0522545 0.0649597 0.622336 0.000128137 0.63446 0.016553 0.0414978 86257
2.46794e+11 0.226616 0.00180298 3.6478e+08 2.89894e+06 0 8.99509e+08 0 0.335568 0.000346403 0.332455 0.0772123 0.0758376 0.512635 0.000261161 0.518904 0.0514413 0.064281 0.61491 0.000196285 0.630651 0.0197136 0.0553944 53915
3.91121e+11 0.330411 0.00253853 6.06589e+08 4.69413e+06 0 1.375e+09 0 0.348461 0.000422336 0.347133 0.0739032 0.0754278 0.500822 0.000343288 0.506663 0.0551676 0.0673567 0.596438 0.00030884 0.614576 0.0318508 0.0745724 34333
6.19505e+11 0.443273 0.00338544 9.30395e+08 7.32361e+06 6.23988e+08 1.334e+09 6.23988e+08 0.348699 0.000525731 0.348156 0.0721657 0.075832 0.47466 0.000465085 0.477594 0.06339 0.0684711 0.566912 0.000478258 0.58149 0.0548128 0.0877452 21533
9.83648e+11 0.563735 0.00424236 1.32776e+09 1.07887e+07 9.96637e+08 1.62326e+09 9.96637e+08 0.33491 0.000647127 0.333358 0.0720251 0.0724723 0.441847 0.000608879 0.441651 0.068681 0.067891 0.530466 0.000693835 0.537797 0.0809284 0.0936731 13666
1.5545e+12 0.671153 0.0051274 1.77725e+09 1.54642e+07 1.4584e+09 1.81521e+09 1.00114e+09 0.314374 0.000795911 0.310877 0.0706623 0.0674572 0.4092 0.000801767 0.406298 0.0725124 0.067272 0.495854 0.000973344 0.497684 0.0978153 0.0946789 8396
2.46285e+12 0.780502 0.00579755 2.35082e+09 2.20709e+07 2.12403e+09 2.02762e+09 1.41663e+09 0.291685 0.00096404 0.287115 0.0677296 0.0620207 0.37943 0.00104746 0.373134 0.076806 0.0637619 0.463696 0.00133643 0.456872 0.116471 0.0910338 5098
3.91568e+12 0.853777 0.00634907 2.8725e+09 3.0793e+07 2.70214e+09 2.14289e+09 1.74441e+09 0.270944 0.00120273 0.26579 0.0671273 0.0594901 0.356072 0.00143469 0.346231 0.083037 0.0659529 0.442025 0.00183969 0.433562 0.123587 0.0973276 3098
6.16887e+12 0.899468 0.00693716 3.43309e+09 4.11434e+07 3.51583e+09 1.92138e+09 2.22426e+09 0.255106 0.00149044 0.250516 0.0631973 0.0580664 0.337205 0.0019557 0.323599 0.0907968 0.0646501 0.427978 0.00257697 0.416626 0.139392 0.109248 1880
9.79671e+12 0.931979 0.00748676 4.15001e+09 5.40548e+07 4.58428e+09 1.41674e+09 2.70941e+09 0.237505 0.00179789 0.229124 0.0652173 0.0465812 0.323425 0.00268914 0.30425 0.110468 0.0621552 0.419033 0.00338529 0.411369 0.139316 0.11394 1132
1.5767e+13 0.946117 0.00899553 4.5547e+09 7.29571e+07 4.99534e+09 1.34166e+09 2.6229e+09 0.229222 0.00261259 0.218587 0.0603323 0.0445453 0.326461 0.00420353 0.299025 0.139651 0.0688856 0.43189 0.0047729 0.43313 0.127748 0.136765 631
2.46847e+13 0.96519 0.0103277 5.10326e+09 8.84573e+07 5.58097e+09 8.86535e+08 2.30736e+09 0.219173 0.00324648 0.210824 0.0473988 0.0400525 0.32286 0.00585686 0.291278 0.148877 0.0601763 0.432099 0.00669058 0.440596 0.123158 0.150971 316
3.84577e+13 0.951389 0.0179837 5.21833e+09 1.46057e+08 5.79318e+09 9.90164e+08 2.6007e+09 0.216059 0.00458564 0.207607 0.0626126 0.0364257 0.33797 0.00960028 0.313888 0.172203 0.0875836 0.446066 0.0100877 0.463489 0.107619 0.167371 144
6.01255e+13 0.987805 0.0121951 5.69767e+09 1.62525e+08 6.337e+09 6.28269e+08 2.34277e+09 0.205466 0.00603625 0.195204 0.0561329 0.0382853 0.337834 0.0127299 0.323184 0.144529 0.101497 0.454172 0.0134272 0.470619 0.118331 0.154812 82
9.45505e+13 1 0 5.53373e+09 4.02975e+08 5.86295e+09 1.27882e+09 2.34713e+09 0.215981 0.0150402 0.205082 0.0653092 0.0491974 0.346458 0.0262218 0.34455 0.162815 0.106744 0.468741 0.0254898 0.514195 0.0624704 0.176002 22
1.58301e+14 1 0 6.65807e+09 1.58112e+08 6.59567e+09 6.03325e+08 3.91441e+08 0.201036 0.0118262 0.195941 0.0309457 0.0188225 0.395027 0.0367447 0.437451 0.0654707 0.196774 0.527307 0.0351936 0.553582 0.0850421 0.139478 13
2.50147e+14 1 1 6.06928e+09 6.06928e+09 6.06928e+09 0 0 0.248101 0.248101 0.248101 0 0 0.568079 0.568079 0.568079 0 0 0.581883 0.581883 0.581883 0 0 1
3.68824e+14 1 1 6.53189e+09 6.53189e+09 6.53189e+09 0 0 0.189517 0.189517 0.189517 0 0 0.260779 0.260779 0.260779 0 0 0.397101 0.397101 0.397101 0 0 1
