#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.8166 0.0839383 0.087816 0.00160264 0 0 0 0.0463326 0.000262331 0.031196 0.0540531 0.0257945 34299
63.027 0.139008 0.152156 0.00237729 0 0 0 0.0538333 0.000316813 0.0386615 0.0617265 0.0259518 27761
79.4891 0.218373 0.247471 0.00306023 0 1 0 0.0707234 0.000398578 0.0512248 0.0789536 0.0383129 26496
100.101 0.337104 0.410497 0.0037993 0 1 0 0.0984324 0.000487627 0.0780187 0.0988249 0.0566272 28027
125.354 0.503587 0.684944 0.00497208 1 0 1 0.14623 0.000636569 0.126845 0.12355 0.0813443 26208
157.864 0.694712 1.08518 0.00654664 1 1 1 0.218546 0.000852863 0.205144 0.143259 0.115254 21085
198.381 0.829331 1.47418 0.00806519 1 1 1 0.326702 0.00112721 0.323134 0.154407 0.148372 16072
249.007 0.868894 1.64902 0.0102139 2 1 1 0.457228 0.00143515 0.463817 0.146908 0.162073 10747
312.779 0.819664 1.49537 0.0133589 1 2 1 0.582869 0.00173513 0.597712 0.124991 0.156394 6377
393.324 0.700653 1.15109 0.0170988 1 1 1 0.680685 0.00205902 0.701982 0.0955432 0.141247 3521
493.86 0.534975 0.778959 0.0212536 1 1 1 0.756171 0.002278 0.774766 0.0703928 0.10975 1787
619.706 0.414425 0.52445 0.0247691 0 1 0 0.801612 0.00272329 0.816572 0.0562744 0.0836741 818
780.591 0.32659 0.393064 0.0338211 0 1 0 0.83843 0.00337911 0.849677 0.0451283 0.0688545 346
973.086 0.340741 0.42963 0.0571487 0 1 0 0.840043 0.00548537 0.852708 0.0440782 0.0700848 135
1213.76 0.277778 0.361111 0.106553 0 1 0 0.862478 0.0140787 0.881739 0.0299393 0.0484837 36
1622.9 0.5 0.5 0.5 1 0 1 0.881438 0.0171494 0.898587 0 0.0342988 2
