#vmpeak F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
46.8166 0.0836468 0.0875244 0.00160045 0 0 0 0.0460551 0.000258797 0.031052 0.0538629 0.0257292 34299
63.027 0.137423 0.150319 0.00236372 0 0 0 0.0531577 0.000314252 0.0385107 0.0608002 0.0258407 27761
79.4891 0.210938 0.238715 0.00301303 0 1 0 0.0688993 0.000391126 0.048417 0.0786406 0.0356587 26496
100.101 0.311985 0.375816 0.00365904 0 1 0 0.0936095 0.000473994 0.0727911 0.0963091 0.0518068 28027
125.354 0.447192 0.587111 0.00466283 0 1 0 0.133773 0.000610583 0.114787 0.117594 0.0771667 26208
157.864 0.59502 0.865734 0.00608763 1 1 1 0.188753 0.000807762 0.172166 0.138407 0.103175 21085
198.381 0.677327 1.03441 0.00736482 1 1 1 0.256006 0.00107534 0.244825 0.158343 0.131896 16072
249.007 0.657579 1.01312 0.00912834 1 1 1 0.311351 0.00140954 0.300873 0.164381 0.143176 10747
312.779 0.602007 0.87502 0.0110864 1 1 1 0.334121 0.00176181 0.326578 0.153962 0.135274 6377
393.324 0.523431 0.692985 0.0131927 1 0 1 0.340474 0.00220854 0.333946 0.140703 0.124932 3521
493.86 0.449916 0.570789 0.0171233 0 1 0 0.330405 0.00261545 0.329518 0.112772 0.111815 1787
619.706 0.400978 0.47555 0.0222889 0 1 0 0.32027 0.00338387 0.318484 0.0965621 0.0927883 818
780.591 0.33526 0.381503 0.031393 0 1 0 0.304369 0.00486711 0.297677 0.09485 0.0864589 346
973.086 0.318519 0.355556 0.0475685 0 1 0 0.274401 0.00672346 0.281705 0.0697959 0.0953132 135
1213.76 0.333333 0.416667 0.108196 0 1 0 0.244262 0.0110621 0.241883 0.0806269 0.0605971 36
1622.9 0.5 0.5 0.5 1 0 1 0.185957 0.0476621 0.233619 0 0.0953243 2
