#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.38954e+07 6.15571e+08 4.42425e+06 5.00468e+08 4.15914e+08 1.66808e+08 1.34791e+09 1.04539e+07 1.12466e+09 9.99364e+08 5.00674e+08 5938
1.59214e+08 6.4994e+08 5.46061e+06 5.00742e+08 4.81369e+08 1.67078e+08 1.37044e+09 1.22285e+07 1.12466e+09 1.08226e+09 5.00674e+08 4463
2.52191e+08 6.61502e+08 5.41904e+06 5.00742e+08 4.98621e+08 1.67078e+08 1.42761e+09 1.19328e+07 1.20812e+09 1.08161e+09 5.84132e+08 5226
3.98045e+08 6.8488e+08 5.1824e+06 5.79543e+08 4.21487e+08 2.45799e+08 1.48718e+09 1.15621e+07 1.29157e+09 1.08087e+09 6.67579e+08 5986
6.3309e+08 7.06879e+08 5.31169e+06 5.82246e+08 4.99365e+08 2.48502e+08 1.50855e+09 1.13334e+07 1.29157e+09 1.16347e+09 6.67579e+08 6464
1.00364e+09 7.36131e+08 5.53784e+06 5.83933e+08 5.54779e+08 2.50189e+08 1.55272e+09 1.135e+07 1.29157e+09 1.24596e+09 6.67579e+08 6877
1.58985e+09 7.6588e+08 5.71949e+06 5.84172e+08 5.82122e+08 2.50372e+08 1.60817e+09 1.1239e+07 1.375e+09 1.2449e+09 7.07769e+08 7454
2.51909e+09 7.902e+08 5.83064e+06 6.39673e+08 5.99925e+08 3.05838e+08 1.64846e+09 1.13633e+07 1.375e+09 1.32714e+09 7.51009e+08 7888
3.99037e+09 8.31889e+08 6.16167e+06 6.61095e+08 6.52409e+08 3.27249e+08 1.68652e+09 1.10802e+07 1.4584e+09 1.32584e+09 7.51008e+08 8568
6.31352e+09 8.86732e+08 6.38849e+06 6.67578e+08 7.442e+08 2.77617e+08 1.73874e+09 1.089e+07 1.4584e+09 1.40781e+09 7.51008e+08 9487
1.00218e+10 9.23635e+08 6.44314e+06 7.28219e+08 7.5146e+08 3.25586e+08 1.80625e+09 1.07056e+07 1.54178e+09 1.4879e+09 8.34385e+08 10302
1.58739e+10 9.95021e+08 6.77629e+06 7.51008e+08 8.30605e+08 3.39838e+08 1.82288e+09 1.05147e+07 1.54178e+09 1.4879e+09 8.34385e+08 11125
2.50152e+10 1.06632e+09 7.52309e+06 8.21434e+08 9.20114e+08 4.07439e+08 1.89248e+09 1.11594e+07 1.62513e+09 1.56735e+09 9.17733e+08 11000
3.94668e+10 1.13522e+09 8.68206e+06 8.39984e+08 1.02194e+09 4.23127e+08 1.89747e+09 1.2325e+07 1.62513e+09 1.64848e+09 9.17733e+08 9555
6.187e+10 1.22384e+09 1.13551e+07 9.17793e+08 1.14519e+09 5.00525e+08 1.88148e+09 1.52525e+07 1.54178e+09 1.73183e+09 8.34385e+08 6531
9.61378e+10 1.36205e+09 1.85911e+07 1.00114e+09 1.31474e+09 5.306e+08 1.82415e+09 2.19836e+07 1.4584e+09 1.65276e+09 8.34415e+08 3229
1.50112e+11 1.62848e+09 4.15235e+07 1.15912e+09 1.85726e+09 6.5865e+08 1.68386e+09 3.8424e+07 1.29157e+09 1.57464e+09 6.67579e+08 989
2.31454e+11 1.92404e+09 1.01153e+08 1.56288e+09 2.03327e+09 1.06241e+09 1.51603e+09 7.56003e+07 1.20812e+09 1.27906e+09 5.84132e+08 201
3.68884e+11 2.5373e+09 3.81987e+08 2.27678e+09 2.46389e+09 1.77648e+09 1.04501e+09 1.66581e+08 8.32925e+08 8.75499e+08 2.92316e+08 24
5.30812e+11 2.89184e+09 2.89184e+09 2.89184e+09 0 0 6.23988e+08 6.23988e+08 6.23988e+08 0 0 1
