#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.56117e+07 0 0 0 0 0 0 8.41912e-07 4.45236e-07 0 0 0 387267
1.56482e+08 0 0 0 0 0 0 6.44886e-06 3.10834e-06 0 0 0 116562
2.47927e+08 0 0 0 0 0 0 9.81653e-06 2.89797e-06 0 0 0 82591
3.93081e+08 0 0 0 0 0 0 2.20365e-05 5.37112e-06 0 0 0 58599
6.22447e+08 0 0 0 0 0 0 4.50458e-05 8.10655e-06 0 0 0 41002
9.85815e+08 0 0 0 0 0 0 0.000125289 1.89834e-05 0 0 0 28565
1.56513e+09 0 0 0 0 0 0 0.000201451 2.77569e-05 0 0 0 19705
2.47145e+09 0 0 0 0 0 0 0.000346307 4.7353e-05 0 0 0 13334
3.92416e+09 0 0 0 0 0 0 0.000442971 5.82313e-05 0 0 0 9111
6.21034e+09 0 0 0 0 0 0 0.000988516 0.000119316 0 0 0 6074
9.83262e+09 0 0 0 0 0 0 0.00124546 0.000163896 0 0 0 3858
1.55293e+10 0 0 0 0 0 0 0.00156248 0.000227426 0 0 0 2470
2.46071e+10 0 0 0 0 0 0 0.00343079 0.000455627 0 0 0 1556
3.90898e+10 0 0 0 0 0 0 0.00333868 0.000529444 0 0 0 849
6.24541e+10 0 0 0 0 0 0 0.00437726 0.000887444 0 0 0 483
9.69431e+10 0 0 0 0 0 0 0.00475169 0.00121913 0 0 0 252
1.52005e+11 0 0 0 0 0 0 0.00268246 0.0011178 0 0 0 118
2.48998e+11 0 0 0 0 0 0 0.00910842 0.00708629 0 0 0 41
3.94098e+11 0 0 0 0 0 0 0.00554953 0.00554953 0 0 0 16
6.33082e+11 0 0 0 0 0 0 0 0 0 0 0 2
9.79374e+11 0 0 0 0 0 0 0 0 0 0 0 1
