#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.68691e+07 0.0350012 0.0380375 0.000252162 0 0 0 0.0047818 2.35452e-05 0 0 0 676491
1.56999e+08 0.0526267 0.0583799 0.000531399 0 0 0 0.00718607 5.04669e-05 0 0.00862736 0 238301
2.48909e+08 0.0705007 0.0788835 0.000691202 0 0 0 0.00952818 6.7012e-05 0 0.0124635 0 189913
3.94619e+08 0.0929805 0.105426 0.000896552 0 0 0 0.0127585 8.93072e-05 0 0.0194437 0 151064
6.25841e+08 0.121534 0.14071 0.00116024 0 0 0 0.0170649 0.00011772 0 0.033835 0 121143
9.91869e+08 0.154338 0.182096 0.0014792 0 0 0 0.0220559 0.000153011 0 0.0456927 0 96548
1.57278e+09 0.196324 0.237303 0.00186966 0 1 0 0.0288594 0.000197017 0 0.0631705 0 78503
2.49459e+09 0.247782 0.307273 0.00232983 0 1 0 0.0379468 0.000253328 0.00843195 0.0769062 0.00843195 64363
3.95921e+09 0.30198 0.38588 0.00283239 0 1 0 0.0491279 0.000320114 0.0166618 0.0934231 0.0166618 54136
6.27077e+09 0.366965 0.483299 0.00337683 0 1 0 0.0634217 0.000401903 0.0271184 0.110592 0.0271184 46315
9.95766e+09 0.441314 0.606807 0.00396759 0 1 0 0.0834497 0.000501776 0.0457759 0.130412 0.0457759 40751
1.57832e+10 0.513608 0.734294 0.00453068 1 1 1 0.107988 0.000609233 0.070736 0.150367 0.070736 36228
2.50349e+10 0.58783 0.878326 0.00508862 1 1 1 0.139938 0.000729527 0.105435 0.169744 0.0932833 32620
3.95145e+10 0.642873 0.982309 0.00566198 1 1 1 0.175137 0.00086644 0.146198 0.180622 0.119673 27584
6.22135e+10 0.676354 1.03591 0.00646529 1 1 1 0.213521 0.00103588 0.194868 0.178245 0.140883 20887
9.77736e+10 0.66456 1.00903 0.00803525 1 1 1 0.249797 0.00129146 0.238567 0.166987 0.150107 13290
1.53644e+11 0.613492 0.875189 0.0106059 1 1 1 0.28094 0.00173047 0.277624 0.148638 0.147372 6626
2.42976e+11 0.549067 0.749482 0.0152354 1 1 1 0.306648 0.00224527 0.30726 0.117793 0.123298 2894
3.79442e+11 0.431588 0.545608 0.020689 0 1 0 0.315696 0.00293598 0.314607 0.101577 0.101588 1184
6.05424e+11 0.409091 0.481283 0.0329404 0 1 0 0.316613 0.00470271 0.315895 0.0825838 0.0909118 374
9.53967e+11 0.301075 0.322581 0.0533175 0 1 0 0.284963 0.00894213 0.279771 0.0957977 0.0896305 93
1.45661e+12 0.272727 0.272727 0.140836 0 1 0 0.271945 0.0167202 0.297855 0.0341938 0.0911441 11
