#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.75 - 9.25
#HM    Stats: 1.608820e+11 (median) + 7.882400e+10  / - 5.992600e+10
#SM    Stats: 1.001620e+09 (median) + 4.772201e+08  / - 3.257130e+08
#ObsSM Stats: 9.929390e+08 (median) + 5.328609e+08  / - 3.524000e+08
#VMP   Stats: 1.115200e+02 (median) + 9.280006e+00  / - 7.549995e+00
#ICL   Stats: 5.300470e+06 (median) + 1.980983e+07  / - 5.051564e+06
#SSFR  Stats: 1.836563e-12 (median) + 2.865778e-12  / - 1.149990e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 14964
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 14964
sfh 0.062373 0 0 0 #avg: 3.69278e-08; avg_err: 3.69278e-08; sd: 4.51713e-06; counts: 14964
sfh 0.064623 0 0 0 #avg: 4.24089e-06; avg_err: 3.00774e-06; sd: 0.000367917; counts: 14964
sfh 0.066873 0 0 0 #avg: 1.95281e-05; avg_err: 1.20588e-05; sd: 0.00147508; counts: 14964
sfh 0.069123 0 0 0 #avg: 8.54493e-05; avg_err: 3.18609e-05; sd: 0.00389734; counts: 14964
sfh 0.071373 0 0 0 #avg: 0.000169455; avg_err: 6.16949e-05; sd: 0.00754673; counts: 14964
sfh 0.073623 0 0 0 #avg: 0.000344113; avg_err: 7.36426e-05; sd: 0.00900821; counts: 14964
sfh 0.075873 0 0 0 #avg: 0.000870566; avg_err: 0.00015069; sd: 0.018433; counts: 14964
sfh 0.078123 0 0 0 #avg: 0.00120986; avg_err: 0.000158785; sd: 0.0194231; counts: 14964
sfh 0.080373 0 0 0 #avg: 0.00197631; avg_err: 0.000229664; sd: 0.0280932; counts: 14964
sfh 0.082623 0 0 0 #avg: 0.00279389; avg_err: 0.0002692; sd: 0.0329294; counts: 14964
sfh 0.085998 0 0 0 #avg: 0.00491896; avg_err: 0.000704625; sd: 0.0861921; counts: 14964
sfh 0.089373 0 0 0 #avg: 0.00690274; avg_err: 0.000355812; sd: 0.0435241; counts: 14964
sfh 0.092748 0 0.0017378 0 #avg: 0.0105287; avg_err: 0.000426808; sd: 0.0522085; counts: 14964
sfh 0.096123 0 0.0105031 0 #avg: 0.0145524; avg_err: 0.000538175; sd: 0.0658314; counts: 14964
sfh 0.099498 0 0.0225882 0 #avg: 0.0195345; avg_err: 0.000624189; sd: 0.0763529; counts: 14964
sfh 0.102873 0 0.0366348 0 #avg: 0.0243441; avg_err: 0.000635222; sd: 0.0777025; counts: 14964
sfh 0.106248 0 0.04852 0 #avg: 0.0294549; avg_err: 0.000687896; sd: 0.0841458; counts: 14964
