#For SF galaxies, QTime is the duration of the last period when they were quenched.
#vmpeak <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
50.319 0 0 0 0 0 0 0 0.125748 0.00733228 0.125595 0.0133141 0.0159536 0.141686 0.00697309 0.142655 0.0168117 0.0204599 0.166102 0.00566293 0.169674 0.0124471 0.0201385 8
64.7141 0.125 0.125 5.29204e+07 5.29204e+07 0 0 0 0.0977149 0.00389172 0.101588 0.00582855 0.0112899 0.11693 0.00527205 0.11841 0.00447813 0.00900272 0.152431 0.00376045 0.154205 0.00811611 0.0093649 8
87.49 0 0 0 0 0 0 0 0.104871 0.104871 0.104871 0 0 0.124807 0.124807 0.124807 0 0 0.157183 0.157183 0.157183 0 0 1
100.159 0.666667 0.210819 0 0 0 0 0 0.108873 0.0039335 0.106507 0.0201955 0.00701297 0.137609 0.00379787 0.142306 0.00832814 0.0147873 0.169683 0.00280303 0.168412 0.0145286 0.00555313 6
130.746 1 0 0 0 0 0 0 0.114919 0.00537631 0.114025 0.0157321 0.0141248 0.139631 0.00483926 0.141971 0.0118873 0.0192942 0.175929 0.00160929 0.175488 0.00588389 0.00392425 9
161.916 1 0 0 0 0 0 0 0.125793 0.00286249 0.124951 0.0196387 0.0179775 0.154944 0.00223369 0.155953 0.0132082 0.0155694 0.179201 0.0012972 0.179812 0.00778607 0.00993896 44
204.573 0.987952 0.0120482 0 0 0 0 0 0.129153 0.00198626 0.126858 0.0220395 0.0172457 0.158913 0.0014175 0.159307 0.012376 0.0130569 0.183842 0.000730941 0.184257 0.0061857 0.00680254 83
247.239 0.988095 0.0119048 4.05359e+06 4.05359e+06 0 0 0 0.129385 0.00209711 0.129051 0.0183645 0.0160474 0.157863 0.001754 0.157475 0.0189252 0.015735 0.182098 0.00102201 0.183984 0.00735573 0.0122257 84
310.038 1 0 6.19093e+06 6.19093e+06 0 0 0 0.138704 0.00231497 0.137036 0.0203257 0.0134133 0.164935 0.0016725 0.16638 0.0128213 0.0147451 0.184145 0.00114795 0.1844 0.00856799 0.00854079 55
396.372 1 0 9.88858e+07 4.09528e+07 0 3.40501e+08 0 0.134445 0.00432127 0.133638 0.0189165 0.01958 0.164184 0.00312342 0.166893 0.0121729 0.0160302 0.181129 0.00301635 0.185298 0.00816962 0.0161196 21
460.816 1 0 8.51253e+07 8.51254e+07 0 3.40501e+08 0 0.128564 0.00935386 0.139892 0.00740363 0.0340687 0.161413 0.00657545 0.156191 0.0248824 0.00261717 0.18175 0.00463717 0.185976 0.00672294 0.0134174 4
