#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
7.6817e+09 4.31616e+08 1.62391e+07 3.91441e+08 1.39423e+08 5.54653e+07 5.79545e+08 2.66644e+07 5.36715e+08 2.06334e+08 1.7655e+08 61
1.4336e+10 3.90155e+08 2.25077e+07 3.43845e+08 1.73336e+08 7.86928e+06 6.05566e+08 7.07803e+07 5.36715e+08 3.41278e+08 6.97716e+07 12
2.56381e+10 4.87825e+08 7.62177e+07 5.35262e+08 5.43022e+07 1.96614e+08 6.51687e+08 4.56809e+07 6.06006e+08 1.37043e+08 0 3
4.89979e+10 4.96121e+08 1.13237e+08 6.09358e+08 0 2.26474e+08 4.13554e+08 5.33893e+07 4.66944e+08 0 1.06779e+08 2
6.28672e+10 3.96866e+08 2.93395e+07 3.82884e+08 6.76367e+07 4.96311e+07 6.14713e+08 7.78534e+07 6.06006e+08 2.04782e+08 2.45841e+08 13
1.03214e+11 4.42136e+08 2.019e+07 4.1105e+08 1.32767e+08 7.50744e+07 5.56778e+08 3.57823e+07 4.66944e+08 2.76105e+08 1.06779e+08 35
1.63687e+11 4.39829e+08 1.79506e+07 3.82884e+08 1.60933e+08 5.24043e+07 6.22462e+08 2.74005e+07 6.06006e+08 2.04782e+08 2.45841e+08 82
2.56187e+11 4.6277e+08 1.352e+07 4.07939e+08 1.86711e+08 7.19634e+07 6.06542e+08 2.02552e+07 5.36715e+08 3.41278e+08 1.7655e+08 147
4.10647e+11 4.52374e+08 9.66474e+06 3.98219e+08 1.8627e+08 6.22437e+07 6.02195e+08 1.46478e+07 5.36715e+08 2.74073e+08 1.7655e+08 231
6.44075e+11 4.74644e+08 8.6316e+06 4.1105e+08 2.39545e+08 7.50744e+07 6.36442e+08 1.33371e+07 5.36715e+08 3.41278e+08 1.7655e+08 351
1.00034e+12 4.8775e+08 7.48242e+06 4.50623e+08 1.99972e+08 1.11975e+08 6.38511e+08 1.11303e+07 6.06006e+08 2.71987e+08 2.45841e+08 486
1.57888e+12 5.10103e+08 8.41123e+06 4.626e+08 2.53536e+08 1.23952e+08 6.45352e+08 1.16829e+07 6.06006e+08 2.71987e+08 2.45841e+08 479
2.51065e+12 5.44034e+08 9.7795e+06 4.70295e+08 2.6841e+08 1.26451e+08 6.78752e+08 1.2826e+07 6.06006e+08 3.38648e+08 1.39062e+08 419
3.88548e+12 5.75808e+08 1.42765e+07 5.26385e+08 2.55938e+08 1.67963e+08 6.84087e+08 1.80363e+07 6.06006e+08 4.04754e+08 2.45841e+08 251
6.15622e+12 6.63243e+08 2.56073e+07 5.99643e+08 3.72805e+08 2.22508e+08 7.14686e+08 2.96025e+07 6.06006e+08 4.70296e+08 2.45841e+08 115
9.32659e+12 7.39799e+08 3.67145e+07 7.16137e+08 3.35322e+08 2.49193e+08 6.33184e+08 3.20365e+07 6.06006e+08 2.71987e+08 2.45841e+08 51
1.5398e+13 7.49369e+08 6.87449e+07 6.74785e+08 3.60225e+08 3.1462e+08 6.07403e+08 7.56835e+07 4.66944e+08 4.1105e+08 1.06779e+08 18
2.41948e+13 6.7208e+08 7.92362e+07 7.16137e+08 1.61857e+08 2.49193e+08 6.22093e+08 1.20236e+08 5.17181e+08 4.93579e+08 1.57016e+08 8
5.40147e+13 1.22928e+09 1.22928e+09 1.22928e+09 0 0 8.10788e+08 8.10788e+08 8.10788e+08 0 0 1
