#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
6.3595e+09 6.88081e+08 6.21898e+07 5.53702e+08 6.19472e+08 2.3201e+08 9.86248e+08 1.01266e+08 8.53413e+08 5.55505e+08 3.22537e+08 31
2.06221e+10 1.66729e+09 8.86169e+08 2.55346e+09 0 1.77234e+09 9.33046e+08 1.59952e+08 1.093e+09 0 3.19904e+08 2
4.22656e+10 5.06513e+08 1.85767e+08 3.22537e+08 5.55505e+08 3.57754e+06 6.38389e+08 1.07512e+08 5.30876e+08 3.22537e+08 0 3
6.47442e+10 5.2585e+08 7.48091e+07 4.83764e+08 3.80101e+08 1.65783e+08 8.53586e+08 1.53334e+08 9.3351e+08 5.67271e+08 4.83764e+08 6
9.27846e+10 5.80156e+08 6.88325e+07 6.11817e+08 2.68779e+08 2.91002e+08 1.0277e+09 1.21612e+08 1.17237e+09 3.14839e+08 7.22627e+08 12
1.56621e+11 5.50447e+08 3.85951e+07 5.39375e+08 1.79149e+08 2.16839e+08 9.30573e+08 7.36274e+07 8.53413e+08 4.76928e+08 3.22537e+08 32
2.61363e+11 7.28434e+08 5.42058e+07 6.41496e+08 4.73971e+08 2.7881e+08 8.77483e+08 6.99762e+07 6.92559e+08 8.72654e+08 2.42813e+08 54
3.93241e+11 7.72415e+08 6.57706e+07 6.12424e+08 5.5636e+08 2.21002e+08 9.69408e+08 7.13135e+07 8.53413e+08 7.11799e+08 3.81198e+08 58
6.27573e+11 8.29467e+08 5.45615e+07 7.27576e+08 4.36687e+08 2.58763e+08 1.02303e+09 6.5483e+07 9.26147e+08 7.16766e+08 3.9527e+08 70
1.01727e+12 8.6445e+08 6.11129e+07 7.39994e+08 7.02985e+08 3.43162e+08 1.03214e+09 6.57122e+07 9.3351e+08 6.31703e+08 4.02633e+08 70
1.50936e+12 9.40662e+08 7.60187e+07 8.6689e+08 6.20322e+08 4.76928e+08 8.38021e+08 5.23313e+07 6.96246e+08 5.70253e+08 2.27433e+08 54
2.5494e+12 1.05829e+09 8.79661e+07 9.50354e+08 7.78339e+08 4.7054e+08 1.06763e+09 9.45437e+07 9.3351e+08 6.31703e+08 3.0397e+08 37
4.1054e+12 9.63407e+08 1.04079e+08 9.3351e+08 6.14468e+08 4.80432e+08 8.64325e+08 1.02243e+08 7.73094e+08 4.78397e+08 3.23348e+08 25
6.40305e+12 1.23899e+09 2.47269e+08 1.56521e+09 4.44893e+08 9.53396e+08 8.10892e+08 2.25622e+08 6.92559e+08 2.91175e+08 3.70866e+08 8
8.72609e+12 1.22223e+09 2.68651e+08 1.40892e+09 1.56294e+08 7.1636e+08 9.77822e+08 3.87683e+08 8.36178e+08 8.72654e+08 4.47722e+08 3
1.5e+13 4.49746e+08 4.49746e+08 4.49746e+08 0 0 4.03668e+08 4.03668e+08 4.03668e+08 0 0 1
6.175e+13 6.92559e+08 6.92559e+08 6.92559e+08 0 0 4.79814e+08 4.79814e+08 4.79814e+08 0 0 1
