#For SF galaxies, QTime is the duration of the last period when they were quenched.
#obs_sm <FQ> AvgErr <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <A_SM10> AvgErr Median_A_SM10 1Sig+ 1Sig- <A_SM50> AvgErr Median_A_SM50 1Sig+ 1Sig- <A_SM90> AvgErr Median_A_SM90 1Sig+ 1Sig- Counts
8.77646e+07 1 0 0 0 0 0 0 0.124722 0.00707217 0.115653 0.0296757 0.00505972 0.158375 0.00476903 0.164151 0.00501063 0.018636 0.184596 0.00188951 0.187591 0.000904068 0.00693311 8
1.55535e+08 1 0 2.12813e+07 2.12813e+07 0 0 0 0.122177 0.00534395 0.123323 0.0219709 0.0238292 0.153335 0.00528136 0.161138 0.0123815 0.0331364 0.180944 0.00252777 0.18186 0.00962496 0.0144455 16
2.5912e+08 1 0 0 0 0 0 0 0.12975 0.0036359 0.126156 0.0184722 0.0121306 0.156036 0.00458577 0.15506 0.0212856 0.0135159 0.18398 0.00152198 0.183066 0.00736548 0.00562821 15
4.18699e+08 1 0 0 0 0 0 0 0.13176 0.00274583 0.131637 0.0115935 0.0150362 0.164927 0.00179973 0.163613 0.0100247 0.00729915 0.186684 0.00101613 0.187292 0.00435068 0.00609201 33
6.50578e+08 1 0 0 0 0 0 0 0.127396 0.00243098 0.129343 0.0152472 0.0205773 0.158451 0.00202328 0.158697 0.0151172 0.0125783 0.184318 0.00103409 0.184612 0.00702363 0.00853887 56
9.89065e+08 1 0 0 0 0 0 0 0.12598 0.00179926 0.127492 0.0141715 0.0179212 0.158091 0.00146825 0.160966 0.0105676 0.0164531 0.183091 0.000848949 0.184894 0.00634649 0.0105937 88
1.59382e+09 1 0 0 0 0 0 0 0.131322 0.00179832 0.131661 0.0181213 0.0181096 0.161889 0.00151174 0.163877 0.0119538 0.0165637 0.184803 0.000791379 0.185824 0.00617465 0.00923665 94
2.53993e+09 1 0 3.52803e+06 3.52803e+06 0 0 0 0.131105 0.00172727 0.131207 0.0172029 0.020685 0.163429 0.00149274 0.165967 0.0143073 0.0216246 0.184995 0.00100174 0.188458 0.00612579 0.0133741 120
3.95698e+09 1 0 4.89657e+06 3.47172e+06 0 0 0 0.132849 0.00129569 0.135239 0.0136008 0.0175669 0.164675 0.000965497 0.166005 0.010177 0.0140596 0.185903 0.000567593 0.186823 0.00625004 0.00796832 156
6.42023e+09 1 0 2.27001e+06 2.27001e+06 0 0 0 0.129495 0.00144974 0.129427 0.0185282 0.0170991 0.161634 0.00116318 0.163836 0.0116573 0.0188605 0.185025 0.000669914 0.186621 0.00649361 0.00902224 150
9.88914e+09 1 0 7.61632e+06 4.39167e+06 0 0 0 0.13459 0.00151945 0.133745 0.0201637 0.0177663 0.164574 0.00104665 0.165898 0.0112256 0.0127527 0.185911 0.000646509 0.187509 0.00571831 0.00844222 145
1.59014e+10 1 0 1.47871e+07 5.52734e+06 0 0 0 0.133452 0.0012651 0.13219 0.0193751 0.0149312 0.164441 0.00099537 0.166786 0.0109146 0.0174321 0.184757 0.000677648 0.186703 0.00633733 0.0120325 178
2.48713e+10 1 0 6.77556e+06 3.9262e+06 0 0 0 0.135196 0.0012897 0.134518 0.0196813 0.0186405 0.164707 0.00102235 0.166003 0.01238 0.0151198 0.184519 0.000745804 0.186313 0.00809334 0.0105502 183
3.86308e+10 1 0 1.68844e+07 6.74788e+06 0 0 0 0.137189 0.00162564 0.139418 0.0155049 0.0228548 0.165162 0.00122486 0.168073 0.00965326 0.0183417 0.18367 0.000986682 0.187046 0.00671577 0.015821 121
6.21403e+10 1 0 6.15994e+06 6.15994e+06 0 0 0 0.134801 0.00171955 0.137132 0.0134428 0.0199667 0.162822 0.00147485 0.167066 0.00879703 0.01755 0.18344 0.00102169 0.186277 0.00642213 0.011608 94
9.94639e+10 1 0 1.3353e+07 9.3471e+06 0 0 0 0.134274 0.0025042 0.132002 0.0234465 0.0158873 0.159723 0.0022948 0.162293 0.0150187 0.0180395 0.18114 0.00164193 0.184812 0.00788745 0.0169898 51
1.51693e+11 1 0 0 0 0 0 0 0.138405 0.00310033 0.139892 0.0117973 0.0197665 0.165387 0.00211213 0.162854 0.0124697 0.00804265 0.185988 0.00135284 0.18627 0.00814258 0.00867788 27
2.3195e+11 1 0 0 0 0 0 0 0.141495 0.00763838 0.139483 0.0233185 0.0206229 0.168316 0.00431487 0.174605 0.00199588 0.0194044 0.187437 0.00276592 0.190593 0.00287509 0.00815879 7
