#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
3.77301e+08 3.41278e+08 3.41278e+08 3.41278e+08 0 0 5.36715e+08 5.36715e+08 5.36715e+08 0 0 1
9.24595e+08 3.3048e+08 3.3048e+08 3.3048e+08 0 0 8.10788e+08 8.10788e+08 8.10788e+08 0 0 1
1.6437e+09 4.39614e+08 3.80968e+07 4.7771e+08 0 7.61936e+07 5.70864e+08 1.03921e+08 6.74785e+08 0 2.07841e+08 2
2.24884e+09 4.63206e+08 9.63361e+07 4.01517e+08 2.50609e+08 6.55414e+07 6.9754e+08 2.27547e+07 6.74785e+08 6.82641e+07 0 3
4.06611e+09 4.74348e+08 7.89366e+07 4.7771e+08 1.31647e+08 1.41735e+08 5.36224e+08 6.92804e+07 4.66944e+08 2.07841e+08 0 3
7.58934e+09 6.09358e+08 6.09358e+08 6.09358e+08 0 0 4.66944e+08 4.66944e+08 4.66944e+08 0 0 1
9.50555e+09 5.95379e+08 7.35545e+07 6.68934e+08 0 1.47109e+08 6.73752e+08 1.37037e+08 8.10788e+08 0 2.74073e+08 2
1.5184e+10 6.29215e+08 1.69449e+08 8.77994e+08 8.62511e+07 5.42018e+08 5.70808e+08 8.26561e+07 6.74785e+08 0 3.47129e+08 4
2.24717e+10 4.748e+08 1.22885e+08 3.60165e+08 3.60225e+08 1.63204e+07 5.53186e+08 6.25489e+07 5.17828e+08 1.56956e+08 5.08846e+07 3
3.39841e+10 5.43816e+08 5.43816e+08 5.43816e+08 0 0 4.66944e+08 4.66944e+08 4.66944e+08 0 0 1
5.80977e+10 4.58761e+08 7.79544e+07 5.36715e+08 0 1.55909e+08 9.361e+08 1.40202e+08 1.0763e+09 0 2.80404e+08 2
