#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.83392e+07 0.0193794 0.0200257 0.000344661 0 0 0 0.00423951 4.73131e-05 0 0 0 176373
1.58076e+08 0.0333772 0.0347663 0.000671792 0 0 0 0.00700831 8.93623e-05 0 0 0 80624
2.4927e+08 0.0425684 0.0445397 0.000816251 0 0 0 0.00886505 0.000110006 0 0.0103778 0 70005
3.94322e+08 0.0591757 0.0627781 0.00108253 0 0 0 0.0123863 0.000152577 0 0.020402 0 56628
6.25073e+08 0.0777394 0.0830114 0.00140594 0 0 0 0.0161496 0.000202267 0 0.030592 0 44006
9.90399e+08 0.100576 0.109193 0.00184787 0 0 0 0.0209141 0.000267457 0 0.0414888 0 33656
1.56915e+09 0.130395 0.142748 0.00238404 0 0 0 0.0275647 0.000359133 0 0.0609215 0 26067
2.48841e+09 0.159484 0.177891 0.00300796 0 1 0 0.0337753 0.000454233 0 0.073132 0 20535
3.94667e+09 0.196546 0.220371 0.00369085 0 1 0 0.0418267 0.000585416 0 0.0933255 0 16327
6.25234e+09 0.243596 0.279476 0.0045641 0 1 0 0.0543661 0.000747188 0.0103664 0.113638 0.0103664 13350
9.92493e+09 0.283154 0.333241 0.00551726 0 1 0 0.0637418 0.0008915 0.020553 0.122748 0.020553 10881
1.56819e+10 0.331696 0.395567 0.00656861 0 1 0 0.0783149 0.00111795 0.0310379 0.142786 0.0310379 8752
2.47152e+10 0.364086 0.439808 0.00795027 0 1 0 0.0893542 0.00140145 0.0412178 0.155085 0.0412178 6471
3.90367e+10 0.417961 0.514742 0.0102161 0 1 0 0.108478 0.00184378 0.0618379 0.174953 0.0618379 4443
6.13838e+10 0.43161 0.521685 0.0136206 0 1 0 0.115965 0.00256063 0.0714462 0.174062 0.0714462 2398
9.58167e+10 0.460626 0.543689 0.0214779 0 1 0 0.139391 0.00460775 0.100266 0.192996 0.100266 927
1.46182e+11 0.508696 0.604348 0.0437895 1 0 1 0.151946 0.00900193 0.120534 0.179349 0.110335 230
2.23109e+11 0.464286 0.571429 0.140187 0 1 0 0.203292 0.0300627 0.180221 0.162221 0.160015 28
3.96143e+11 0.666667 1 0.57735 1 1 1 0.129338 0.0445321 0.16712 0.0131741 0.126521 3
