#obs_sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.68698e+07 0.00486685 0.00494445 9.93339e-05 0 0 0 0.00112132 1.17683e-05 0 0 0 515528
1.57117e+08 0.00960656 0.00978133 0.000234107 0 0 0 0.00207305 2.84315e-05 0 0 0 183104
2.48959e+08 0.0152356 0.0157418 0.000336325 0 0 0 0.00314093 4.08161e-05 0 0 0 146171
3.94422e+08 0.0223268 0.0230495 0.000454233 0 0 0 0.0044552 5.50419e-05 0 0 0 116228
6.25458e+08 0.0328143 0.0342713 0.000625735 0 0 0 0.00643317 7.79811e-05 0 0 0 91972
9.92591e+08 0.0472857 0.0498052 0.000846682 0 0 0 0.00918364 0.000108026 0 0.0104647 0 73426
1.57243e+09 0.0674222 0.0714406 0.00112003 0 0 0 0.012545 0.000143296 0 0.0206827 0 59476
2.49346e+09 0.0935297 0.101436 0.00148306 0 0 0 0.0176492 0.00019755 0 0.0315983 0 48947
3.95929e+09 0.127246 0.139031 0.00186094 0 0 0 0.0242956 0.00026093 0 0.0513149 0 41746
6.27298e+09 0.171216 0.191998 0.0023516 0 1 0 0.0330513 0.000338766 0 0.0723433 0 35943
9.95041e+09 0.228189 0.264137 0.00293093 0 1 0 0.0462709 0.000448699 0.00991052 0.0934823 0.00991052 31601
1.57668e+10 0.294531 0.351407 0.00356278 0 1 0 0.0631231 0.000575245 0.0201792 0.121877 0.0201792 27868
2.49095e+10 0.370275 0.457228 0.00433548 0 1 0 0.0851741 0.000747433 0.0393152 0.148254 0.0393152 23415
3.92869e+10 0.435556 0.55218 0.00534602 0 1 0 0.109359 0.000981668 0.0610264 0.171382 0.0610264 17775
6.16982e+10 0.498877 0.650975 0.00713507 0 1 0 0.139727 0.00142324 0.089516 0.203448 0.089516 11131
9.62014e+10 0.561028 0.740973 0.0108136 1 1 1 0.171783 0.00235527 0.123026 0.221588 0.11285 5096
1.5079e+11 0.599475 0.794485 0.0198644 1 1 1 0.226742 0.00508183 0.171356 0.282417 0.150642 1523
2.33368e+11 0.627329 0.832298 0.0445284 1 1 1 0.299817 0.0131931 0.269702 0.292287 0.238748 322
3.76377e+11 0.666667 1 0.16855 1 1 1 0.517615 0.0388628 0.524563 0.242203 0.229135 33
5.70869e+11 0.333333 0.666667 0.666667 0 2 0 0.695607 0.0911447 0.698772 0.153095 0.162591 3
8.50007e+11 0 0 0 0 0 0 0.828653 0.0271779 0.855831 0 0.0543558 2
