#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
9.54693e+09 7.04183e+08 5.88838e+06 5.7795e+08 4.7683e+08 2.27502e+08 2.36015e+09 2.67112e+07 1.74201e+09 2.26835e+09 1.02505e+09 5595
1.61403e+10 7.40027e+08 5.43589e+06 5.82048e+08 5.54727e+08 2.316e+08 2.07861e+09 1.7435e+07 1.62642e+09 1.77491e+09 9.0946e+08 8180
2.54117e+10 7.9972e+08 5.16903e+06 5.99222e+08 6.53563e+08 2.46386e+08 2.07343e+09 1.3681e+07 1.62642e+09 1.8961e+09 9.0946e+08 12031
4.01183e+10 8.71124e+08 4.94581e+06 6.79528e+08 6.99815e+08 3.23255e+08 2.18752e+09 1.20916e+07 1.74201e+09 2.02384e+09 1.02505e+09 16585
6.34051e+10 9.50151e+08 5.03446e+06 7.11392e+08 7.99854e+08 3.49774e+08 2.30197e+09 1.14521e+07 1.85802e+09 2.15234e+09 1.06373e+09 20438
9.98924e+10 1.03789e+09 5.46182e+06 7.88209e+08 9.09716e+08 4.2021e+08 2.40719e+09 1.17122e+07 1.97444e+09 2.15859e+09 1.14531e+09 21553
1.57398e+11 1.11611e+09 6.45946e+06 8.29125e+08 1.02298e+09 4.5887e+08 2.4746e+09 1.31415e+07 1.97444e+09 2.28152e+09 1.14531e+09 18737
2.48236e+11 1.20907e+09 8.14689e+06 8.58545e+08 1.16673e+09 4.41844e+08 2.60776e+09 1.59768e+07 2.09125e+09 2.53496e+09 1.26213e+09 14640
3.92034e+11 1.33318e+09 1.10484e+07 9.41735e+08 1.31287e+09 4.90444e+08 2.65517e+09 1.93442e+07 2.09125e+09 2.65883e+09 1.26213e+09 10494
6.20406e+11 1.49393e+09 1.5074e+07 1.05478e+09 1.6109e+09 5.88322e+08 2.72215e+09 2.46399e+07 2.09125e+09 2.90714e+09 1.26213e+09 7053
9.77395e+11 1.73138e+09 2.33855e+07 1.16825e+09 1.98198e+09 6.82102e+08 2.62084e+09 3.1896e+07 1.97444e+09 2.77565e+09 1.25748e+09 4167
1.5468e+12 1.94699e+09 3.36896e+07 1.36408e+09 2.23706e+09 8.64203e+08 2.46993e+09 4.05987e+07 1.85802e+09 2.52113e+09 1.14106e+09 2376
2.43914e+12 2.39675e+09 5.86679e+07 1.71452e+09 2.7537e+09 1.10929e+09 2.16361e+09 5.16259e+07 1.62642e+09 2.01761e+09 1.02119e+09 1182
3.86642e+12 2.74539e+09 9.45005e+07 1.9191e+09 3.26608e+09 1.23188e+09 2.12567e+09 7.07458e+07 1.54115e+09 2.22469e+09 8.96212e+08 573
6.0461e+12 3.29844e+09 1.58067e+08 2.58925e+09 3.73516e+09 1.6867e+09 1.76844e+09 8.93887e+07 1.28215e+09 1.75664e+09 6.8293e+08 259
9.66205e+12 4.24421e+09 2.67431e+08 3.89734e+09 3.96981e+09 2.92923e+09 1.51207e+09 1.03494e+08 1.14106e+09 1.56324e+09 6.47116e+08 117
1.57716e+13 4.16351e+09 4.42727e+08 3.36568e+09 4.95128e+09 2.46313e+09 1.57437e+09 1.72984e+08 1.16998e+09 1.51125e+09 6.76036e+08 54
2.45218e+13 5.13717e+09 8.0889e+08 5.81475e+09 3.63982e+09 3.95673e+09 1.28674e+09 2.26063e+08 9.64546e+08 1.36154e+09 4.6444e+08 18
3.76866e+13 7.149e+09 9.78242e+08 8.52741e+09 1.80766e+09 3.25927e+09 9.38597e+08 1.91601e+08 8.29125e+08 2.25655e+08 3.35182e+08 10
6.07718e+13 6.7744e+09 1.51785e+09 7.80552e+09 2.59839e+09 7.31158e+09 1.06403e+09 2.84962e+08 1.06285e+09 1.14561e+09 6.91273e+08 6
9.79559e+13 8.79215e+09 8.79215e+09 8.79215e+09 0 0 1.97444e+09 1.97444e+09 1.97444e+09 0 0 1
1.68579e+14 3.81123e+09 2.74939e+09 6.56062e+09 0 5.49878e+09 1.09572e+09 7.62296e+08 1.85802e+09 0 1.52459e+09 2
