#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.35841e+07 4.93813e+08 6.30452e+06 4.02633e+08 3.01744e+08 8.36737e+07 9.23342e+08 1.35486e+07 7.73094e+08 6.35825e+08 2.42217e+08 1095
1.61035e+08 4.85835e+08 6.93795e+06 4.01557e+08 2.41695e+08 8.4589e+07 9.57793e+08 1.43255e+07 8.53413e+08 5.55505e+08 3.22537e+08 927
2.53015e+08 5.10698e+08 6.98165e+06 4.03668e+08 3.1045e+08 8.47085e+07 9.36541e+08 1.28992e+07 8.53413e+08 5.55505e+08 3.22537e+08 1171
4.0002e+08 5.33129e+08 6.35725e+06 4.7054e+08 3.04557e+08 1.51581e+08 9.53517e+08 1.1801e+07 8.53413e+08 5.55505e+08 3.22537e+08 1512
6.33748e+08 5.30901e+08 6.09018e+06 4.67033e+08 2.55594e+08 1.48074e+08 9.83749e+08 1.16043e+07 8.53413e+08 6.33798e+08 3.22537e+08 1677
1.00088e+09 5.66359e+08 6.64032e+06 4.76928e+08 3.24816e+08 1.57024e+08 9.80122e+08 1.09307e+07 8.53413e+08 6.33798e+08 3.22537e+08 1913
1.59081e+09 5.89738e+08 6.52299e+06 4.82497e+08 3.87322e+08 1.61682e+08 9.97107e+08 1.09931e+07 8.53413e+08 6.33798e+08 3.22537e+08 2090
2.51796e+09 6.11571e+08 6.65505e+06 5.08052e+08 4.14213e+08 1.87237e+08 1.00569e+09 1.05657e+07 8.53413e+08 6.33798e+08 3.22537e+08 2237
4.01233e+09 6.37523e+08 6.83364e+06 5.45884e+08 4.0447e+08 2.23348e+08 1.02981e+09 1.02712e+07 9.3351e+08 6.31703e+08 4.02633e+08 2549
6.37721e+09 6.66411e+08 7.14577e+06 5.55505e+08 4.49759e+08 2.32968e+08 1.01422e+09 9.66125e+06 8.53413e+08 7.11799e+08 3.22537e+08 2851
1.00546e+10 7.05309e+08 6.99093e+06 6.01433e+08 4.87488e+08 2.78084e+08 1.03043e+09 9.1437e+06 9.3351e+08 6.31703e+08 4.02633e+08 3300
1.58782e+10 7.22746e+08 6.87098e+06 6.11817e+08 4.85295e+08 2.53557e+08 1.06899e+09 8.90866e+06 9.3351e+08 7.09403e+08 4.02633e+08 3628
2.50609e+10 7.31524e+08 6.8863e+06 6.20184e+08 4.88302e+08 2.96836e+08 1.09647e+09 9.09317e+06 9.3351e+08 7.09403e+08 4.02633e+08 3747
3.94236e+10 7.41468e+08 7.45183e+06 6.22628e+08 5.32195e+08 2.49371e+08 1.12802e+09 1.02854e+07 1.01337e+09 7.06929e+08 4.82497e+08 3194
6.1877e+10 7.37339e+08 8.82226e+06 6.20184e+08 4.91852e+08 2.46927e+08 1.16161e+09 1.28589e+07 1.01337e+09 7.84001e+08 4.82497e+08 2240
9.61958e+10 7.46675e+08 1.2994e+07 6.31703e+08 5.18198e+08 2.66513e+08 1.13962e+09 1.89247e+07 1.01337e+09 7.84001e+08 4.82497e+08 1088
1.52325e+11 7.92464e+08 2.3347e+07 6.92559e+08 5.00609e+08 3.04103e+08 1.03606e+09 2.91072e+07 8.80596e+08 6.84617e+08 3.4972e+08 353
2.33948e+11 7.7213e+08 5.98847e+07 6.93376e+08 3.86859e+08 3.70028e+08 1.03798e+09 7.54758e+07 7.89499e+08 6.97712e+08 2.58623e+08 72
3.39082e+11 8.2153e+08 1.68965e+08 5.58931e+08 5.53105e+08 1.58492e+08 9.59317e+08 1.44243e+08 6.92559e+08 7.1636e+08 1.61682e+08 11
