#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.73067e+07 0.00929951 0.00954085 0.0001192 0 0 0 0.00280089 2.02332e-05 0 0 0 700252
1.57414e+08 0.0184545 0.0191237 0.000271933 0 0 0 0.00532329 4.48528e-05 0 0 0 271966
2.49212e+08 0.0277668 0.0289642 0.000368386 0 0 0 0.00781247 6.15411e-05 0 0 0 225485
3.94767e+08 0.0379369 0.0397594 0.000481248 0 0 0 0.0108894 8.35787e-05 0 0.0105403 0 181064
6.26037e+08 0.0538543 0.0570202 0.000645288 0 0 0 0.0152924 0.000114851 0 0.0212332 0 144668
9.91357e+08 0.0737518 0.0792888 0.000851957 0 0 0 0.0207793 0.000153004 0 0.0387334 0 116309
1.57274e+09 0.0980836 0.105762 0.00107779 0 0 0 0.0278829 0.000202129 0 0.0575678 0 95072
2.49591e+09 0.129477 0.142326 0.00137372 0 0 0 0.0370909 0.000263177 0 0.0816331 0 79149
3.95928e+09 0.167716 0.187132 0.00168132 0 1 0 0.0487743 0.000334678 0 0.109558 0 68294
6.29123e+09 0.215492 0.245331 0.00202903 0 1 0 0.0650212 0.000422949 0.015295 0.132024 0.015295 60392
9.95729e+09 0.270055 0.315356 0.00237392 0 1 0 0.0854942 0.000517258 0.0310086 0.15947 0.0310086 55496
1.5804e+10 0.338966 0.407502 0.00275229 0 1 0 0.116193 0.00063873 0.0602104 0.192302 0.0602104 51666
2.4996e+10 0.404086 0.498385 0.0031047 0 1 0 0.153619 0.000768068 0.097423 0.227295 0.097423 47381
3.94844e+10 0.472235 0.59642 0.00356896 0 1 0 0.201043 0.000927896 0.151074 0.254052 0.140561 40609
6.20898e+10 0.514485 0.659028 0.00430623 1 0 1 0.256308 0.00118327 0.220984 0.263973 0.182418 29410
9.72939e+10 0.520002 0.666342 0.00577592 1 0 1 0.330146 0.00171184 0.314384 0.268084 0.232992 16448
1.52466e+11 0.470955 0.592457 0.00880197 0 1 0 0.440095 0.00280018 0.464092 0.222725 0.290218 6576
2.38755e+11 0.383237 0.47496 0.0155264 0 1 0 0.577679 0.00462133 0.626107 0.142718 0.260019 1897
3.76021e+11 0.267241 0.314655 0.0269524 0 1 0 0.70324 0.00661922 0.741037 0.0822404 0.151933 464
5.74974e+11 0.106667 0.133333 0.0477732 0 0 0 0.782598 0.00943874 0.797173 0.0612541 0.0843731 75
9.19328e+11 0 0 0 0 0 0 0.797609 0.051957 0.847322 0.0201235 0.204091 4
