#sm F_rejuv <Rejuv> AvgErr Median_Rejuv 1Sig+ 1Sig- <Q_duty_cycle> AvgErr Median_Q_duty_cycle 1Sig+ 1Sig- Counts
7.63715e+07 1.40644e-05 1.40644e-05 4.68809e-06 0 0 0 0.000124519 3.82154e-06 0 0 0 639915
1.5688e+08 4.73147e-05 4.73147e-05 1.49619e-05 0 0 0 0.000326722 1.10175e-05 0 0 0 211351
2.48646e+08 0.000153857 0.000153857 3.0769e-05 0 0 0 0.000634504 1.77185e-05 0 0 0 162489
3.94096e+08 0.000306466 0.000306466 4.9708e-05 0 0 0 0.00111527 2.75938e-05 0 0 0 123994
6.24711e+08 0.000643969 0.000643969 8.24257e-05 0 0 0 0.00201697 4.45567e-05 0 0 0 94725
9.90006e+08 0.00136151 0.00136151 0.00013744 0 0 0 0.00334981 6.65642e-05 0 0 0 71979
1.56705e+09 0.00222091 0.00222091 0.000202517 0 0 0 0.00540421 0.000102598 0 0 0 54032
2.48267e+09 0.0030497 0.0030497 0.000275689 0 0 0 0.00807671 0.000150525 0 0 0 40004
3.93489e+09 0.0061651 0.0061651 0.000455585 0 0 0 0.0127005 0.000229217 0 0.022826 0 29521
6.23622e+09 0.0101365 0.0101365 0.000681499 0 0 0 0.0177045 0.000325622 0 0.0258882 0 21605
9.88134e+09 0.0152785 0.0152785 0.000962773 0 0 0 0.0256064 0.000469106 0 0.0503269 0 16232
1.5686e+10 0.022303 0.022303 0.00134215 0 0 0 0.0352857 0.00065838 0 0.0762946 0 12106
2.49156e+10 0.038273 0.0384816 0.00197549 0 0 0 0.0496363 0.000898295 0 0.117962 0 9589
3.93644e+10 0.0544284 0.0547083 0.00270468 0 0 0 0.0570143 0.00113539 0 0.136686 0 7147
6.18845e+10 0.0641441 0.0641441 0.00348558 0 0 0 0.0639846 0.00142397 0.0205199 0.130853 0.0205199 4942
9.62078e+10 0.0655547 0.0655547 0.00487553 0 0 0 0.0632262 0.00188976 0.0223838 0.123675 0.0223838 2578
1.49317e+11 0.0484076 0.0484076 0.00766522 0 0 0 0.0577525 0.0035074 0 0.130551 0 785
2.32956e+11 0.056 0.056 0.0206476 0 0 0 0.0495519 0.00784392 0 0.129421 0 125
3.53425e+11 0 0 0 0 0 0 0.00939814 0.00543439 0.0180577 0.00147715 0.0180577 4
