#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#obs_sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.65684e+07 6.16049e+08 1.29059e+08 7.81121e+08 9.69212e+07 4.58584e+08 6.71407e+08 1.4053e+08 5.30876e+08 5.62121e+08 0 4
1.65672e+08 5.97092e+08 7.80875e+07 6.37783e+08 2.42813e+08 3.16968e+08 6.91319e+08 1.20669e+08 6.92559e+08 5.58931e+08 2.42813e+08 6
2.57986e+08 7.91293e+08 2.28134e+08 6.29539e+08 1.72206e+08 2.42632e+08 9.76812e+08 1.30585e+08 9.47209e+08 5.40002e+08 4.16333e+08 9
4.1115e+08 6.27743e+08 6.37456e+07 6.22628e+08 3.33707e+08 3.03669e+08 1.04443e+09 8.6845e+07 9.3351e+08 4.81261e+08 3.21693e+08 17
6.02937e+08 5.16393e+08 7.34382e+07 4.49746e+08 3.51999e+08 1.2893e+08 6.82353e+08 1.08374e+08 5.30876e+08 6.41496e+08 1.31597e+08 11
1.00737e+09 5.09011e+08 4.93389e+07 4.61374e+08 2.5715e+08 1.40559e+08 8.53788e+08 1.01058e+08 6.92559e+08 7.1636e+08 2.42813e+08 21
1.65631e+09 6.14448e+08 6.9705e+07 4.83764e+08 3.10889e+08 1.60416e+08 8.32537e+08 9.38647e+07 6.11817e+08 9.53396e+08 1.62071e+08 26
2.51429e+09 9.06588e+08 9.47684e+07 8.02546e+08 5.45083e+08 3.37346e+08 8.38466e+08 8.70415e+07 6.92559e+08 5.58931e+08 2.42813e+08 27
4.07782e+09 7.82777e+08 5.70343e+07 7.73094e+08 4.12464e+08 3.77549e+08 1.05374e+09 9.26768e+07 8.80596e+08 1.06993e+09 3.98099e+08 38
6.42603e+09 8.39196e+08 7.46428e+07 6.92559e+08 5.60935e+08 2.41693e+08 9.77956e+08 6.20445e+07 9.3351e+08 3.96832e+08 4.02633e+08 48
1.0225e+10 9.20874e+08 8.19348e+07 6.92559e+08 7.94653e+08 2.42813e+08 9.5925e+08 6.9582e+07 7.73094e+08 6.35825e+08 2.42217e+08 55
1.5797e+10 1.01706e+09 7.52636e+07 9.26147e+08 7.95584e+08 4.76401e+08 1.05562e+09 8.54235e+07 9.33589e+08 9.40529e+08 4.61374e+08 55
2.56794e+10 9.78189e+08 6.08684e+07 8.6689e+08 6.41006e+08 4.17144e+08 1.0833e+09 6.37192e+07 9.96854e+08 6.46059e+08 4.57478e+08 73
4.03935e+10 1.04728e+09 7.86545e+07 8.53413e+08 8.6689e+08 3.70916e+08 1.11254e+09 8.27769e+07 9.3351e+08 8.63865e+08 4.02633e+08 65
6.14022e+10 1.02472e+09 1.05706e+08 7.2039e+08 1.15012e+09 2.70644e+08 1.06449e+09 1.1559e+08 7.97101e+08 9.11731e+08 2.66225e+08 35
9.26368e+10 7.92615e+08 1.2653e+08 6.92559e+08 6.37783e+08 3.27369e+08 1.21654e+09 1.71422e+08 1.17237e+09 6.86795e+08 5.38574e+08 14
1.54652e+11 1.11309e+09 4.36891e+08 9.10338e+08 1.04019e+09 4.31942e+08 9.04992e+08 3.49383e+08 7.73094e+08 7.92119e+08 3.96424e+08 3
