#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 4.276470e+12 (median) + 2.011770e+12  / - 1.323530e+12
#SM    Stats: 7.194650e+10 (median) + 5.314650e+10  / - 3.759690e+10
#ObsSM Stats: 7.006980e+10 (median) + 6.312720e+10  / - 3.913300e+10
#VMP   Stats: 3.068700e+02 (median) + 3.613000e+01  / - 1.876001e+01
#ICL   Stats: 7.933190e+08 (median) + 2.492281e+09  / - 6.863230e+08
#SSFR  Stats: 3.412993e-10 (median) + 5.383927e-10  / - 2.702009e-10
sfh 0.055623 0 0 0 #avg: 1.05843e-23; avg_err: 1.05843e-23; sd: 2.35248e-22; counts: 495
sfh 0.060123 0 0 0 #avg: 1.41691e-16; avg_err: 1.28862e-16; sd: 2.8641e-15; counts: 495
sfh 0.062373 0 0 0 #avg: 5.05473e-15; avg_err: 2.48068e-15; sd: 5.51358e-14; counts: 495
sfh 0.064623 0 0 0 #avg: 4.97086e-14; avg_err: 1.87846e-14; sd: 4.17509e-13; counts: 495
sfh 0.066873 0 0 0 #avg: 1.79805e-13; avg_err: 5.09975e-14; sd: 1.13348e-12; counts: 495
sfh 0.069123 0 0 0 #avg: 5.63204e-13; avg_err: 1.51553e-13; sd: 3.36844e-12; counts: 495
sfh 0.071373 0 3.38059e-13 0 #avg: 8.04923e-13; avg_err: 1.89753e-13; sd: 4.21747e-12; counts: 495
sfh 0.073623 0 7.18577e-13 0 #avg: 1.21145e-12; avg_err: 2.98855e-13; sd: 6.64238e-12; counts: 495
sfh 0.075873 0 1.4219e-12 0 #avg: 1.75641e-12; avg_err: 3.6451e-13; sd: 8.10164e-12; counts: 495
sfh 0.078123 5.32518e-17 2.43916e-12 5.32518e-17 #avg: 2.22385e-12; avg_err: 3.23835e-13; sd: 7.1976e-12; counts: 495
sfh 0.080373 1.12429e-13 3.59861e-12 1.12429e-13 #avg: 3.27811e-12; avg_err: 4.57497e-13; sd: 1.01684e-11; counts: 495
