#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.75 - 11.25
#HM    Stats: 2.595590e+12 (median) + 2.082350e+12  / - 8.897099e+11
#SM    Stats: 7.860610e+10 (median) + 3.453891e+10  / - 1.674230e+10
#ObsSM Stats: 7.611950e+10 (median) + 5.796550e+10  / - 3.266060e+10
#VMP   Stats: 2.931200e+02 (median) + 6.227002e+01  / - 3.606000e+01
#ICL   Stats: 4.929160e+08 (median) + 1.234564e+09  / - 3.444370e+08
#SSFR  Stats: 1.500899e-09 (median) + 2.431888e-09  / - 1.199753e-09
sfh 0.055623 0 0 0 #avg: 3.17039e-06; avg_err: 2.71223e-06; sd: 0.000222204; counts: 6713
sfh 0.060123 0 0 0 #avg: 0.000581078; avg_err: 0.000101616; sd: 0.00832508; counts: 6713
sfh 0.062373 0 0 0 #avg: 0.00363179; avg_err: 0.000410826; sd: 0.0336576; counts: 6713
sfh 0.064623 0 0 0 #avg: 0.0109092; avg_err: 0.000873491; sd: 0.0715623; counts: 6713
sfh 0.066873 0 0 0 #avg: 0.0269634; avg_err: 0.00167263; sd: 0.137033; counts: 6713
sfh 0.069123 0 0.0142301 0 #avg: 0.0567652; avg_err: 0.00322349; sd: 0.26409; counts: 6713
sfh 0.071373 0 0.0608681 0 #avg: 0.0968786; avg_err: 0.00477695; sd: 0.39136; counts: 6713
sfh 0.073623 0 0.128169 0 #avg: 0.143005; avg_err: 0.00659822; sd: 0.540571; counts: 6713
sfh 0.075873 0 0.234828 0 #avg: 0.201302; avg_err: 0.00908492; sd: 0.744298; counts: 6713
sfh 0.078123 0.0070977 0.341917 0.0070977 #avg: 0.265484; avg_err: 0.0107687; sd: 0.882244; counts: 6713
sfh 0.080373 0.0282908 0.44606 0.0282908 #avg: 0.3396; avg_err: 0.0152268; sd: 1.24748; counts: 6713
sfh 0.082623 0.0601667 0.521315 0.0601667 #avg: 0.386487; avg_err: 0.0141185; sd: 1.15668; counts: 6713
sfh 0.085998 0.121098 0.721547 0.121098 #avg: 0.558283; avg_err: 0.0218182; sd: 1.7875; counts: 6713
sfh 0.089373 0.196552 0.893728 0.189065 #avg: 0.705614; avg_err: 0.0227857; sd: 1.86676; counts: 6713
sfh 0.092748 0.280276 1.08605 0.254643 #avg: 0.871916; avg_err: 0.0251919; sd: 2.0639; counts: 6713
sfh 0.096123 0.379133 1.29814 0.326048 #avg: 1.08692; avg_err: 0.0299004; sd: 2.44964; counts: 6713
sfh 0.099498 0.483767 1.53877 0.396159 #avg: 1.33841; avg_err: 0.0367215; sd: 3.00847; counts: 6713
sfh 0.102873 0.596756 1.87443 0.479186 #avg: 1.60879; avg_err: 0.0422699; sd: 3.46304; counts: 6713
sfh 0.106248 0.72125 2.23478 0.563861 #avg: 1.96007; avg_err: 0.0550862; sd: 4.51303; counts: 6713
sfh 0.109623 0.859869 2.61722 0.660514 #avg: 2.30942; avg_err: 0.0701115; sd: 5.74401; counts: 6713
sfh 0.112998 1.02303 3.02811 0.781158 #avg: 2.72054; avg_err: 0.0809242; sd: 6.62986; counts: 6713
sfh 0.116373 1.19105 3.50728 0.906144 #avg: 3.18538; avg_err: 0.0970657; sd: 7.95228; counts: 6713
sfh 0.119748 1.31826 3.97284 0.990886 #avg: 3.6389; avg_err: 0.113423; sd: 9.29234; counts: 6713
sfh 0.123123 1.4957 4.37434 1.11661 #avg: 4.12168; avg_err: 0.124754; sd: 10.2207; counts: 6713
sfh 0.126498 1.68616 5.05327 1.26532 #avg: 4.61341; avg_err: 0.136228; sd: 11.1608; counts: 6713
sfh 0.129873 1.92934 5.6307 1.46069 #avg: 5.23459; avg_err: 0.153291; sd: 12.5587; counts: 6713
sfh 0.133248 2.11104 6.15497 1.58433 #avg: 5.8084; avg_err: 0.171765; sd: 14.0721; counts: 6713
sfh 0.136623 2.3112 6.85724 1.73436 #avg: 6.44336; avg_err: 0.192952; sd: 15.8079; counts: 6713
sfh 0.141685 2.65472 7.80218 1.99842 #avg: 7.3643; avg_err: 0.23876; sd: 19.5608; counts: 6713
sfh 0.146748 3.04326 9.09194 2.2881 #avg: 8.41093; avg_err: 0.243897; sd: 19.9817; counts: 6713
sfh 0.15181 3.48671 10.3828 2.63243 #avg: 9.40494; avg_err: 0.270135; sd: 22.1313; counts: 6713
sfh 0.156873 3.99624 11.6108 3.0374 #avg: 10.8462; avg_err: 0.327256; sd: 26.8111; counts: 6713
sfh 0.161935 4.37152 13.4536 3.29818 #avg: 12.0657; avg_err: 0.335885; sd: 27.518; counts: 6713
sfh 0.166998 4.87103 15.6431 3.67579 #avg: 13.311; avg_err: 0.344407; sd: 28.2161; counts: 6713
sfh 0.17206 5.48906 17.2848 4.1428 #avg: 14.8157; avg_err: 0.370315; sd: 30.3387; counts: 6713
sfh 0.177123 6.03494 19.2647 4.52835 #avg: 16.3333; avg_err: 0.389027; sd: 31.8717; counts: 6713
sfh 0.182185 6.94791 21.8513 5.33458 #avg: 18.0555; avg_err: 0.435115; sd: 35.6476; counts: 6713
sfh 0.187248 7.63044 24.721 5.82565 #avg: 19.6875; avg_err: 0.45113; sd: 36.9596; counts: 6713
sfh 0.19231 8.24706 28.2612 6.26779 #avg: 22.0021; avg_err: 0.48721; sd: 39.9156; counts: 6713
sfh 0.197373 9.03027 29.8705 6.7999 #avg: 24.1507; avg_err: 0.558111; sd: 45.7243; counts: 6713
sfh 0.202435 9.91283 33.8535 7.4695 #avg: 26.1008; avg_err: 0.588953; sd: 48.251; counts: 6713
sfh 0.207498 11.2502 36.9727 8.64808 #avg: 27.9786; avg_err: 0.580324; sd: 47.5441; counts: 6713
sfh 0.21256 12.7268 40.8746 9.87839 #avg: 30.4455; avg_err: 0.628678; sd: 51.5056; counts: 6713
sfh 0.217623 14.2793 42.7834 11.1509 #avg: 32.3977; avg_err: 0.632123; sd: 51.7878; counts: 6713
sfh 0.222685 15.6573 46.6069 12.4758 #avg: 34.6544; avg_err: 0.63518; sd: 52.0383; counts: 6713
sfh 0.227748 17.2006 49.8663 13.7144 #avg: 37.074; avg_err: 0.666749; sd: 54.6246; counts: 6713
sfh 0.23281 19.1245 54.9603 15.4807 #avg: 39.781; avg_err: 0.705831; sd: 57.8265; counts: 6713
sfh 0.237873 21.014 58.3438 16.9529 #avg: 41.9487; avg_err: 0.708202; sd: 58.0207; counts: 6713
sfh 0.242935 23.0588 61.1625 18.843 #avg: 44.7622; avg_err: 0.73429; sd: 60.158; counts: 6713
sfh 0.247998 26.0631 66.3092 21.4207 #avg: 47.9953; avg_err: 0.742729; sd: 60.8494; counts: 6713
sfh 0.25306 29.3318 68.5265 24.4361 #avg: 51.1031; avg_err: 0.75952; sd: 62.225; counts: 6713
sfh 0.258123 33.0607 70.9363 28.0857 #avg: 54.1179; avg_err: 0.776715; sd: 63.6338; counts: 6713
sfh 0.263185 37.1253 69.4367 31.5033 #avg: 57.2827; avg_err: 0.790434; sd: 64.7577; counts: 6713
sfh 0.268248 41.7357 70.3213 35.2247 #avg: 61.2977; avg_err: 0.815964; sd: 66.8493; counts: 6713
sfh 0.27331 46.0491 75.5169 38.8674 #avg: 65.6397; avg_err: 0.834923; sd: 68.4026; counts: 6713
sfh 0.278373 50.7125 76.8205 42.7324 #avg: 69.5968; avg_err: 0.858974; sd: 70.373; counts: 6713
sfh 0.283435 56.5296 74.2904 47.5486 #avg: 73.1841; avg_err: 0.876838; sd: 71.8365; counts: 6713
sfh 0.288498 61.7661 74.7149 51.9616 #avg: 77.8332; avg_err: 0.890877; sd: 72.9867; counts: 6713
sfh 0.29356 68.388 76.786 55.4292 #avg: 83.4573; avg_err: 0.910155; sd: 74.5661; counts: 6713
sfh 0.298623 73.2559 82.2801 58.2823 #avg: 89.3826; avg_err: 0.963746; sd: 78.9566; counts: 6713
sfh 0.303685 79.7554 84.5726 61.4384 #avg: 94.1167; avg_err: 0.95396; sd: 78.1549; counts: 6713
sfh 0.308748 83.5715 80.6815 64.8014 #avg: 96.4946; avg_err: 0.9678; sd: 79.2888; counts: 6713
sfh 0.31381 84.3496 83.3994 64.0089 #avg: 98.0047; avg_err: 0.980918; sd: 80.3635; counts: 6713
sfh 0.318873 83.1223 84.9697 67.0129 #avg: 97.3348; avg_err: 0.989344; sd: 81.0538; counts: 6713
sfh 0.323935 78.3205 84.5335 63.7562 #avg: 93.4801; avg_err: 0.968229; sd: 79.3239; counts: 6713
sfh 0.328997 71.5389 79.3941 53.2286 #avg: 88.0398; avg_err: 0.961008; sd: 78.7323; counts: 6713
sfh 0.33406 62.1224 71.3166 45.0795 #avg: 78.4118; avg_err: 0.896776; sd: 73.47; counts: 6713
iclh 0.055623 0 0 0 #avg: 5.65936e-12; avg_err: 5.25201e-12; sd: 4.30281e-10; counts: 6713
iclh 0.060123 0 0 0 #avg: 0.000122499; avg_err: 6.90115e-05; sd: 0.00565389; counts: 6713
iclh 0.062373 0 0 0 #avg: 0.00103875; avg_err: 0.000189153; sd: 0.0154967; counts: 6713
iclh 0.064623 0 0 0 #avg: 0.00300032; avg_err: 0.000485526; sd: 0.0397776; counts: 6713
iclh 0.066873 0 0 0 #avg: 0.00529551; avg_err: 0.00062325; sd: 0.0510608; counts: 6713
iclh 0.069123 0 0 0 #avg: 0.010325; avg_err: 0.00105035; sd: 0.0860516; counts: 6713
iclh 0.071373 0 1.48914e-06 0 #avg: 0.0179742; avg_err: 0.00166605; sd: 0.136494; counts: 6713
iclh 0.073623 0 0.00667316 0 #avg: 0.0271938; avg_err: 0.00227268; sd: 0.186193; counts: 6713
iclh 0.075873 0 0.0239892 0 #avg: 0.0369428; avg_err: 0.00310291; sd: 0.254212; counts: 6713
iclh 0.078123 0 0.0533748 0 #avg: 0.0535294; avg_err: 0.00364262; sd: 0.298428; counts: 6713
iclh 0.080373 3.23411e-05 0.0942484 3.23411e-05 #avg: 0.0715298; avg_err: 0.00325471; sd: 0.266648; counts: 6713
iclh 0.082623 0.00346432 0.132617 0.00346432 #avg: 0.0890963; avg_err: 0.00352058; sd: 0.28843; counts: 6713
