#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.4615e+09 6.55489e+08 6.40475e+06 5.00671e+08 4.63875e+08 1.6711e+08 2.13374e+09 1.80895e+07 1.95799e+09 1.55784e+09 1.16716e+09 4383
1.55481e+10 5.56415e+08 7.87185e+06 4.55233e+08 2.95776e+08 1.23489e+08 2.52935e+09 3.37917e+07 2.45504e+09 1.69661e+09 1.58077e+09 1778
2.52301e+10 5.20252e+08 8.36028e+06 4.17207e+08 3.14373e+08 8.41172e+07 1.95522e+09 4.21689e+07 1.4584e+09 2.37733e+09 8.34415e+08 1155
3.99071e+10 5.36912e+08 7.44484e+06 4.17294e+08 3.33665e+08 8.3733e+07 1.448e+09 2.78928e+07 1.12466e+09 1.08226e+09 5.00674e+08 1313
6.42036e+10 5.49408e+08 5.99734e+06 4.17295e+08 3.33714e+08 8.3734e+07 1.37717e+09 1.85595e+07 1.12466e+09 1.08226e+09 5.00674e+08 2116
1.0201e+11 5.70514e+08 4.79078e+06 4.95871e+08 3.37054e+08 1.6231e+08 1.47716e+09 1.46334e+07 1.29157e+09 1.08087e+09 6.67579e+08 3578
1.61119e+11 6.21242e+08 4.36538e+06 5.00584e+08 4.15799e+08 1.67023e+08 1.58618e+09 1.22778e+07 1.375e+09 1.2449e+09 7.51009e+08 6085
2.54339e+11 6.69628e+08 4.05954e+06 5.75585e+08 4.2467e+08 2.41924e+08 1.6995e+09 1.08095e+07 1.4584e+09 1.32584e+09 7.51008e+08 8892
4.0144e+11 7.27048e+08 4.03794e+06 5.83933e+08 5.00586e+08 2.50132e+08 1.77161e+09 1.00122e+07 1.54178e+09 1.40624e+09 8.34385e+08 11465
6.3057e+11 8.16302e+08 4.56928e+06 6.64013e+08 5.87148e+08 2.90756e+08 1.85725e+09 9.97084e+06 1.62513e+09 1.48604e+09 9.17733e+08 12812
9.91168e+11 9.43492e+08 5.68789e+06 7.50856e+08 7.47308e+08 3.38447e+08 1.87034e+09 1.06094e+07 1.62513e+09 1.48604e+09 9.17733e+08 11727
1.56826e+12 1.10126e+09 7.87583e+06 8.74274e+08 9.17399e+08 4.57067e+08 1.82818e+09 1.23126e+07 1.54178e+09 1.56938e+09 8.34385e+08 8969
2.45257e+12 1.31468e+09 1.15819e+07 1.06845e+09 1.13847e+09 5.70394e+08 1.72928e+09 1.43202e+07 1.4584e+09 1.40781e+09 7.9278e+08 5893
3.88292e+12 1.59852e+09 1.90097e+07 1.29157e+09 1.49454e+09 7.10261e+08 1.61393e+09 1.89271e+07 1.29157e+09 1.41057e+09 6.67579e+08 3196
6.1451e+12 1.89875e+09 3.20535e+07 1.58161e+09 1.75037e+09 9.14385e+08 1.45178e+09 2.53131e+07 1.12466e+09 1.24778e+09 5.46549e+08 1529
9.63069e+12 2.17406e+09 5.48196e+07 1.87487e+09 1.93672e+09 1.20729e+09 1.31471e+09 3.48618e+07 1.00085e+09 1.20607e+09 4.60239e+08 679
1.52741e+13 2.60345e+09 9.16349e+07 2.45504e+09 2.08507e+09 1.70418e+09 1.14845e+09 4.68615e+07 8.74274e+08 8.4988e+08 3.33665e+08 307
2.44977e+13 2.89598e+09 1.58328e+08 2.62354e+09 2.18404e+09 1.62237e+09 1.17337e+09 8.28333e+07 9.17399e+08 9.57471e+08 4.15899e+08 108
3.81751e+13 3.88653e+09 2.37786e+08 4.22104e+09 1.43114e+09 2.77534e+09 1.01263e+09 9.74109e+07 8.74274e+08 5.00724e+08 4.57807e+08 55
5.91623e+13 3.86662e+09 3.85332e+08 4.13763e+09 1.60452e+09 2.88675e+09 8.65448e+08 9.15339e+07 7.90825e+08 3.74243e+08 3.33561e+08 24
1.00421e+14 3.32314e+09 6.7336e+08 3.83573e+09 1.28134e+09 2.59773e+09 1.21237e+09 2.12241e+08 1.0412e+09 7.50476e+08 4.3718e+08 7
1.39221e+14 5.94755e+09 5.94755e+09 5.94755e+09 0 0 9.57732e+08 9.57732e+08 9.57732e+08 0 0 1
2.33534e+14 2.79048e+09 2.24988e+09 5.04036e+09 0 4.49975e+09 4.78866e+08 6.17431e+07 5.40609e+08 0 1.23486e+08 2
3.21324e+14 1.29157e+09 1.29157e+09 1.29157e+09 0 0 8.32459e+08 8.32459e+08 8.32459e+08 0 0 1
