#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 5.319120e+11 (median) + 3.402940e+11  / - 2.229410e+11
#SM    Stats: 5.728320e+09 (median) + 9.937480e+09  / - 3.645200e+09
#ObsSM Stats: 5.581480e+09 (median) + 1.038872e+10  / - 3.626210e+09
#VMP   Stats: 1.594100e+02 (median) + 2.142999e+01  / - 1.959000e+01
#ICL   Stats: 4.110510e+07 (median) + 1.159439e+08  / - 3.289174e+07
#SSFR  Stats: 2.410413e-12 (median) + 3.804506e-12  / - 1.519928e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 42208
sfh 0.060123 0 0 0 #avg: 2.08174e-05; avg_err: 7.5739e-06; sd: 0.00155601; counts: 42208
sfh 0.062373 0 0 0 #avg: 0.000160372; avg_err: 3.79765e-05; sd: 0.00780202; counts: 42208
sfh 0.064623 0 0 0 #avg: 0.000434476; avg_err: 8.0096e-05; sd: 0.0164552; counts: 42208
sfh 0.066873 0 0 0 #avg: 0.00100405; avg_err: 0.000150496; sd: 0.0309185; counts: 42208
sfh 0.069123 0 0 0 #avg: 0.00207536; avg_err: 0.000238263; sd: 0.0489495; counts: 42208
sfh 0.071373 0 0 0 #avg: 0.00378856; avg_err: 0.000343998; sd: 0.0706722; counts: 42208
sfh 0.073623 0 0 0 #avg: 0.00532495; avg_err: 0.000326966; sd: 0.0671729; counts: 42208
sfh 0.075873 0 0 0 #avg: 0.0078574; avg_err: 0.000391347; sd: 0.0803996; counts: 42208
sfh 0.078123 0 0 0 #avg: 0.0114982; avg_err: 0.000535837; sd: 0.110084; counts: 42208
sfh 0.080373 0 0 0 #avg: 0.0158458; avg_err: 0.000549439; sd: 0.112879; counts: 42208
sfh 0.082623 0 0.00296487 0 #avg: 0.0201382; avg_err: 0.000564326; sd: 0.115937; counts: 42208
sfh 0.085998 0 0.0219066 0 #avg: 0.0320195; avg_err: 0.000808097; sd: 0.166018; counts: 42208
sfh 0.089373 0 0.050072 0 #avg: 0.0456213; avg_err: 0.00117697; sd: 0.2418; counts: 42208
sfh 0.092748 0 0.0839698 0 #avg: 0.0611512; avg_err: 0.00112057; sd: 0.230213; counts: 42208
sfh 0.096123 0.00372155 0.11791 0.00372155 #avg: 0.0781167; avg_err: 0.0012182; sd: 0.25027; counts: 42208
sfh 0.099498 0.0135885 0.146648 0.0135885 #avg: 0.0975254; avg_err: 0.00152062; sd: 0.312401; counts: 42208
sfh 0.102873 0.0260531 0.168067 0.0260531 #avg: 0.11743; avg_err: 0.00169818; sd: 0.348879; counts: 42208
sfh 0.106248 0.0391822 0.188946 0.0391822 #avg: 0.137405; avg_err: 0.00169831; sd: 0.348907; counts: 42208
sfh 0.109623 0.0525971 0.212159 0.0522174 #avg: 0.159577; avg_err: 0.00182718; sd: 0.375381; counts: 42208
sfh 0.112998 0.0659458 0.23454 0.0626863 #avg: 0.183796; avg_err: 0.00205914; sd: 0.423037; counts: 42208
sfh 0.116373 0.0778441 0.257516 0.0705762 #avg: 0.20756; avg_err: 0.00224063; sd: 0.460322; counts: 42208
sfh 0.119748 0.0890149 0.284592 0.0774416 #avg: 0.23241; avg_err: 0.00247966; sd: 0.50943; counts: 42208
sfh 0.123123 0.101631 0.31209 0.0862613 #avg: 0.258551; avg_err: 0.0027425; sd: 0.563429; counts: 42208
sfh 0.126498 0.11379 0.331832 0.0940854 #avg: 0.283271; avg_err: 0.00304185; sd: 0.624927; counts: 42208
sfh 0.129873 0.126277 0.358248 0.102066 #avg: 0.307811; avg_err: 0.00340245; sd: 0.699012; counts: 42208
sfh 0.133248 0.138147 0.387152 0.109528 #avg: 0.329702; avg_err: 0.003462; sd: 0.711246; counts: 42208
sfh 0.136623 0.150979 0.417386 0.118173 #avg: 0.357528; avg_err: 0.00395606; sd: 0.812747; counts: 42208
sfh 0.141685 0.168706 0.454331 0.129035 #avg: 0.390348; avg_err: 0.00380563; sd: 0.781841; counts: 42208
sfh 0.146748 0.18812 0.489352 0.141819 #avg: 0.423792; avg_err: 0.00396503; sd: 0.814588; counts: 42208
sfh 0.15181 0.202924 0.528708 0.151247 #avg: 0.457302; avg_err: 0.00423963; sd: 0.871003; counts: 42208
sfh 0.156873 0.219935 0.57237 0.162801 #avg: 0.492609; avg_err: 0.00457571; sd: 0.94005; counts: 42208
sfh 0.161935 0.235938 0.612514 0.17366 #avg: 0.526564; avg_err: 0.00487789; sd: 1.00213; counts: 42208
sfh 0.166998 0.252972 0.64197 0.185864 #avg: 0.552099; avg_err: 0.00489746; sd: 1.00615; counts: 42208
sfh 0.17206 0.26592 0.687029 0.195112 #avg: 0.579607; avg_err: 0.00506639; sd: 1.04086; counts: 42208
sfh 0.177123 0.281224 0.722106 0.207029 #avg: 0.60746; avg_err: 0.0053416; sd: 1.0974; counts: 42208
sfh 0.182185 0.300191 0.754619 0.22043 #avg: 0.641959; avg_err: 0.00551591; sd: 1.13321; counts: 42208
sfh 0.187248 0.315631 0.794159 0.232314 #avg: 0.677011; avg_err: 0.00593187; sd: 1.21866; counts: 42208
sfh 0.19231 0.330037 0.832163 0.242208 #avg: 0.712043; avg_err: 0.00647366; sd: 1.32997; counts: 42208
sfh 0.197373 0.34564 0.87108 0.2547 #avg: 0.738079; avg_err: 0.00625838; sd: 1.28574; counts: 42208
sfh 0.202435 0.364458 0.920362 0.269112 #avg: 0.771049; avg_err: 0.0064699; sd: 1.3292; counts: 42208
sfh 0.207498 0.380914 0.955746 0.282683 #avg: 0.803259; avg_err: 0.00660761; sd: 1.35749; counts: 42208
sfh 0.21256 0.403168 1.00882 0.30014 #avg: 0.840646; avg_err: 0.00689997; sd: 1.41755; counts: 42208
sfh 0.217623 0.417477 1.06461 0.307852 #avg: 0.876433; avg_err: 0.00697671; sd: 1.43332; counts: 42208
sfh 0.222685 0.438555 1.10495 0.322641 #avg: 0.914086; avg_err: 0.00742142; sd: 1.52468; counts: 42208
sfh 0.227748 0.459589 1.14032 0.338044 #avg: 0.946136; avg_err: 0.00760844; sd: 1.5631; counts: 42208
sfh 0.23281 0.480354 1.20137 0.352295 #avg: 0.986518; avg_err: 0.00796162; sd: 1.63566; counts: 42208
sfh 0.237873 0.506371 1.2431 0.371718 #avg: 1.03201; avg_err: 0.00809831; sd: 1.66374; counts: 42208
