#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM    Stats: 1.039260e+11 (median) + 5.416201e+10  / - 3.897010e+10
#SM    Stats: 2.851930e+08 (median) + 1.537550e+08  / - 8.173299e+07
#ObsSM Stats: 2.819750e+08 (median) + 2.307330e+08  / - 1.240760e+08
#VMP   Stats: 1.143800e+02 (median) + 1.116000e+01  / - 9.669998e+00
#ICL   Stats: 2.605340e+06 (median) + 1.186336e+07  / - 2.605340e+06
#SSFR  Stats: 1.034491e-09 (median) + 1.428324e-09  / - 6.118990e-10
sfh 0.055623 0 0 0 #avg: 1.40176e-12; avg_err: 1.40176e-12; sd: 4.72248e-10; counts: 113500
sfh 0.060123 0 0 0 #avg: 2.5761e-06; avg_err: 1.67415e-06; sd: 0.000564015; counts: 113500
sfh 0.062373 0 0 0 #avg: 1.29848e-05; avg_err: 3.94833e-06; sd: 0.00133018; counts: 113500
sfh 0.064623 0 0 0 #avg: 5.17194e-05; avg_err: 1.03921e-05; sd: 0.00350107; counts: 113500
sfh 0.066873 0 0 0 #avg: 0.000165722; avg_err: 3.07136e-05; sd: 0.0103473; counts: 113500
sfh 0.069123 0 0 0 #avg: 0.000360482; avg_err: 4.32022e-05; sd: 0.0145547; counts: 113500
sfh 0.071373 0 0 0 #avg: 0.000709417; avg_err: 5.83146e-05; sd: 0.0196459; counts: 113500
sfh 0.073623 0 0 0 #avg: 0.00134429; avg_err: 8.79138e-05; sd: 0.0296178; counts: 113500
sfh 0.075873 0 0 0 #avg: 0.00226884; avg_err: 0.000119673; sd: 0.0403172; counts: 113500
sfh 0.078123 0 0 0 #avg: 0.00334903; avg_err: 0.0001275; sd: 0.0429542; counts: 113500
sfh 0.080373 0 0 0 #avg: 0.0048758; avg_err: 0.000139648; sd: 0.0470468; counts: 113500
sfh 0.082623 0 0 0 #avg: 0.00669304; avg_err: 0.000156788; sd: 0.0528214; counts: 113500
sfh 0.085998 0 0 0 #avg: 0.0111671; avg_err: 0.000208275; sd: 0.070167; counts: 113500
